horizon,model,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
osi_target_t01h,C0_direct_osi,0,6864,0.0068914602924788,0.002798437249228229,0.32598663214474155,0.00017853276190614448,0.0068914602924788,0.002798437249228229,0.32598663214474155,0.00017853276190614448,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,1,6721,0.010590048791515361,0.0037813675457644565,0.7537543256262691,-0.0003804539387695463,0.010590048791515361,0.0037813675457644565,0.7537543256262691,-0.0003804539387695463,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,2,6864,0.013282252064634785,0.0040659406693599,1.2109346614519099,-0.0005315700917387339,0.013282252064634785,0.0040659406693599,1.2109346614519099,-0.0005315700917387339,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,3,6864,0.01619361981450347,0.003995209796294814,1.7999695269900076,0.00045190610740525366,0.01619361981450347,0.003995209796294814,1.7999695269900076,0.00045190610740525366,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,4,6864,0.011203868858249656,0.003358496807966772,0.8616151136245667,-0.0003821592801369917,0.011203868858249656,0.003358496807966772,0.8616151136245667,-0.0003821592801369917,0.0,0.0,0.0,0
osi_target_t01h,C1_component_osi,0,6864,0.006878686349096312,0.0027534482699063992,0.32477926090377046,0.0001243169946495215,0.006878008182396166,0.0027523442813652127,0.32471522436799344,0.00012628294777262814,-6.781667001463584e-07,-0.009858956575847788,6.40365357770234e-05,16
osi_target_t01h,C1_component_osi,1,6721,0.010475133301922051,0.0037395520911788424,0.7374846953148975,-0.0003595731961810137,0.010475476154200185,0.0037401627476018255,0.7375329720171535,-0.00035863675975317,3.4285227813388164e-07,0.0032730111231282777,-4.827670225604486e-05,6
osi_target_t01h,C1_component_osi,2,6864,0.013207141020764496,0.004075026188000249,1.1972777315403609,-0.00043083264948565707,0.013206991676233862,0.004074350225690238,1.1972506543902626,-0.00042843049497314455,-1.4934453063455977e-07,-0.001130786219361024,2.7077150098309133e-05,18
osi_target_t01h,C1_component_osi,3,6864,0.016006889356241803,0.003865425522315354,1.7586975591074063,0.00037772139538420825,0.01600680207722095,0.003864674254021297,1.758678380242726,0.0003785034557717186,-8.72790208543417e-08,-0.0005452591000820739,1.9178864680391428e-05,7
osi_target_t01h,C1_component_osi,4,6864,0.0109787302386338,0.003272374988632745,0.8273352011680789,-0.00026208620805606036,0.01082603757749078,0.0032648511012270537,0.80448200721512,-0.0002535882094721175,-0.00015269266114301995,-1.3908043810540116,0.022853193952958928,7
osi_target_t01h,C2_equal_blend,0,6864,0.00684389822693314,0.0027474768339757713,0.3215025043444059,0.00014080696943727535,0.006843423921396736,0.002746755849309721,0.32145794344397505,0.00014182838538568347,-4.743055364037768e-07,-0.006930341753730307,4.45609004308678e-05,15
osi_target_t01h,C2_equal_blend,1,6721,0.010514267475081093,0.003745242024912313,0.743005343832861,-0.00037691271254323966,0.010514452449068875,0.0037456168075153864,0.7430314869513724,-0.00037651394872089924,1.8497398778134777e-07,0.0017592665225496518,-2.6143118511456898e-05,6
osi_target_t01h,C2_equal_blend,2,6864,0.013225581135766834,0.004045351968773173,1.2006233991437505,-0.0004871682206445568,0.013225545518929942,0.004045565434173827,1.200616932531848,-0.0004860302958902469,-3.5616836891252945e-08,-0.00026930262289059925,6.466611902400388e-06,18
osi_target_t01h,C2_equal_blend,3,6864,0.01607346133207062,0.0038969147534841765,1.773356676704661,0.0004025728793492058,0.016073421541473322,0.003896462240173544,1.773347896662504,0.0004030536152168596,-3.979059729972145e-08,-0.00024755462733061506,8.780042156875112e-06,9
osi_target_t01h,C2_equal_blend,4,6864,0.011070584665003623,0.00329372372003986,0.8412370468788919,-0.00032953617120668144,0.010991376616282987,0.003289749476697254,0.829242310497555,-0.00032535029795972695,-7.920804872063592e-05,-0.7154820735984169,0.011994736381336857,8
osi_target_t01h,C3_aligned_component,0,6864,0.0066210477909235945,0.002674924165033607,0.3009059117043011,0.00016947644075714517,0.006620343232609534,0.0026738201764924204,0.300841875168524,0.00017144239388025188,-7.04558314060591e-07,-0.010641190583560167,6.40365357770789e-05,16
osi_target_t01h,C3_aligned_component,1,6721,0.010542975641947719,0.0036740989781378092,0.7470682881340304,-0.0004122859955544898,0.010543316288098507,0.0036747096345607915,0.7471165648362865,-0.000411349559126646,3.4064615078883975e-07,0.0032310247349176535,-4.827670225615588e-05,6
osi_target_t01h,C3_aligned_component,2,6864,0.012954966983834245,0.004019172851147257,1.1519931478065435,-0.0004639014855132105,0.012954814732213871,0.004018496888837247,1.1519660706564447,-0.0004614993310006978,-1.522516203736335e-07,-0.00117523742486636,2.7077150098753222e-05,18
osi_target_t01h,C3_aligned_component,3,6864,0.015901577595244742,0.003908416331296008,1.7356322070007346,0.0004924769715197644,0.01590148973819583,0.003907665063001949,1.735613028136054,0.0004932590319072748,-8.785704891378643e-08,-0.0005525052365840111,1.9178864680613472e-05,7
osi_target_t01h,C3_aligned_component,4,6864,0.010863149830558083,0.0031919389879833462,0.8100070783912817,-0.0003580847558184917,0.010708809281040742,0.003184415100577655,0.7871538844383227,-0.00034958675723454887,-0.0001543405495173407,-1.420771617115879,0.02285319395295904,7
osi_target_t01h,v18_rule,0,6864,0.0066210477909235945,0.002674924165033607,0.3009059117043011,0.00016947644075714517,0.006620343232609534,0.0026738201764924204,0.300841875168524,0.00017144239388025188,-7.04558314060591e-07,-0.010641190583560167,6.40365357770789e-05,16
osi_target_t01h,v18_rule,1,6721,0.010542975641947719,0.0036740989781378092,0.7470682881340304,-0.0004122859955544898,0.010543316288098507,0.0036747096345607915,0.7471165648362865,-0.000411349559126646,3.4064615078883975e-07,0.0032310247349176535,-4.827670225615588e-05,6
osi_target_t01h,v18_rule,2,6864,0.012954966983834245,0.004019172851147257,1.1519931478065435,-0.0004639014855132105,0.012954814732213871,0.004018496888837247,1.1519660706564447,-0.0004614993310006978,-1.522516203736335e-07,-0.00117523742486636,2.7077150098753222e-05,18
osi_target_t01h,v18_rule,3,6864,0.015901577595244742,0.003908416331296008,1.7356322070007346,0.0004924769715197644,0.01590148973819583,0.003907665063001949,1.735613028136054,0.0004932590319072748,-8.785704891378643e-08,-0.0005525052365840111,1.9178864680613472e-05,7
osi_target_t01h,v18_rule,4,6864,0.010863149830558083,0.0031919389879833462,0.8100070783912817,-0.0003580847558184917,0.010708809281040742,0.003184415100577655,0.7871538844383227,-0.00034958675723454887,-0.0001543405495173407,-1.420771617115879,0.02285319395295904,7
osi_target_t06h,C0_direct_osi,0,6624,0.006549642305735746,0.0026627597399873507,0.28415512214234484,0.0002341666248279838,0.006549642305735746,0.0026627597399873507,0.28415512214234484,0.0002341666248279838,0.0,0.0,0.0,0
osi_target_t06h,C0_direct_osi,1,6486,0.01015859240875467,0.003586040948066081,0.6693357402306712,-0.00028709684206618266,0.01015859240875467,0.003586040948066081,0.6693357402306712,-0.00028709684206618266,0.0,0.0,0.0,0
osi_target_t06h,C0_direct_osi,2,6624,0.013319143054359375,0.004066878128343197,1.175094762957291,-0.0006789286902081252,0.013319143054359375,0.004066878128343197,1.175094762957291,-0.0006789286902081252,0.0,0.0,0.0,0
osi_target_t06h,C0_direct_osi,3,6624,0.012941367765997313,0.00389417929940696,1.1093808937133574,0.0009849727780628884,0.012941367765997313,0.00389417929940696,1.1093808937133574,0.0009849727780628884,0.0,0.0,0.0,0
osi_target_t06h,C0_direct_osi,4,6624,0.009212106366155532,0.0030982021780243804,0.5621318741178305,-0.0002088387195278378,0.009212106366155532,0.0030982021780243804,0.5621318741178305,-0.0002088387195278378,0.0,0.0,0.0,0
osi_target_t06h,C1_component_osi,0,6624,0.006530534914668293,0.0026782617608748778,0.2824995986637514,0.00024333422589068184,0.006530534914668293,0.0026782617608748778,0.2824995986637514,0.00024333422589068184,0.0,0.0,0.0,0
osi_target_t06h,C1_component_osi,1,6486,0.010209303335858393,0.0035918139018297547,0.6760349666787505,-0.0002361527232554754,0.010209303335858393,0.0035918139018297547,0.6760349666787505,-0.0002361527232554754,0.0,0.0,0.0,0
osi_target_t06h,C1_component_osi,2,6624,0.013324565829920625,0.0040280463714782895,1.1760518173782042,-0.0007053273137449844,0.013324565829920625,0.0040280463714782895,1.1760518173782042,-0.0007053273137449844,0.0,0.0,0.0,0
osi_target_t06h,C1_component_osi,3,6624,0.012654955799690976,0.0038302112364708364,1.060819731279084,0.0009231513658977844,0.012654955799690976,0.0038302112364708364,1.060819731279084,0.0009231513658977844,0.0,0.0,0.0,0
osi_target_t06h,C1_component_osi,4,6624,0.00890716228550112,0.0030241859160549476,0.5255318648291996,-0.00023122261568550838,0.00890716228550112,0.0030241859160549476,0.5255318648291996,-0.00023122261568550838,0.0,0.0,0.0,0
osi_target_t06h,C2_equal_blend,0,6624,0.006508518308773927,0.002635730273559281,0.28059800925307526,0.0002181246548486857,0.006508518308773927,0.002635730273559281,0.28059800925307526,0.0002181246548486857,0.0,0.0,0.0,0
osi_target_t06h,C2_equal_blend,1,6486,0.010165375482281592,0.0035745627952774328,0.6702298935007753,-0.0002679193209687312,0.010165375482281592,0.0035745627952774328,0.6702298935007753,-0.0002679193209687312,0.0,0.0,0.0,0
osi_target_t06h,C2_equal_blend,2,6624,0.013308650172545927,0.004028868246473436,1.1732440022063295,-0.0007008491166863033,0.013308650172545927,0.004028868246473436,1.1732440022063295,-0.0007008491166863033,0.0,0.0,0.0,0
osi_target_t06h,C2_equal_blend,3,6624,0.01276101132497934,0.0038295382310014007,1.0786747480801262,0.0009370953273047927,0.01276101132497934,0.0038295382310014007,1.0786747480801262,0.0009370953273047927,0.0,0.0,0.0,0
osi_target_t06h,C2_equal_blend,4,6624,0.009034411256281395,0.003033706150594502,0.5406547666162611,-0.00024067896485014656,0.009034411256281395,0.003033706150594502,0.5406547666162611,-0.00024067896485014656,0.0,0.0,0.0,0
osi_target_t06h,C3_aligned_component,0,6624,0.006459790086522191,0.00257303134736504,0.2764121538598268,0.0001573992034966857,0.006459790086522191,0.00257303134736504,0.2764121538598268,0.0001573992034966857,0.0,0.0,0.0,0
osi_target_t06h,C3_aligned_component,1,6486,0.010090386368988492,0.0034969457196327093,0.6603779084314906,-0.0003327814583249401,0.010090386368988492,0.0034969457196327093,0.6603779084314906,-0.0003327814583249401,0.0,0.0,0.0,0
osi_target_t06h,C3_aligned_component,2,6624,0.012886051329684825,0.003926086668463528,1.0999173122033061,-0.0006500596973092481,0.012886051329684825,0.003926086668463528,1.0999173122033061,-0.0006500596973092481,0.0,0.0,0.0,0
osi_target_t06h,C3_aligned_component,3,6624,0.012527549470890902,0.0035308859280746186,1.0395672198189796,0.0006412054990872205,0.012527549470890902,0.0035308859280746186,1.0395672198189796,0.0006412054990872205,0.0,0.0,0.0,0
osi_target_t06h,C3_aligned_component,4,6624,0.008774183489798587,0.0029235104502660604,0.5099572241254208,-0.00024448003893651774,0.008774183489798587,0.0029235104502660604,0.5099572241254208,-0.00024448003893651774,0.0,0.0,0.0,0
osi_target_t06h,v18_rule,0,6624,0.006459790086522191,0.00257303134736504,0.2764121538598268,0.0001573992034966857,0.006459790086522191,0.00257303134736504,0.2764121538598268,0.0001573992034966857,0.0,0.0,0.0,0
osi_target_t06h,v18_rule,1,6486,0.010090386368988492,0.0034969457196327093,0.6603779084314906,-0.0003327814583249401,0.010090386368988492,0.0034969457196327093,0.6603779084314906,-0.0003327814583249401,0.0,0.0,0.0,0
osi_target_t06h,v18_rule,2,6624,0.012886051329684825,0.003926086668463528,1.0999173122033061,-0.0006500596973092481,0.012886051329684825,0.003926086668463528,1.0999173122033061,-0.0006500596973092481,0.0,0.0,0.0,0
osi_target_t06h,v18_rule,3,6624,0.012527549470890902,0.0035308859280746186,1.0395672198189796,0.0006412054990872205,0.012527549470890902,0.0035308859280746186,1.0395672198189796,0.0006412054990872205,0.0,0.0,0.0,0
osi_target_t06h,v18_rule,4,6624,0.008774183489798587,0.0029235104502660604,0.5099572241254208,-0.00024448003893651774,0.008774183489798587,0.0029235104502660604,0.5099572241254208,-0.00024448003893651774,0.0,0.0,0.0,0
osi_target_t24h,C0_direct_osi,0,5760,0.004695846466533863,0.0020626463911162427,0.12701361045460935,0.00035928655855758305,0.004695846466533863,0.0020626463911162427,0.12701361045460935,0.00035928655855758305,0.0,0.0,0.0,0
osi_target_t24h,C0_direct_osi,1,5640,0.009057231068190574,0.002896749532031277,0.4626685712714447,-0.0006125282771131607,0.009057231068190574,0.002896749532031277,0.4626685712714447,-0.0006125282771131607,0.0,0.0,0.0,0
osi_target_t24h,C0_direct_osi,2,5760,0.012987797905894272,0.003837086746236767,0.9716134719994654,-0.0010083406990939712,0.012987797905894272,0.003837086746236767,0.9716134719994654,-0.0010083406990939712,0.0,0.0,0.0,0
osi_target_t24h,C0_direct_osi,3,5760,0.0064739102190914865,0.0029327614019427173,0.24141031790317735,0.0012005210571137022,0.0064739102190914865,0.0029327614019427173,0.24141031790317735,0.0012005210571137022,0.0,0.0,0.0,0
osi_target_t24h,C0_direct_osi,4,5760,0.007540454726904199,0.0024669357253113856,0.32750471513371326,-0.0003924429714446458,0.007540454726904199,0.0024669357253113856,0.32750471513371326,-0.0003924429714446458,0.0,0.0,0.0,0
osi_target_t24h,C1_component_osi,0,5760,0.004722006437624519,0.0021059088433387193,0.12843270603053222,0.0004342643061164664,0.004722006437624519,0.0021059088433387193,0.12843270603053222,0.0004342643061164664,0.0,0.0,0.0,0
osi_target_t24h,C1_component_osi,1,5640,0.008926834627565224,0.0029095390774955274,0.4494424432789421,-0.0005011371074237945,0.008926834627565224,0.0029095390774955274,0.4494424432789421,-0.0005011371074237945,0.0,0.0,0.0,0
osi_target_t24h,C1_component_osi,2,5760,0.012860189555137309,0.0038187202582121555,0.9526145782698012,-0.0010054195428662632,0.012860189555137309,0.0038187202582121555,0.9526145782698012,-0.0010054195428662632,0.0,0.0,0.0,0
osi_target_t24h,C1_component_osi,3,5760,0.0061831058424843465,0.002799674455534234,0.220209395669937,0.0010566893098766035,0.0061831058424843465,0.002799674455534234,0.220209395669937,0.0010566893098766035,0.0,0.0,0.0,0
osi_target_t24h,C1_component_osi,4,5760,0.007428758397301128,0.0024404211477509086,0.31787395963471893,-0.0004080801392518454,0.007428758397301128,0.0024404211477509086,0.31787395963471893,-0.0004080801392518454,0.0,0.0,0.0,0
osi_target_t24h,C2_equal_blend,0,5760,0.004678232303782412,0.002061644688849701,0.12606253913176296,0.0003807048747355606,0.004678232303782412,0.002061644688849701,0.12606253913176296,0.0003807048747355606,0.0,0.0,0.0,0
osi_target_t24h,C2_equal_blend,1,5640,0.008979027564683831,0.002887171043752256,0.45471335908146565,-0.0005678497971853533,0.008979027564683831,0.002887171043752256,0.45471335908146565,-0.0005678497971853533,0.0,0.0,0.0,0
osi_target_t24h,C2_equal_blend,2,5760,0.012912563682465116,0.0038118141159338265,0.9603895729174102,-0.0010129992898145195,0.012912563682465116,0.0038118141159338265,0.9603895729174102,-0.0010129992898145195,0.0,0.0,0.0,0
osi_target_t24h,C2_equal_blend,3,5760,0.006289094638732463,0.002847947245956316,0.22782361751961644,0.0011225478723004073,0.006289094638732463,0.002847947245956316,0.22782361751961644,0.0011225478723004073,0.0,0.0,0.0,0
osi_target_t24h,C2_equal_blend,4,5760,0.007468080565560886,0.0024339065161741095,0.32124802944215924,-0.00040981286860359737,0.007468080565560886,0.0024339065161741095,0.32124802944215924,-0.00040981286860359737,0.0,0.0,0.0,0
osi_target_t24h,C3_aligned_component,0,5760,0.004567516634892379,0.002044283490200696,0.12016631928970717,0.00044103768085771935,0.004567516634892379,0.002044283490200696,0.12016631928970717,0.00044103768085771935,0.0,0.0,0.0,0
osi_target_t24h,C3_aligned_component,1,5640,0.008753393180629706,0.002849772160230182,0.43214747186527774,-0.0004657431747312851,0.008753393180629706,0.002849772160230182,0.43214747186527774,-0.0004657431747312851,0.0,0.0,0.0,0
osi_target_t24h,C3_aligned_component,2,5760,0.012915628323034415,0.0037045164344665853,0.9608455006777081,-0.0010176226985121049,0.012915628323034415,0.0037045164344665853,0.9608455006777081,-0.0010176226985121049,0.0,0.0,0.0,0
osi_target_t24h,C3_aligned_component,3,5760,0.005886116638503947,0.0027156018562753204,0.19956308591274052,0.0009680306172025543,0.005886116638503947,0.0027156018562753204,0.19956308591274052,0.0009680306172025543,0.0,0.0,0.0,0
osi_target_t24h,C3_aligned_component,4,5760,0.007497333781174968,0.0024460189421906123,0.32376967963976067,-0.00031091478086408354,0.007497333781174968,0.0024460189421906123,0.32376967963976067,-0.00031091478086408354,0.0,0.0,0.0,0
osi_target_t24h,v18_rule,0,5760,0.004722006437624519,0.0021059088433387193,0.12843270603053222,0.0004342643061164664,0.004722006437624519,0.0021059088433387193,0.12843270603053222,0.0004342643061164664,0.0,0.0,0.0,0
