outer_fold,model_id,target,inner_fold,train_counties,early_stop_counties,best_iteration,refit_rounds
0,bb7aadc6112ba771dd1e70af23ec8a1449b435b88bbc686e3fe703cf934bb122,U_D_t_target_t01h,1,"[""18009"", ""18027"", ""18029"", ""18033"", ""18037"", ""18039"", ""18043"", ""18047"", ""18051"", ""18061"", ""18065"", ""18067"", ""18071"", ""18073"", ""18077"", ""18083"", ""18087"", ""18091"", ""18093"", ""18095"", ""18097"", ""18103"", ""18107"", ""18113"", ""18117"", ""18121"", ""18123"", ""18127"", ""18135"", ""18137"", ""18139"", ""18141"", ""18145"", ""18149"", ""18151"", ""18157"", ""18159"", ""18165"", ""18169"", ""18171"", ""18175"", ""18177"", ""18181"", ""18183"", ""39017"", ""39025"", ""39027"", ""39031"", ""39033"", ""39049"", ""39051"", ""39055"", ""39073"", ""39077"", ""39081"", ""39085"", ""39087"", ""39095"", ""39097"", ""39099"", ""39103"", ""39105"", ""39109"", ""39111"", ""39113"", ""39117"", ""39119"", ""39125"", ""39127"", ""39129"", ""39131"", ""39133"", ""39137"", ""39145"", ""39151"", ""39153"", ""39155"", ""39157"", ""39159"", ""39161"", ""39163"", ""39169"", ""39171"", ""39173"", ""39175"", ""42005"", ""42009"", ""42015"", ""42019"", ""42025"", ""42027"", ""42029"", ""42031"", ""42035"", ""42039"", ""42041"", ""42043"", ""42045"", ""42047"", ""42049"", ""42053"", ""42055"", ""42079"", ""42083"", ""42085"", ""42089"", ""42095"", ""42101"", ""42103"", ""42109"", ""42113"", ""42119"", ""42121"", ""42125"", ""42127"", ""42131"", ""54009"", ""54013"", ""54015"", ""54023"", ""54025"", ""54031"", ""54033"", ""54035"", ""54039"", ""54045"", ""54053"", ""54059"", ""54063"", ""54067"", ""54069"", ""54071"", ""54073"", ""54079"", ""54081"", ""54089"", ""54091"", ""54093"", ""54097"", ""54099"", ""54101"", ""54103"", ""54107""]","[""18023"", ""18025"", ""18041"", ""18045"", ""18059"", ""18085"", ""18105"", ""18111"", ""18129"", ""18133"", ""18143"", ""18153"", ""18155"", ""18173"", ""39023"", ""39029"", ""39037"", ""39059"", ""39061"", ""39063"", ""39091"", ""39093"", ""39107"", ""39123"", ""39135"", ""39143"", ""39149"", ""39167"", ""42023"", ""42033"", ""42057"", ""42059"", ""42067"", ""42069"", ""42075"", ""42081"", ""42091"", ""42115"", ""42129"", ""54029"", ""54037"", ""54043"", ""54047"", ""54057"", ""54075"", ""54083"", ""54085"", ""54109""]",25,304
0,bb7aadc6112ba771dd1e70af23ec8a1449b435b88bbc686e3fe703cf934bb122,U_D_t_target_t01h,2,"[""18009"", ""18023"", ""18025"", ""18027"", ""18029"", ""18033"", ""18037"", ""18041"", ""18043"", ""18045"", ""18047"", ""18059"", ""18061"", ""18065"", ""18067"", ""18071"", ""18073"", ""18085"", ""18087"", ""18091"", ""18093"", ""18095"", ""18097"", ""18103"", ""18105"", ""18107"", ""18111"", ""18113"", ""18117"", ""18127"", ""18129"", ""18133"", ""18137"", ""18141"", ""18143"", ""18149"", ""18151"", ""18153"", ""18155"", ""18157"", ""18159"", ""18169"", ""18173"", ""18181"", ""39017"", ""39023"", ""39025"", ""39027"", ""39029"", ""39037"", ""39051"", ""39055"", ""39059"", ""39061"", ""39063"", ""39073"", ""39077"", ""39081"", ""39085"", ""39091"", ""39093"", ""39099"", ""39107"", ""39109"", ""39111"", ""39117"", ""39119"", ""39123"", ""39127"", ""39133"", ""39135"", ""39143"", ""39145"", ""39149"", ""39151"", ""39153"", ""39155"", ""39157"", ""39159"", ""39161"", ""39163"", ""39167"", ""39169"", ""39171"", ""39175"", ""42005"", ""42023"", ""42025"", ""42027"", ""42029"", ""42031"", ""42033"", ""42035"", ""42039"", ""42041"", ""42043"", ""42047"", ""42053"", ""42055"", ""42057"", ""42059"", ""42067"", ""42069"", ""42075"", ""42081"", ""42085"", ""42089"", ""42091"", ""42101"", ""42103"", ""42109"", ""42115"", ""42119"", ""42121"", ""42125"", ""42127"", ""42129"", ""54013"", ""54015"", ""54023"", ""54025"", ""54029"", ""54033"", ""54037"", ""54039"", ""54043"", ""54047"", ""54057"", ""54059"", ""54063"", ""54067"", ""54073"", ""54075"", ""54079"", ""54081"", ""54083"", ""54085"", ""54089"", ""54091"", ""54093"", ""54101"", ""54103"", ""54109""]","[""18039"", ""18051"", ""18077"", ""18083"", ""18121"", ""18123"", ""18135"", ""18139"", ""18145"", ""18165"", ""18171"", ""18175"", ""18177"", ""18183"", ""39031"", ""39033"", ""39049"", ""39087"", ""39095"", ""39097"", ""39103"", ""39105"", ""39113"", ""39125"", ""39129"", ""39131"", ""39137"", ""39173"", ""42009"", ""42015"", ""42019"", ""42045"", ""42049"", ""42079"", ""42083"", ""42095"", ""42113"", ""42131"", ""54009"", ""54031"", ""54035"", ""54045"", ""54053"", ""54069"", ""54071"", ""54097"", ""54099"", ""54107""]",514,304
0,bb7aadc6112ba771dd1e70af23ec8a1449b435b88bbc686e3fe703cf934bb122,U_D_t_target_t01h,3,"[""18023"", ""18025"", ""18027"", ""18033"", ""18037"", ""18039"", ""18041"", ""18043"", ""18045"", ""18047"", ""18051"", ""18059"", ""18077"", ""18083"", ""18085"", ""18091"", ""18097"", ""18105"", ""18107"", ""18111"", ""18113"", ""18117"", ""18121"", ""18123"", ""18129"", ""18133"", ""18135"", ""18137"", ""18139"", ""18141"", ""18143"", ""18145"", ""18149"", ""18151"", ""18153"", ""18155"", ""18165"", ""18169"", ""18171"", ""18173"", ""18175"", ""18177"", ""18183"", ""39023"", ""39025"", ""39027"", ""39029"", ""39031"", ""39033"", ""39037"", ""39049"", ""39051"", ""39055"", ""39059"", ""39061"", ""39063"", ""39085"", ""39087"", ""39091"", ""39093"", ""39095"", ""39097"", ""39103"", ""39105"", ""39107"", ""39111"", ""39113"", ""39117"", ""39123"", ""39125"", ""39127"", ""39129"", ""39131"", ""39133"", ""39135"", ""39137"", ""39143"", ""39145"", ""39149"", ""39151"", ""39153"", ""39161"", ""39163"", ""39167"", ""39173"", ""42009"", ""42015"", ""42019"", ""42023"", ""42027"", ""42029"", ""42033"", ""42035"", ""42039"", ""42045"", ""42049"", ""42055"", ""42057"", ""42059"", ""42067"", ""42069"", ""42075"", ""42079"", ""42081"", ""42083"", ""42091"", ""42095"", ""42101"", ""42103"", ""42109"", ""42113"", ""42115"", ""42121"", ""42125"", ""42129"", ""42131"", ""54009"", ""54013"", ""54015"", ""54023"", ""54029"", ""54031"", ""54035"", ""54037"", ""54043"", ""54045"", ""54047"", ""54053"", ""54057"", ""54059"", ""54063"", ""54069"", ""54071"", ""54075"", ""54081"", ""54083"", ""54085"", ""54093"", ""54097"", ""54099"", ""54101"", ""54103"", ""54107"", ""54109""]","[""18009"", ""18029"", ""18061"", ""18065"", ""18067"", ""18071"", ""18073"", ""18087"", ""18093"", ""18095"", ""18103"", ""18127"", ""18157"", ""18159"", ""18181"", ""39017"", ""39073"", ""39077"", ""39081"", ""39099"", ""39109"", ""39119"", ""39155"", ""39157"", ""39159"", ""39169"", ""39171"", ""39175"", ""42005"", ""42025"", ""42031"", ""42041"", ""42043"", ""42047"", ""42053"", ""42085"", ""42089"", ""42119"", ""42127"", ""54025"", ""54033"", ""54039"", ""54067"", ""54073"", ""54079"", ""54089"", ""54091""]",384,304
0,bb7aadc6112ba771dd1e70af23ec8a1449b435b88bbc686e3fe703cf934bb122,U_D_t_target_t01h,4,"[""18009"", ""18023"", ""18025"", ""18029"", ""18039"", ""18041"", ""18045"", ""18051"", ""18059"", ""18061"", ""18065"", ""18067"", ""18071"", ""18073"", ""18077"", ""18083"", ""18085"", ""18087"", ""18093"", ""18095"", ""18103"", ""18105"", ""18111"", ""18121"", ""18123"", ""18127"", ""18129"", ""18133"", ""18135"", ""18139"", ""18143"", ""18145"", ""18153"", ""18155"", ""18157"", ""18159"", ""18165"", ""18171"", ""18173"", ""18175"", ""18177"", ""18181"", ""18183"", ""39017"", ""39023"", ""39029"", ""39031"", ""39033"", ""39037"", ""39049"", ""39059"", ""39061"", ""39063"", ""39073"", ""39077"", ""39081"", ""39087"", ""39091"", ""39093"", ""39095"", ""39097"", ""39099"", ""39103"", ""39105"", ""39107"", ""39109"", ""39113"", ""39119"", ""39123"", ""39125"", ""39129"", ""39131"", ""39135"", ""39137"", ""39143"", ""39149"", ""39155"", ""39157"", ""39159"", ""39167"", ""39169"", ""39171"", ""39173"", ""39175"", ""42005"", ""42009"", ""42015"", ""42019"", ""42023"", ""42025"", ""42031"", ""42033"", ""42041"", ""42043"", ""42045"", ""42047"", ""42049"", ""42053"", ""42057"", ""42059"", ""42067"", ""42069"", ""42075"", ""42079"", ""42081"", ""42083"", ""42085"", ""42089"", ""42091"", ""42095"", ""42113"", ""42115"", ""42119"", ""42127"", ""42129"", ""42131"", ""54009"", ""54025"", ""54029"", ""54031"", ""54033"", ""54035"", ""54037"", ""54039"", ""54043"", ""54045"", ""54047"", ""54053"", ""54057"", ""54067"", ""54069"", ""54071"", ""54073"", ""54075"", ""54079"", ""54083"", ""54085"", ""54089"", ""54091"", ""54097"", ""54099"", ""54107"", ""54109""]","[""18027"", ""18033"", ""18037"", ""18043"", ""18047"", ""18091"", ""18097"", ""18107"", ""18113"", ""18117"", ""18137"", ""18141"", ""18149"", ""18151"", ""18169"", ""39025"", ""39027"", ""39051"", ""39055"", ""39085"", ""39111"", ""39117"", ""39127"", ""39133"", ""39145"", ""39151"", ""39153"", ""39161"", ""39163"", ""42027"", ""42029"", ""42035"", ""42039"", ""42055"", ""42101"", ""42103"", ""42109"", ""42121"", ""42125"", ""54013"", ""54015"", ""54023"", ""54059"", ""54063"", ""54081"", ""54093"", ""54101"", ""54103""]",295,304
1,4ef836ecba15f06a4675e447ace7580ea2f9bded603f3ce36207c6aef83d15e0,U_D_t_target_t01h,0,"[""18009"", ""18027"", ""18029"", ""18033"", ""18037"", ""18039"", ""18043"", ""18047"", ""18051"", ""18061"", ""18065"", ""18067"", ""18071"", ""18073"", ""18077"", ""18083"", ""18087"", ""18091"", ""18093"", ""18095"", ""18097"", ""18103"", ""18107"", ""18113"", ""18117"", ""18121"", ""18123"", ""18127"", ""18135"", ""18137"", ""18139"", ""18141"", ""18145"", ""18149"", ""18151"", ""18157"", ""18159"", ""18165"", ""18169"", ""18171"", ""18175"", ""18177"", ""18181"", ""18183"", ""39017"", ""39025"", ""39027"", ""39031"", ""39033"", ""39049"", ""39051"", ""39055"", ""39073"", ""39077"", ""39081"", ""39085"", ""39087"", ""39095"", ""39097"", ""39099"", ""39103"", ""39105"", ""39109"", ""39111"", ""39113"", ""39117"", ""39119"", ""39125"", ""39127"", ""39129"", ""39131"", ""39133"", ""39137"", ""39145"", ""39151"", ""39153"", ""39155"", ""39157"", ""39159"", ""39161"", ""39163"", ""39169"", ""39171"", ""39173"", ""39175"", ""42005"", ""42009"", ""42015"", ""42019"", ""42025"", ""42027"", ""42029"", ""42031"", ""42035"", ""42039"", ""42041"", ""42043"", ""42045"", ""42047"", ""42049"", ""42053"", ""42055"", ""42079"", ""42083"", ""42085"", ""42089"", ""42095"", ""42101"", ""42103"", ""42109"", ""42113"", ""42119"", ""42121"", ""42125"", ""42127"", ""42131"", ""54009"", ""54013"", ""54015"", ""54023"", ""54025"", ""54031"", ""54033"", ""54035"", ""54039"", ""54045"", ""54053"", ""54059"", ""54063"", ""54067"", ""54069"", ""54071"", ""54073"", ""54079"", ""54081"", ""54089"", ""54091"", ""54093"", ""54097"", ""54099"", ""54101"", ""54103"", ""54107""]","[""18013"", ""18035"", ""18069"", ""18089"", ""18099"", ""18101"", ""18109"", ""18125"", ""18131"", ""18147"", ""18161"", ""18163"", ""18167"", ""18179"", ""39035"", ""39039"", ""39045"", ""39053"", ""39065"", ""39069"", ""39075"", ""39089"", ""39101"", ""39115"", ""39121"", ""39139"", ""39141"", ""39147"", ""39165"", ""42007"", ""42013"", ""42021"", ""42051"", ""42061"", ""42063"", ""42065"", ""42077"", ""42097"", ""42133"", ""54007"", ""54019"", ""54027"", ""54041"", ""54055"", ""54077"", ""54087"", ""54095"", ""54105""]",337,534
1,4ef836ecba15f06a4675e447ace7580ea2f9bded603f3ce36207c6aef83d15e0,U_D_t_target_t01h,2,"[""18009"", ""18013"", ""18027"", ""18029"", ""18033"", ""18035"", ""18037"", ""18043"", ""18047"", ""18061"", ""18065"", ""18067"", ""18069"", ""18071"", ""18073"", ""18087"", ""18089"", ""18091"", ""18093"", ""18095"", ""18097"", ""18099"", ""18101"", ""18103"", ""18107"", ""18109"", ""18113"", ""18117"", ""18125"", ""18127"", ""18131"", ""18137"", ""18141"", ""18147"", ""18149"", ""18151"", ""18157"", ""18159"", ""18161"", ""18163"", ""18167"", ""18169"", ""18179"", ""18181"", ""39017"", ""39025"", ""39027"", ""39035"", ""39039"", ""39045"", ""39051"", ""39053"", ""39055"", ""39065"", ""39069"", ""39073"", ""39075"", ""39077"", ""39081"", ""39085"", ""39089"", ""39099"", ""39101"", ""39109"", ""39111"", ""39115"", ""39117"", ""39119"", ""39121"", ""39127"", ""39133"", ""39139"", ""39141"", ""39145"", ""39147"", ""39151"", ""39153"", ""39155"", ""39157"", ""39159"", ""39161"", ""39163"", ""39165"", ""39169"", ""39171"", ""39175"", ""42005"", ""42007"", ""42013"", ""42021"", ""42025"", ""42027"", ""42029"", ""42031"", ""42035"", ""42039"", ""42041"", ""42043"", ""42047"", ""42051"", ""42053"", ""42055"", ""42061"", ""42063"", ""42065"", ""42077"", ""42085"", ""42089"", ""42097"", ""42101"", ""42103"", ""42109"", ""42119"", ""42121"", ""42125"", ""42127"", ""42133"", ""54007"", ""54013"", ""54015"", ""54019"", ""54023"", ""54025"", ""54027"", ""54033"", ""54039"", ""54041"", ""54055"", ""54059"", ""54063"", ""54067"", ""54073"", ""54077"", ""54079"", ""54081"", ""54087"", ""54089"", ""54091"", ""54093"", ""54095"", ""54101"", ""54103"", ""54105""]","[""18039"", ""18051"", ""18077"", ""18083"", ""18121"", ""18123"", ""18135"", ""18139"", ""18145"", ""18165"", ""18171"", ""18175"", ""18177"", ""18183"", ""39031"", ""39033"", ""39049"", ""39087"", ""39095"", ""39097"", ""39103"", ""39105"", ""39113"", ""39125"", ""39129"", ""39131"", ""39137"", ""39173"", ""42009"", ""42015"", ""42019"", ""42045"", ""42049"", ""42079"", ""42083"", ""42095"", ""42113"", ""42131"", ""54009"", ""54031"", ""54035"", ""54045"", ""54053"", ""54069"", ""54071"", ""54097"", ""54099"", ""54107""]",450,534
1,4ef836ecba15f06a4675e447ace7580ea2f9bded603f3ce36207c6aef83d15e0,U_D_t_target_t01h,3,"[""18013"", ""18027"", ""18033"", ""18035"", ""18037"", ""18039"", ""18043"", ""18047"", ""18051"", ""18069"", ""18077"", ""18083"", ""18089"", ""18091"", ""18097"", ""18099"", ""18101"", ""18107"", ""18109"", ""18113"", ""18117"", ""18121"", ""18123"", ""18125"", ""18131"", ""18135"", ""18137"", ""18139"", ""18141"", ""18145"", ""18147"", ""18149"", ""18151"", ""18161"", ""18163"", ""18165"", ""18167"", ""18169"", ""18171"", ""18175"", ""18177"", ""18179"", ""18183"", ""39025"", ""39027"", ""39031"", ""39033"", ""39035"", ""39039"", ""39045"", ""39049"", ""39051"", ""39053"", ""39055"", ""39065"", ""39069"", ""39075"", ""39085"", ""39087"", ""39089"", ""39095"", ""39097"", ""39101"", ""39103"", ""39105"", ""39111"", ""39113"", ""39115"", ""39117"", ""39121"", ""39125"", ""39127"", ""39129"", ""39131"", ""39133"", ""39137"", ""39139"", ""39141"", ""39145"", ""39147"", ""39151"", ""39153"", ""39161"", ""39163"", ""39165"", ""39173"", ""42007"", ""42009"", ""42013"", ""42015"", ""42019"", ""42021"", ""42027"", ""42029"", ""42035"", ""42039"", ""42045"", ""42049"", ""42051"", ""42055"", ""42061"", ""42063"", ""42065"", ""42077"", ""42079"", ""42083"", ""42095"", ""42097"", ""42101"", ""42103"", ""42109"", ""42113"", ""42121"", ""42125"", ""42131"", ""42133"", ""54007"", ""54009"", ""54013"", ""54015"", ""54019"", ""54023"", ""54027"", ""54031"", ""54035"", ""54041"", ""54045"", ""54053"", ""54055"", ""54059"", ""54063"", ""54069"", ""54071"", ""54077"", ""54081"", ""54087"", ""54093"", ""54095"", ""54097"", ""54099"", ""54101"", ""54103"", ""54105"", ""54107""]","[""18009"", ""18029"", ""18061"", ""18065"", ""18067"", ""18071"", ""18073"", ""18087"", ""18093"", ""18095"", ""18103"", ""18127"", ""18157"", ""18159"", ""18181"", ""39017"", ""39073"", ""39077"", ""39081"", ""39099"", ""39109"", ""39119"", ""39155"", ""39157"", ""39159"", ""39169"", ""39171"", ""39175"", ""42005"", ""42025"", ""42031"", ""42041"", ""42043"", ""42047"", ""42053"", ""42085"", ""42089"", ""42119"", ""42127"", ""54025"", ""54033"", ""54039"", ""54067"", ""54073"", ""54079"", ""54089"", ""54091""]",770,534
1,4ef836ecba15f06a4675e447ace7580ea2f9bded603f3ce36207c6aef83d15e0,U_D_t_target_t01h,4,"[""18009"", ""18013"", ""18029"", ""18035"", ""18039"", ""18051"", ""18061"", ""18065"", ""18067"", ""18069"", ""18071"", ""18073"", ""18077"", ""18083"", ""18087"", ""18089"", ""18093"", ""18095"", ""18099"", ""18101"", ""18103"", ""18109"", ""18121"", ""18123"", ""18125"", ""18127"", ""18131"", ""18135"", ""18139"", ""18145"", ""18147"", ""18157"", ""18159"", ""18161"", ""18163"", ""18165"", ""18167"", ""18171"", ""18175"", ""18177"", ""18179"", ""18181"", ""18183"", ""39017"", ""39031"", ""39033"", ""39035"", ""39039"", ""39045"", ""39049"", ""39053"", ""39065"", ""39069"", ""39073"", ""39075"", ""39077"", ""39081"", ""39087"", ""39089"", ""39095"", ""39097"", ""39099"", ""39101"", ""39103"", ""39105"", ""39109"", ""39113"", ""39115"", ""39119"", ""39121"", ""39125"", ""39129"", ""39131"", ""39137"", ""39139"", ""39141"", ""39147"", ""39155"", ""39157"", ""39159"", ""39165"", ""39169"", ""39171"", ""39173"", ""39175"", ""42005"", ""42007"", ""42009"", ""42013"", ""42015"", ""42019"", ""42021"", ""42025"", ""42031"", ""42041"", ""42043"", ""42045"", ""42047"", ""42049"", ""42051"", ""42053"", ""42061"", ""42063"", ""42065"", ""42077"", ""42079"", ""42083"", ""42085"", ""42089"", ""42095"", ""42097"", ""42113"", ""42119"", ""42127"", ""42131"", ""42133"", ""54007"", ""54009"", ""54019"", ""54025"", ""54027"", ""54031"", ""54033"", ""54035"", ""54039"", ""54041"", ""54045"", ""54053"", ""54055"", ""54067"", ""54069"", ""54071"", ""54073"", ""54077"", ""54079"", ""54087"", ""54089"", ""54091"", ""54095"", ""54097"", ""54099"", ""54105"", ""54107""]","[""18027"", ""18033"", ""18037"", ""18043"", ""18047"", ""18091"", ""18097"", ""18107"", ""18113"", ""18117"", ""18137"", ""18141"", ""18149"", ""18151"", ""18169"", ""39025"", ""39027"", ""39051"", ""39055"", ""39085"", ""39111"", ""39117"", ""39127"", ""39133"", ""39145"", ""39151"", ""39153"", ""39161"", ""39163"", ""42027"", ""42029"", ""42035"", ""42039"", ""42055"", ""42101"", ""42103"", ""42109"", ""42121"", ""42125"", ""54013"", ""54015"", ""54023"", ""54059"", ""54063"", ""54081"", ""54093"", ""54101"", ""54103""]",581,534
2,79ea1304fd980f4acb3850386cf6d5023317cfa46e7b499b7048d06cf6951db3,U_D_t_target_t01h,0,"[""18009"", ""18023"", ""18025"", ""18027"", ""18029"", ""18033"", ""18037"", ""18041"", ""18043"", ""18045"", ""18047"", ""18059"", ""18061"", ""18065"", ""18067"", ""18071"", ""18073"", ""18085"", ""18087"", ""18091"", ""18093"", ""18095"", ""18097"", ""18103"", ""18105"", ""18107"", ""18111"", ""18113"", ""18117"", ""18127"", ""18129"", ""18133"", ""18137"", ""18141"", ""18143"", ""18149"", ""18151"", ""18153"", ""18155"", ""18157"", ""18159"", ""18169"", ""18173"", ""18181"", ""39017"", ""39023"", ""39025"", ""39027"", ""39029"", ""39037"", ""39051"", ""39055"", ""39059"", ""39061"", ""39063"", ""39073"", ""39077"", ""39081"", ""39085"", ""39091"", ""39093"", ""39099"", ""39107"", ""39109"", ""39111"", ""39117"", ""39119"", ""39123"", ""39127"", ""39133"", ""39135"", ""39143"", ""39145"", ""39149"", ""39151"", ""39153"", ""39155"", ""39157"", ""39159"", ""39161"", ""39163"", ""39167"", ""39169"", ""39171"", ""39175"", ""42005"", ""42023"", ""42025"", ""42027"", ""42029"", ""42031"", ""42033"", ""42035"", ""42039"", ""42041"", ""42043"", ""42047"", ""42053"", ""42055"", ""42057"", ""42059"", ""42067"", ""42069"", ""42075"", ""42081"", ""42085"", ""42089"", ""42091"", ""42101"", ""42103"", ""42109"", ""42115"", ""42119"", ""42121"", ""42125"", ""42127"", ""42129"", ""54013"", ""54015"", ""54023"", ""54025"", ""54029"", ""54033"", ""54037"", ""54039"", ""54043"", ""54047"", ""54057"", ""54059"", ""54063"", ""54067"", ""54073"", ""54075"", ""54079"", ""54081"", ""54083"", ""54085"", ""54089"", ""54091"", ""54093"", ""54101"", ""54103"", ""54109""]","[""18013"", ""18035"", ""18069"", ""18089"", ""18099"", ""18101"", ""18109"", ""18125"", ""18131"", ""18147"", ""18161"", ""18163"", ""18167"", ""18179"", ""39035"", ""39039"", ""39045"", ""39053"", ""39065"", ""39069"", ""39075"", ""39089"", ""39101"", ""39115"", ""39121"", ""39139"", ""39141"", ""39147"", ""39165"", ""42007"", ""42013"", ""42021"", ""42051"", ""42061"", ""42063"", ""42065"", ""42077"", ""42097"", ""42133"", ""54007"", ""54019"", ""54027"", ""54041"", ""54055"", ""54077"", ""54087"", ""54095"", ""54105""]",268,335
2,79ea1304fd980f4acb3850386cf6d5023317cfa46e7b499b7048d06cf6951db3,U_D_t_target_t01h,1,"[""18009"", ""18013"", ""18027"", ""18029"", ""18033"", ""18035"", ""18037"", ""18043"", ""18047"", ""18061"", ""18065"", ""18067"", ""18069"", ""18071"", ""18073"", ""18087"", ""18089"", ""18091"", ""18093"", ""18095"", ""18097"", ""18099"", ""18101"", ""18103"", ""18107"", ""18109"", ""18113"", ""18117"", ""18125"", ""18127"", ""18131"", ""18137"", ""18141"", ""18147"", ""18149"", ""18151"", ""18157"", ""18159"", ""18161"", ""18163"", ""18167"", ""18169"", ""18179"", ""18181"", ""39017"", ""39025"", ""39027"", ""39035"", ""39039"", ""39045"", ""39051"", ""39053"", ""39055"", ""39065"", ""39069"", ""39073"", ""39075"", ""39077"", ""39081"", ""39085"", ""39089"", ""39099"", ""39101"", ""39109"", ""39111"", ""39115"", ""39117"", ""39119"", ""39121"", ""39127"", ""39133"", ""39139"", ""39141"", ""39145"", ""39147"", ""39151"", ""39153"", ""39155"", ""39157"", ""39159"", ""39161"", ""39163"", ""39165"", ""39169"", ""39171"", ""39175"", ""42005"", ""42007"", ""42013"", ""42021"", ""42025"", ""42027"", ""42029"", ""42031"", ""42035"", ""42039"", ""42041"", ""42043"", ""42047"", ""42051"", ""42053"", ""42055"", ""42061"", ""42063"", ""42065"", ""42077"", ""42085"", ""42089"", ""42097"", ""42101"", ""42103"", ""42109"", ""42119"", ""42121"", ""42125"", ""42127"", ""42133"", ""54007"", ""54013"", ""54015"", ""54019"", ""54023"", ""54025"", ""54027"", ""54033"", ""54039"", ""54041"", ""54055"", ""54059"", ""54063"", ""54067"", ""54073"", ""54077"", ""54079"", ""54081"", ""54087"", ""54089"", ""54091"", ""54093"", ""54095"", ""54101"", ""54103"", ""54105""]","[""18023"", ""18025"", ""18041"", ""18045"", ""18059"", ""18085"", ""18105"", ""18111"", ""18129"", ""18133"", ""18143"", ""18153"", ""18155"", ""18173"", ""39023"", ""39029"", ""39037"", ""39059"", ""39061"", ""39063"", ""39091"", ""39093"", ""39107"", ""39123"", ""39135"", ""39143"", ""39149"", ""39167"", ""42023"", ""42033"", ""42057"", ""42059"", ""42067"", ""42069"", ""42075"", ""42081"", ""42091"", ""42115"", ""42129"", ""54029"", ""54037"", ""54043"", ""54047"", ""54057"", ""54075"", ""54083"", ""54085"", ""54109""]",35,335
