comparison,horizon,model,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
C_minus_B,osi_target_t01h,C0_direct_osi,0,6864,0.00832515760518944,0.003107115945555828,0.4757318221741358,0.00017198149758058354,0.00832515760518944,0.003107115945555828,0.4757318221741358,0.00017198149758058354,0.0,0.0,0.0,0
C_minus_B,osi_target_t01h,C0_direct_osi,1,6721,0.010492858069850626,0.00353633729232201,0.7399825736559517,0.0007995436090800185,0.010492858069850626,0.00353633729232201,0.7399825736559517,0.0007995436090800185,0.0,0.0,0.0,0
C_minus_B,osi_target_t01h,C0_direct_osi,2,6864,0.01706235062027028,0.003685623238595099,1.9982738228415537,-0.0009345352875872492,0.01706235062027028,0.003685623238595099,1.9982738228415537,-0.0009345352875872492,0.0,0.0,0.0,0
C_minus_B,osi_target_t01h,C0_direct_osi,3,6864,0.010678463283869361,0.003744391241847355,0.7826990241123495,-0.0008594448880139901,0.010678463283869361,0.003744391241847355,0.7826990241123495,-0.0008594448880139901,0.0,0.0,0.0,0
C_minus_B,osi_target_t01h,C0_direct_osi,4,6864,0.008139656272127836,0.0033666950043924324,0.4547674850236691,0.0004940767763714636,0.008139656272127836,0.0033666950043924324,0.4547674850236691,0.0004940767763714636,0.0,0.0,0.0,0
C_minus_A,osi_target_t01h,C0_direct_osi,0,6864,0.00832515760518944,0.003107115945555828,0.4757318221741358,0.00017198149758058354,0.00832515760518944,0.003107115945555828,0.4757318221741358,0.00017198149758058354,0.0,0.0,0.0,0
C_minus_A,osi_target_t01h,C0_direct_osi,1,6721,0.010492858069850626,0.00353633729232201,0.7399825736559517,0.0007995436090800185,0.010492858069850626,0.00353633729232201,0.7399825736559517,0.0007995436090800185,0.0,0.0,0.0,0
C_minus_A,osi_target_t01h,C0_direct_osi,2,6864,0.01706235062027028,0.003685623238595099,1.9982738228415537,-0.0009345352875872492,0.01706235062027028,0.003685623238595099,1.9982738228415537,-0.0009345352875872492,0.0,0.0,0.0,0
C_minus_A,osi_target_t01h,C0_direct_osi,3,6864,0.010678463283869361,0.003744391241847355,0.7826990241123495,-0.0008594448880139901,0.010678463283869361,0.003744391241847355,0.7826990241123495,-0.0008594448880139901,0.0,0.0,0.0,0
C_minus_A,osi_target_t01h,C0_direct_osi,4,6864,0.008139656272127836,0.0033666950043924324,0.4547674850236691,0.0004940767763714636,0.008139656272127836,0.0033666950043924324,0.4547674850236691,0.0004940767763714636,0.0,0.0,0.0,0
B_minus_A,osi_target_t01h,C0_direct_osi,0,6864,0.00832515760518944,0.003107115945555828,0.4757318221741358,0.00017198149758058354,0.00832515760518944,0.003107115945555828,0.4757318221741358,0.00017198149758058354,0.0,0.0,0.0,0
B_minus_A,osi_target_t01h,C0_direct_osi,1,6721,0.010492858069850626,0.00353633729232201,0.7399825736559517,0.0007995436090800185,0.010492858069850626,0.00353633729232201,0.7399825736559517,0.0007995436090800185,0.0,0.0,0.0,0
B_minus_A,osi_target_t01h,C0_direct_osi,2,6864,0.01706235062027028,0.003685623238595099,1.9982738228415537,-0.0009345352875872492,0.01706235062027028,0.003685623238595099,1.9982738228415537,-0.0009345352875872492,0.0,0.0,0.0,0
B_minus_A,osi_target_t01h,C0_direct_osi,3,6864,0.010678463283869361,0.003744391241847355,0.7826990241123495,-0.0008594448880139901,0.010678463283869361,0.003744391241847355,0.7826990241123495,-0.0008594448880139901,0.0,0.0,0.0,0
B_minus_A,osi_target_t01h,C0_direct_osi,4,6864,0.008139656272127836,0.0033666950043924324,0.4547674850236691,0.0004940767763714636,0.008139656272127836,0.0033666950043924324,0.4547674850236691,0.0004940767763714636,0.0,0.0,0.0,0
C_minus_B,osi_target_t01h,C1_component_osi,0,6864,0.008247647425868214,0.0031343944078385025,0.46691459485365955,0.000259640489124198,0.00813538166915343,0.0031274693190581973,0.454289961172803,0.00022102593282296098,-0.00011226575671478486,-1.3611852073437403,0.012624633680856534,3630
C_minus_B,osi_target_t01h,C1_component_osi,1,6721,0.00991751389162991,0.0033931224029298775,0.6610579467151081,0.0006983083322421274,0.009751773870444272,0.0034706528022832635,0.6391475662218995,0.000727131316291309,-0.0001657400211856376,-1.6711851679433232,0.021910380493208592,3506
C_minus_B,osi_target_t01h,C1_component_osi,2,6864,0.01720372344715767,0.0037242708180471834,2.0315250414632833,-0.000872389996835985,0.01712615151757814,0.0037132793917463696,2.013245971672094,-0.0009094580148811311,-7.757192957952991e-05,-0.4509019795499336,0.01827906979118943,3403
