comparison,horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
C_minus_A,osi_target_t06h,v18_rule,54009,Brooke County,4,138,0.019632670685975614,0.009969272540182376,0.05319096264042734,-0.0017487587569302919,0.018476866489610364,0.00963663712056589,0.047112454147934336,-0.0013581940946984599,-0.0011558041963652503,-5.887147066501175,0.006078508492493001,128
C_minus_A,osi_target_t06h,v18_rule,39125,Paulding County,3,138,0.020116731709144766,0.01032056498342137,0.055846239462764055,0.004718025052464837,0.019581583218276997,0.009975152290314964,0.0529144993841344,0.004137040129589565,-0.0005351484908677692,-2.660215877037808,0.0029317400786296535,87
C_minus_A,osi_target_t06h,v18_rule,42021,Cambria County,3,138,0.007592455734236256,0.0029832547626712667,0.007955063002534506,0.0018145012826008193,0.006699063117927062,0.0027407265100839614,0.0061930876387999495,0.0016269279014735436,-0.0008933926163091936,-11.766846559021293,0.0017619753637345562,77
C_minus_A,osi_target_t06h,v18_rule,39091,Logan County,4,138,0.009970226961601469,0.0053731325265262975,0.013717948741886591,0.005322335417574899,0.009418807115387926,0.00525231891230222,0.012242521991809746,0.005211859337415738,-0.0005514198462135429,-5.530664932074636,0.0014754267500768446,86
C_minus_A,osi_target_t06h,v18_rule,42053,Forest County,2,138,0.0724005088818317,0.024989872940227486,0.7233730487160501,-0.020280333096567092,0.07234237704472252,0.02492312028436704,0.7222118932743499,-0.020469642417034764,-5.8131837109176576e-05,-0.0802920283392683,0.0011611554417002568,128
C_minus_A,osi_target_t06h,v18_rule,42125,Washington County,4,138,0.010282976876706347,0.005452058535258696,0.014592066655669084,0.004951523279799747,0.00989558836367729,0.005280566202976383,0.013513328330741665,0.004768727527099405,-0.0003873885130290574,-3.7672798225054316,0.0010787383249274193,86
C_minus_A,osi_target_t06h,v18_rule,42063,Indiana County,1,138,0.008446503123420003,0.004594352841181129,0.009845391271924252,0.0011153258076776376,0.008026744370470192,0.0045359051179108155,0.008891150276064736,0.0009221910905892559,-0.0004197587529498111,-4.969615790301751,0.0009542409958595167,94
C_minus_A,osi_target_t06h,v18_rule,54091,Taylor County,4,138,0.007324561699565149,0.0048062504563909985,0.007403590164521666,0.00478016349986926,0.006874007048895049,0.004586782156490105,0.0065207722613397166,0.0045650430260553215,-0.0004505546506701,-6.151284802431922,0.0008828179031819495,90
C_minus_A,osi_target_t06h,v18_rule,18121,Parke County,4,138,0.02332418116335256,0.008118028375425463,0.07507440491784287,-0.00581475157039229,0.02318999853679296,0.008066919122771542,0.07421309243483144,-0.0057711647298940615,-0.0001341826265595994,-0.5752940504956672,0.0008613124830114255,71
C_minus_A,osi_target_t06h,v18_rule,42065,Jefferson County,0,138,0.009843961840122048,0.004660712291801075,0.013372694689949512,0.0032140041258851525,0.009632531224584297,0.00453702676593355,0.012804420775377622,0.003036444227181598,-0.00021143061553775128,-2.147820348876217,0.0005682739145718898,76
