horizon,fipsCode,countyName,sse_reduction_split42,sse_reduction_split20260917,sse_reduction_split20260918,confirmation_improved_splits,confirmation_worsened_splits
osi_target_t01h,18009,Blackford County,0.00021624275420438922,0.00010132280735229791,9.253439811677568e-05,2,0
osi_target_t01h,18013,Brown County,7.601061351622529e-05,0.0013521495494525637,0.0002194145355603888,2,0
osi_target_t01h,18023,Clinton County,-1.8586163170573747e-05,-2.0287463994961936e-06,1.849875926373352e-05,1,1
osi_target_t01h,18025,Crawford County,3.5137680325807163e-05,-7.384377225408759e-05,-3.20809860512028e-05,0,2
osi_target_t01h,18027,Daviess County,-7.056343005674287e-06,-2.2275319594230298e-05,-4.4930152947689336e-05,0,2
osi_target_t01h,18029,Dearborn County,2.2974151301272767e-06,1.3096265480551698e-05,1.2764659014719492e-07,2,0
osi_target_t01h,18033,DeKalb County,-2.154184431021693e-05,6.59024997629932e-06,-1.5741524757300219e-06,1,1
osi_target_t01h,18035,Delaware County,-6.646996535087215e-06,-7.830546278587752e-05,-3.316271074752463e-05,0,2
osi_target_t01h,18037,Dubois County,3.859154291297232e-05,8.947986281232501e-07,1.2469225875017236e-05,2,0
osi_target_t01h,18039,Elkhart County,5.300212173201717e-06,-1.3364945243911114e-05,1.6741384116355064e-05,1,1
osi_target_t01h,18041,Fayette County,2.2189327352569246e-05,4.072744671424367e-05,1.978244580051313e-05,2,0
osi_target_t01h,18043,Floyd County,7.81155946626979e-06,-1.4403008942473028e-06,6.075704997162237e-07,1,1
osi_target_t01h,18045,Fountain County,4.54645572477867e-05,0.00011450472824233175,8.050694463979167e-06,2,0
osi_target_t01h,18047,Franklin County,4.1338945724902825e-05,1.2145686864464041e-05,7.87226121574296e-07,2,0
osi_target_t01h,18051,Gibson County,-2.352157989134342e-06,3.3849761102795392e-06,1.3311424234608606e-07,2,0
osi_target_t01h,18059,Hancock County,8.095867477702392e-06,5.9231741874987795e-06,-1.0273807758317253e-06,1,1
osi_target_t01h,18061,Harrison County,-4.425347579636342e-05,-1.4742973138204447e-05,1.3726040078496007e-05,1,1
osi_target_t01h,18065,Henry County,8.75755831998711e-06,1.8549428797824587e-05,7.721780115224836e-06,2,0
osi_target_t01h,18067,Howard County,1.3316097686751028e-05,1.6803191298071644e-05,2.9732220166894027e-06,2,0
osi_target_t01h,18069,Huntington County,1.1552803616666146e-05,7.273770894489787e-06,1.2558904707507461e-05,2,0
osi_target_t01h,18071,Jackson County,6.486846040744485e-05,-0.00011801524499027282,7.236992516267485e-05,1,1
osi_target_t01h,18073,Jasper County,-9.382201953721074e-05,-1.6390168343731557e-05,8.688328444434595e-06,1,1
osi_target_t01h,18077,Jefferson County,-0.00012384686225527363,1.6112150865629435e-05,-5.517552508891351e-05,1,1
osi_target_t01h,18083,Knox County,-4.008075482256454e-05,6.8155515901598e-06,-3.835810317763229e-05,1,1
osi_target_t01h,18085,Kosciusko County,-0.00046358043306463396,-1.0075319931164691e-05,-2.3186369333840656e-05,0,2
osi_target_t01h,18087,LaGrange County,1.1183923712716347e-05,-2.647468430405853e-05,-3.0092486102001326e-05,0,2
osi_target_t01h,18089,Lake County,-1.6358788991334893e-05,1.0387353565267498e-05,-6.105345142409823e-05,1,1
osi_target_t01h,18091,LaPorte County,1.198965010722181e-05,-4.849356183762572e-06,3.3422500595894455e-06,1,1
osi_target_t01h,18093,Lawrence County,-3.256203440066968e-06,-2.760613759750577e-05,0.00019168621263001596,1,1
osi_target_t01h,18095,Madison County,-4.826975365477605e-06,-1.306103000071055e-06,-1.2088621813535392e-06,0,2
osi_target_t01h,18097,Marion County,1.0162300189555548e-06,2.0716165751912815e-06,-1.9235983239943147e-06,1,1
osi_target_t01h,18099,Marshall County,-3.99556020833601e-06,-8.921354349680083e-06,3.6843910492141696e-07,1,1
osi_target_t01h,18101,Martin County,-6.328235520322752e-06,3.255117827774632e-05,-2.621714355352349e-05,1,1
osi_target_t01h,18103,Miami County,0.00013191145773073327,2.641368661205441e-05,7.85804755448617e-05,2,0
osi_target_t01h,18105,Monroe County,-6.629447271521219e-06,-6.086731659891292e-07,-1.0170820455707489e-05,0,2
osi_target_t01h,18107,Montgomery County,7.975883181140895e-06,4.049439288937557e-06,4.4003694290182453e-07,2,0
osi_target_t01h,18109,Morgan County,0.00013444155579897055,6.624418900387594e-05,2.2629523087310368e-05,2,0
osi_target_t01h,18111,Newton County,0.00010454040058911415,-0.00014396454546058719,2.0355303290504044e-05,1,1
osi_target_t01h,18113,Noble County,1.5979377374841314e-05,6.9131311234855975e-06,-5.32845804429054e-06,1,1
osi_target_t01h,18117,Orange County,4.512262204263429e-06,-7.426948114633292e-06,-0.00016375936817549647,0,2
osi_target_t01h,18121,Parke County,0.0002885234574183382,-0.0002987374721666186,0.0008390603332611019,1,1
osi_target_t01h,18123,Perry County,7.207453660867166e-05,-5.579604891993526e-05,-1.5048440131718108e-05,0,2
osi_target_t01h,18125,Pike County,-1.2693790114492749e-05,-5.472505951207001e-06,4.059533419968533e-05,1,1
osi_target_t01h,18127,Porter County,-7.913311792296664e-05,-9.87458913916878e-05,-4.557637723280193e-06,0,2
osi_target_t01h,18129,Posey County,3.898373726336833e-06,-7.235147941007936e-07,-4.066839872711849e-06,0,2
osi_target_t01h,18131,Pulaski County,-0.0005263073177433075,-4.88555386836953e-05,0.00020808161623663002,1,1
osi_target_t01h,18133,Putnam County,-4.651284924801194e-06,-1.69175829804948e-05,-7.266828215578985e-06,0,2
osi_target_t01h,18135,Randolph County,5.4950125672905466e-05,7.451606316849642e-05,9.435134837003064e-05,2,0
osi_target_t01h,18137,Ripley County,7.347420658437983e-06,1.740705551582988e-05,6.672713770831604e-06,2,0
osi_target_t01h,18139,Rush County,2.3167597021862222e-05,-2.921688546824938e-06,1.2038786002538686e-05,1,1
osi_target_t01h,18141,St. Joseph County,6.868708678893769e-06,1.3151713908643014e-05,3.5392320197791705e-05,2,0
osi_target_t01h,18143,Scott County,-1.2029322415487743e-05,7.849733058978175e-05,5.1833827204193425e-06,2,0
osi_target_t01h,18145,Shelby County,1.1366762473466024e-05,-2.248478885677474e-06,2.289979743753511e-06,1,1
osi_target_t01h,18147,Spencer County,-6.764860011554082e-07,-1.2263187816954901e-05,-1.299887214175374e-05,0,2
osi_target_t01h,18149,Starke County,-0.0002138323692255509,1.655376510789901e-05,0.0004704156632655532,2,0
osi_target_t01h,18151,Steuben County,0.00013872963558942894,-0.00018433510638676126,0.00019797668354028242,1,1
osi_target_t01h,18153,Sullivan County,-4.69795560235827e-05,-3.1053623046410324e-05,-1.9842117671473427e-06,0,2
osi_target_t01h,18155,Switzerland County,-4.508602494978655e-05,0.00013879594336670392,0.00017204807102395728,2,0
osi_target_t01h,18157,Tippecanoe County,7.631158503432922e-06,-3.0486949371789983e-06,9.136064295128658e-06,1,1
osi_target_t01h,18159,Tipton County,2.5431469974254196e-05,-1.2367248939874897e-05,-1.5865800329331776e-06,0,2
osi_target_t01h,18161,Union County,4.157581037069662e-05,-3.9532164657216464e-05,4.51082355741937e-05,1,1
osi_target_t01h,18163,Vanderburgh County,3.33408801038009e-07,6.108708144211662e-06,-3.0804712018465006e-06,1,1
