split_seed,comparison,horizon,improved_counties,worsened_counties,unchanged_counties,improved_rows,worsened_rows,unchanged_rows,sse_reduction,morrow_sse_reduction,morrow_fraction_of_net_sse_reduction
42,C_minus_B,osi_target_t01h,136,103,0,8538,8506,17133,0.098859565948351,0.06707068924225623,0.6784440999599086
42,C_minus_A,osi_target_t01h,136,103,0,8554,8511,17112,0.12177477574960975,0.08989650911141267,0.7382194593095012
42,C_minus_B,osi_target_t06h,130,109,0,8070,8169,16743,0.0010951674254696692,-0.006963645792538289,-6.358521656679012
42,C_minus_A,osi_target_t06h,130,109,0,8070,8169,16743,0.0010951674254696692,-0.006963645792538289,-6.358521656679012
42,C_minus_B,osi_target_t24h,0,0,239,0,0,28680,0.0,0.0,
42,C_minus_A,osi_target_t24h,0,0,239,0,0,28680,0.0,0.0,
42,C_minus_B,osi_target_t48h,0,0,239,0,0,22944,0.0,0.0,
42,C_minus_A,osi_target_t48h,0,0,239,0,0,22944,0.0,0.0,
20260917,C_minus_B,osi_target_t01h,124,115,0,8132,8592,17453,0.08081787996322083,0.07440985150384344,0.9207102628490923
20260917,C_minus_A,osi_target_t01h,126,113,0,8144,8600,17433,0.10498682575635924,0.09851796172907329,0.9383840402766522
20260917,C_minus_B,osi_target_t06h,111,128,0,7689,8197,17096,-0.03968310286561827,-0.005561828483768641,0.14015608866582482
20260917,C_minus_A,osi_target_t06h,111,128,0,7689,8197,17096,-0.03968310286561827,-0.005561828483768641,0.14015608866582482
20260917,C_minus_B,osi_target_t24h,0,0,239,0,0,28680,0.0,0.0,
20260917,C_minus_A,osi_target_t24h,0,0,239,0,0,28680,0.0,0.0,
20260917,C_minus_B,osi_target_t48h,0,0,239,0,0,22944,0.0,0.0,
20260917,C_minus_A,osi_target_t48h,0,0,239,0,0,22944,0.0,0.0,
20260918,C_minus_B,osi_target_t01h,130,109,0,8484,8386,17307,0.0765989291711322,0.04674501321044372,0.6102567453130988
20260918,C_minus_A,osi_target_t01h,130,109,0,8492,8386,17299,0.09248263966335775,0.06268234772396147,0.677774206620063
20260918,C_minus_B,osi_target_t06h,118,121,0,8027,8004,16951,-0.012521975909314314,-0.008845337754263008,0.7063851438720238
20260918,C_minus_A,osi_target_t06h,118,121,0,8027,8004,16951,-0.012521975909314314,-0.008845337754263008,0.7063851438720238
20260918,C_minus_B,osi_target_t24h,0,0,239,0,0,28680,0.0,0.0,
20260918,C_minus_A,osi_target_t24h,0,0,239,0,0,28680,0.0,0.0,
20260918,C_minus_B,osi_target_t48h,0,0,239,0,0,22944,0.0,0.0,
20260918,C_minus_A,osi_target_t48h,0,0,239,0,0,22944,0.0,0.0,
