split_seed,comparison,horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,C_minus_B,osi_target_t01h,v18_rule,18013,Brown County,1,143,0.029040645430954554,0.013527973143652507,0.12060034944763828,-0.008245865587655131,0.02903149228500939,0.013358681081601702,0.12052433883412206,-0.008506137382320212,-9.153145945163532e-06,-0.03151839709253368,7.601061351622529e-05,89
42,C_minus_B,osi_target_t01h,v18_rule,39115,Morgan County,2,143,0.03168897102654186,0.006666488338814729,0.14359929651510434,-0.005343396200160889,0.03170306282601568,0.006733312793563923,0.14372703953469249,-0.005269657183057868,1.4091799473814337e-05,0.0444690976618034,-0.00012774301958815015,94
42,C_minus_B,osi_target_t01h,v18_rule,39117,Morrow County,4,143,0.049467221782080226,0.019994027754621065,0.3499218624097643,-0.017212059378916997,0.04447448967599983,0.019187059809541912,0.2828511731675081,-0.016339744249115027,-0.004992732106080394,-10.093010939799818,0.06707068924225623,143
42,C_minus_B,osi_target_t01h,v18_rule,39119,Muskingum County,1,143,0.028815581500698715,0.019757810962833352,0.11873829642294764,0.019734034739057126,0.027990515863629134,0.019051462093068273,0.11203606389862661,0.01902768586929205,-0.0008250656370695809,-2.8632621453416607,0.0067022325243210334,122
42,C_minus_B,osi_target_t01h,v18_rule,42053,Forest County,3,143,0.09526750288974153,0.0346571076860474,1.2978532862791086,-0.02652043058583366,0.0952842047978121,0.034672703525039976,1.29830839480505,-0.02681621593404941,1.6701908070571037e-05,0.017531590063724067,-0.0004551085259414389,129
42,C_minus_B,osi_target_t01h,v18_rule,54013,Calhoun County,2,143,0.04323215983607627,0.021718426937590636,0.2672698091051626,-0.020311643007006358,0.04337253739035053,0.021734812313569028,0.26900831095386174,-0.02042790386001006,0.00014037755427426246,0.32470631771934766,-0.0017385018486991144,106
42,C_minus_B,osi_target_t01h,v18_rule,54015,Clay County,2,143,0.05007024721654765,0.0264978276678463,0.35850524085464636,-0.023972505950862068,0.05016784698841244,0.026508671891042,0.3599042406177451,-0.02412040012306904,9.759977186478419e-05,0.1949256839948843,-0.0013989997630987627,123
42,C_minus_B,osi_target_t06h,v18_rule,18013,Brown County,1,138,0.029482698294174922,0.013613548861376041,0.1199536708213376,-0.008949197070341296,0.0295108194544293,0.013545024866505561,0.12018260815232536,-0.009111997164949757,2.812116025437822e-05,0.09538190831037685,-0.00022893733098776348,85
42,C_minus_B,osi_target_t06h,v18_rule,39115,Morgan County,2,138,0.032223765196234995,0.006645222684636415,0.14329520399224782,-0.005799802598504985,0.03223435098300018,0.006691002235665936,0.14338936689474377,-0.005746857957500122,1.0585786765188177e-05,0.03285086860806974,-9.416290249594783e-05,89
42,C_minus_B,osi_target_t06h,v18_rule,39117,Morrow County,4,138,0.028023372313500664,0.012836759472442632,0.10837269662330844,-0.009953995141097117,0.02890969728683233,0.01327136427207429,0.11533634241584673,-0.01032088510438556,0.0008863249733316661,3.162806258348372,-0.006963645792538289,138
