comparison,horizon,model,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
G_minus_B,osi_target_t01h,C0_direct_osi,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
G_minus_A,osi_target_t01h,C0_direct_osi,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
G_minus_C,osi_target_t01h,C0_direct_osi,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
G_minus_B,osi_target_t01h,C1_component_osi,34177,0.011878902534761171,0.0035384359938404534,4.822659238233256,-0.00010612166590645576,0.011753906771635035,0.003522146736235037,4.721700344891933,-9.795172563241852e-05,-0.0001249957631261362,-1.052250094319418,0.10095889334132302,607
G_minus_A,osi_target_t01h,C1_component_osi,34177,0.011907090816672686,0.003540335342219387,4.845574448034514,-0.0001090468730581216,0.011753906771635035,0.003522146736235037,4.721700344891933,-9.795172563241852e-05,-0.00015318404503765135,-1.2864943032361742,0.1238741031425814,628
G_minus_C,osi_target_t01h,C1_component_osi,34177,0.011745182099166654,0.0035086622025096146,4.714693312997921,-0.00013105281710270035,0.011753906771635035,0.003522146736235037,4.721700344891933,-9.795172563241852e-05,8.724672468381212e-06,0.07428299020584284,-0.007007031894011639,16513
G_minus_B,osi_target_t01h,C2_equal_blend,34177,0.01193424034852952,0.0035439898492478313,4.867696570087254,-0.00012756522203246425,0.011865128386645472,0.0035353383618447615,4.811481520552516,-0.00012362636729433598,-6.911196188404828e-05,-0.579106502514537,0.05621504953473799,614
G_minus_A,osi_target_t01h,C2_equal_blend,34177,0.011948976400110755,0.0035449071315145674,4.8797249709045705,-0.00012901454207799425,0.011865128386645472,0.0035353383618447615,4.811481520552516,-0.00012362636729433598,-8.384801346528366e-05,-0.7017171233554942,0.06824345035205415,635
G_minus_C,osi_target_t01h,C2_equal_blend,34177,0.011856171679596652,0.0035267786869398643,4.8042201132869735,-0.00014354318548681427,0.011865128386645472,0.0035353383618447615,4.811481520552516,-0.00012362636729433598,8.956707048819734e-06,0.07554468078623255,-0.0072614072655428075,16151
G_minus_B,osi_target_t01h,C3_aligned_component,34177,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,0.011628814288783167,0.0034747668922355973,4.6217325298943095,-0.00010212249937635163,-0.00012632598248008171,-1.0746446198426018,0.10095889334132213,607
G_minus_A,osi_target_t01h,C3_aligned_component,34177,0.011783624615677923,0.0034929554982199478,4.745606633036891,-0.00011321764680205473,0.011628814288783167,0.0034747668922355973,4.6217325298943095,-0.00010212249937635163,-0.00015481032689475607,-1.3137751069291825,0.1238741031425814,628
G_minus_C,osi_target_t01h,C3_aligned_component,34177,0.011631455064359725,0.003472149878248777,4.62383185728728,-0.00011660144169487988,0.011628814288783167,0.0034747668922355973,4.6217325298943095,-0.00010212249937635163,-2.6407755765577717e-06,-0.02270374223986016,0.0020993273929708067,16437
