outer_fold,model_id,target,inner_fold,train_counties,early_stop_counties,best_iteration,refit_rounds
0,70acce2070986be189297bf4a30da11e8d1fe91be92e76a556265e94b3c2e0c1,U_D_t_target_t01h,1,"[""18023"", ""18025"", ""18027"", ""18037"", ""18039"", ""18041"", ""18043"", ""18045"", ""18047"", ""18059"", ""18061"", ""18065"", ""18067"", ""18073"", ""18077"", ""18083"", ""18085"", ""18087"", ""18089"", ""18099"", ""18101"", ""18105"", ""18109"", ""18111"", ""18117"", ""18123"", ""18127"", ""18129"", ""18131"", ""18133"", ""18139"", ""18141"", ""18143"", ""18145"", ""18149"", ""18153"", ""18155"", ""18163"", ""18165"", ""18167"", ""18169"", ""18173"", ""18175"", ""18181"", ""39029"", ""39031"", ""39033"", ""39035"", ""39045"", ""39051"", ""39053"", ""39061"", ""39065"", ""39073"", ""39075"", ""39081"", ""39085"", ""39087"", ""39091"", ""39093"", ""39097"", ""39103"", ""39107"", ""39111"", ""39113"", ""39115"", ""39117"", ""39129"", ""39131"", ""39139"", ""39141"", ""39143"", ""39145"", ""39147"", ""39149"", ""39151"", ""39157"", ""39159"", ""39161"", ""39163"", ""39165"", ""39167"", ""39169"", ""39171"", ""39175"", ""42005"", ""42015"", ""42021"", ""42023"", ""42031"", ""42033"", ""42035"", ""42041"", ""42045"", ""42047"", ""42051"", ""42053"", ""42057"", ""42059"", ""42061"", ""42063"", ""42067"", ""42069"", ""42077"", ""42083"", ""42085"", ""42097"", ""42109"", ""42113"", ""42115"", ""42119"", ""42125"", ""42127"", ""42129"", ""42131"", ""42133"", ""54007"", ""54013"", ""54015"", ""54019"", ""54023"", ""54027"", ""54029"", ""54031"", ""54033"", ""54039"", ""54041"", ""54043"", ""54045"", ""54047"", ""54063"", ""54067"", ""54069"", ""54073"", ""54075"", ""54079"", ""54085"", ""54093"", ""54095"", ""54097"", ""54103"", ""54105"", ""54107"", ""54109""]","[""18013"", ""18029"", ""18033"", ""18035"", ""18051"", ""18093"", ""18097"", ""18107"", ""18113"", ""18121"", ""18151"", ""18157"", ""18177"", ""18183"", ""39017"", ""39023"", ""39025"", ""39039"", ""39049"", ""39077"", ""39089"", ""39095"", ""39105"", ""39109"", ""39119"", ""39121"", ""39125"", ""39155"", ""39173"", ""42019"", ""42025"", ""42029"", ""42039"", ""42055"", ""42075"", ""42079"", ""42089"", ""42091"", ""42121"", ""54037"", ""54053"", ""54059"", ""54081"", ""54089"", ""54091"", ""54099"", ""54101""]",123,205
0,70acce2070986be189297bf4a30da11e8d1fe91be92e76a556265e94b3c2e0c1,U_D_t_target_t01h,2,"[""18013"", ""18023"", ""18029"", ""18033"", ""18035"", ""18037"", ""18039"", ""18043"", ""18045"", ""18047"", ""18051"", ""18059"", ""18061"", ""18065"", ""18085"", ""18089"", ""18093"", ""18097"", ""18099"", ""18101"", ""18105"", ""18107"", ""18113"", ""18117"", ""18121"", ""18123"", ""18129"", ""18131"", ""18133"", ""18141"", ""18145"", ""18149"", ""18151"", ""18153"", ""18155"", ""18157"", ""18163"", ""18165"", ""18167"", ""18169"", ""18173"", ""18175"", ""18177"", ""18183"", ""39017"", ""39023"", ""39025"", ""39033"", ""39035"", ""39039"", ""39049"", ""39053"", ""39065"", ""39075"", ""39077"", ""39081"", ""39087"", ""39089"", ""39091"", ""39093"", ""39095"", ""39097"", ""39103"", ""39105"", ""39107"", ""39109"", ""39113"", ""39117"", ""39119"", ""39121"", ""39125"", ""39131"", ""39141"", ""39143"", ""39145"", ""39147"", ""39149"", ""39151"", ""39155"", ""39159"", ""39161"", ""39167"", ""39169"", ""39171"", ""39173"", ""42005"", ""42015"", ""42019"", ""42025"", ""42029"", ""42031"", ""42035"", ""42039"", ""42041"", ""42047"", ""42051"", ""42053"", ""42055"", ""42057"", ""42059"", ""42067"", ""42075"", ""42077"", ""42079"", ""42085"", ""42089"", ""42091"", ""42097"", ""42115"", ""42119"", ""42121"", ""42125"", ""42127"", ""42129"", ""42131"", ""42133"", ""54007"", ""54023"", ""54027"", ""54029"", ""54031"", ""54033"", ""54037"", ""54039"", ""54041"", ""54045"", ""54047"", ""54053"", ""54059"", ""54067"", ""54069"", ""54075"", ""54081"", ""54085"", ""54089"", ""54091"", ""54095"", ""54097"", ""54099"", ""54101"", ""54103"", ""54107"", ""54109""]","[""18025"", ""18027"", ""18041"", ""18067"", ""18073"", ""18077"", ""18083"", ""18087"", ""18109"", ""18111"", ""18127"", ""18139"", ""18143"", ""18181"", ""39029"", ""39031"", ""39045"", ""39051"", ""39061"", ""39073"", ""39085"", ""39111"", ""39115"", ""39129"", ""39139"", ""39157"", ""39163"", ""39165"", ""39175"", ""42021"", ""42023"", ""42033"", ""42045"", ""42061"", ""42063"", ""42069"", ""42083"", ""42109"", ""42113"", ""54013"", ""54015"", ""54019"", ""54043"", ""54063"", ""54073"", ""54079"", ""54093"", ""54105""]",224,205
0,70acce2070986be189297bf4a30da11e8d1fe91be92e76a556265e94b3c2e0c1,U_D_t_target_t01h,3,"[""18013"", ""18025"", ""18027"", ""18029"", ""18033"", ""18035"", ""18039"", ""18041"", ""18043"", ""18047"", ""18051"", ""18067"", ""18073"", ""18077"", ""18083"", ""18087"", ""18089"", ""18093"", ""18097"", ""18101"", ""18107"", ""18109"", ""18111"", ""18113"", ""18117"", ""18121"", ""18127"", ""18129"", ""18131"", ""18133"", ""18139"", ""18141"", ""18143"", ""18145"", ""18151"", ""18155"", ""18157"", ""18163"", ""18165"", ""18175"", ""18177"", ""18181"", ""18183"", ""39017"", ""39023"", ""39025"", ""39029"", ""39031"", ""39033"", ""39035"", ""39039"", ""39045"", ""39049"", ""39051"", ""39053"", ""39061"", ""39073"", ""39077"", ""39081"", ""39085"", ""39089"", ""39095"", ""39097"", ""39103"", ""39105"", ""39109"", ""39111"", ""39113"", ""39115"", ""39117"", ""39119"", ""39121"", ""39125"", ""39129"", ""39139"", ""39143"", ""39147"", ""39151"", ""39155"", ""39157"", ""39163"", ""39165"", ""39167"", ""39169"", ""39173"", ""39175"", ""42015"", ""42019"", ""42021"", ""42023"", ""42025"", ""42029"", ""42031"", ""42033"", ""42039"", ""42045"", ""42047"", ""42051"", ""42055"", ""42057"", ""42061"", ""42063"", ""42067"", ""42069"", ""42075"", ""42077"", ""42079"", ""42083"", ""42085"", ""42089"", ""42091"", ""42109"", ""42113"", ""42119"", ""42121"", ""42125"", ""54007"", ""54013"", ""54015"", ""54019"", ""54023"", ""54027"", ""54029"", ""54031"", ""54033"", ""54037"", ""54041"", ""54043"", ""54045"", ""54053"", ""54059"", ""54063"", ""54073"", ""54075"", ""54079"", ""54081"", ""54089"", ""54091"", ""54093"", ""54095"", ""54099"", ""54101"", ""54105""]","[""18023"", ""18037"", ""18045"", ""18059"", ""18061"", ""18065"", ""18085"", ""18099"", ""18105"", ""18123"", ""18149"", ""18153"", ""18167"", ""18169"", ""18173"", ""39065"", ""39075"", ""39087"", ""39091"", ""39093"", ""39107"", ""39131"", ""39141"", ""39145"", ""39149"", ""39159"", ""39161"", ""39171"", ""42005"", ""42035"", ""42041"", ""42053"", ""42059"", ""42097"", ""42115"", ""42127"", ""42129"", ""42131"", ""42133"", ""54039"", ""54047"", ""54067"", ""54069"", ""54085"", ""54097"", ""54103"", ""54107"", ""54109""]",187,205
0,70acce2070986be189297bf4a30da11e8d1fe91be92e76a556265e94b3c2e0c1,U_D_t_target_t01h,4,"[""18013"", ""18023"", ""18025"", ""18027"", ""18029"", ""18033"", ""18035"", ""18037"", ""18041"", ""18045"", ""18051"", ""18059"", ""18061"", ""18065"", ""18067"", ""18073"", ""18077"", ""18083"", ""18085"", ""18087"", ""18093"", ""18097"", ""18099"", ""18105"", ""18107"", ""18109"", ""18111"", ""18113"", ""18121"", ""18123"", ""18127"", ""18139"", ""18143"", ""18149"", ""18151"", ""18153"", ""18157"", ""18167"", ""18169"", ""18173"", ""18177"", ""18181"", ""18183"", ""39017"", ""39023"", ""39025"", ""39029"", ""39031"", ""39039"", ""39045"", ""39049"", ""39051"", ""39061"", ""39065"", ""39073"", ""39075"", ""39077"", ""39085"", ""39087"", ""39089"", ""39091"", ""39093"", ""39095"", ""39105"", ""39107"", ""39109"", ""39111"", ""39115"", ""39119"", ""39121"", ""39125"", ""39129"", ""39131"", ""39139"", ""39141"", ""39145"", ""39149"", ""39155"", ""39157"", ""39159"", ""39161"", ""39163"", ""39165"", ""39171"", ""39173"", ""39175"", ""42005"", ""42019"", ""42021"", ""42023"", ""42025"", ""42029"", ""42033"", ""42035"", ""42039"", ""42041"", ""42045"", ""42053"", ""42055"", ""42059"", ""42061"", ""42063"", ""42069"", ""42075"", ""42079"", ""42083"", ""42089"", ""42091"", ""42097"", ""42109"", ""42113"", ""42115"", ""42121"", ""42127"", ""42129"", ""42131"", ""42133"", ""54013"", ""54015"", ""54019"", ""54037"", ""54039"", ""54043"", ""54047"", ""54053"", ""54059"", ""54063"", ""54067"", ""54069"", ""54073"", ""54079"", ""54081"", ""54085"", ""54089"", ""54091"", ""54093"", ""54097"", ""54099"", ""54101"", ""54103"", ""54105"", ""54107"", ""54109""]","[""18039"", ""18043"", ""18047"", ""18089"", ""18101"", ""18117"", ""18129"", ""18131"", ""18133"", ""18141"", ""18145"", ""18155"", ""18163"", ""18165"", ""18175"", ""39033"", ""39035"", ""39053"", ""39081"", ""39097"", ""39103"", ""39113"", ""39117"", ""39143"", ""39147"", ""39151"", ""39167"", ""39169"", ""42015"", ""42031"", ""42047"", ""42051"", ""42057"", ""42067"", ""42077"", ""42085"", ""42119"", ""42125"", ""54007"", ""54023"", ""54027"", ""54029"", ""54031"", ""54033"", ""54041"", ""54045"", ""54075"", ""54095""]",286,205
1,856a577396e0f0863d1d59e753805501d5a7fceef83258dacedcef8180266888,U_D_t_target_t01h,0,"[""18023"", ""18025"", ""18027"", ""18037"", ""18039"", ""18041"", ""18043"", ""18045"", ""18047"", ""18059"", ""18061"", ""18065"", ""18067"", ""18073"", ""18077"", ""18083"", ""18085"", ""18087"", ""18089"", ""18099"", ""18101"", ""18105"", ""18109"", ""18111"", ""18117"", ""18123"", ""18127"", ""18129"", ""18131"", ""18133"", ""18139"", ""18141"", ""18143"", ""18145"", ""18149"", ""18153"", ""18155"", ""18163"", ""18165"", ""18167"", ""18169"", ""18173"", ""18175"", ""18181"", ""39029"", ""39031"", ""39033"", ""39035"", ""39045"", ""39051"", ""39053"", ""39061"", ""39065"", ""39073"", ""39075"", ""39081"", ""39085"", ""39087"", ""39091"", ""39093"", ""39097"", ""39103"", ""39107"", ""39111"", ""39113"", ""39115"", ""39117"", ""39129"", ""39131"", ""39139"", ""39141"", ""39143"", ""39145"", ""39147"", ""39149"", ""39151"", ""39157"", ""39159"", ""39161"", ""39163"", ""39165"", ""39167"", ""39169"", ""39171"", ""39175"", ""42005"", ""42015"", ""42021"", ""42023"", ""42031"", ""42033"", ""42035"", ""42041"", ""42045"", ""42047"", ""42051"", ""42053"", ""42057"", ""42059"", ""42061"", ""42063"", ""42067"", ""42069"", ""42077"", ""42083"", ""42085"", ""42097"", ""42109"", ""42113"", ""42115"", ""42119"", ""42125"", ""42127"", ""42129"", ""42131"", ""42133"", ""54007"", ""54013"", ""54015"", ""54019"", ""54023"", ""54027"", ""54029"", ""54031"", ""54033"", ""54039"", ""54041"", ""54043"", ""54045"", ""54047"", ""54063"", ""54067"", ""54069"", ""54073"", ""54075"", ""54079"", ""54085"", ""54093"", ""54095"", ""54097"", ""54103"", ""54105"", ""54107"", ""54109""]","[""18009"", ""18069"", ""18071"", ""18091"", ""18095"", ""18103"", ""18125"", ""18135"", ""18137"", ""18147"", ""18159"", ""18161"", ""18171"", ""18179"", ""39027"", ""39037"", ""39055"", ""39059"", ""39063"", ""39069"", ""39099"", ""39101"", ""39123"", ""39127"", ""39133"", ""39135"", ""39137"", ""39153"", ""42007"", ""42009"", ""42013"", ""42027"", ""42043"", ""42049"", ""42065"", ""42081"", ""42095"", ""42101"", ""42103"", ""54009"", ""54025"", ""54035"", ""54055"", ""54057"", ""54071"", ""54077"", ""54083"", ""54087""]",375,288
1,856a577396e0f0863d1d59e753805501d5a7fceef83258dacedcef8180266888,U_D_t_target_t01h,2,"[""18009"", ""18023"", ""18037"", ""18039"", ""18043"", ""18045"", ""18047"", ""18059"", ""18061"", ""18065"", ""18069"", ""18071"", ""18085"", ""18089"", ""18091"", ""18095"", ""18099"", ""18101"", ""18103"", ""18105"", ""18117"", ""18123"", ""18125"", ""18129"", ""18131"", ""18133"", ""18135"", ""18137"", ""18141"", ""18145"", ""18147"", ""18149"", ""18153"", ""18155"", ""18159"", ""18161"", ""18163"", ""18165"", ""18167"", ""18169"", ""18171"", ""18173"", ""18175"", ""18179"", ""39027"", ""39033"", ""39035"", ""39037"", ""39053"", ""39055"", ""39059"", ""39063"", ""39065"", ""39069"", ""39075"", ""39081"", ""39087"", ""39091"", ""39093"", ""39097"", ""39099"", ""39101"", ""39103"", ""39107"", ""39113"", ""39117"", ""39123"", ""39127"", ""39131"", ""39133"", ""39135"", ""39137"", ""39141"", ""39143"", ""39145"", ""39147"", ""39149"", ""39151"", ""39153"", ""39159"", ""39161"", ""39167"", ""39169"", ""39171"", ""42005"", ""42007"", ""42009"", ""42013"", ""42015"", ""42027"", ""42031"", ""42035"", ""42041"", ""42043"", ""42047"", ""42049"", ""42051"", ""42053"", ""42057"", ""42059"", ""42065"", ""42067"", ""42077"", ""42081"", ""42085"", ""42095"", ""42097"", ""42101"", ""42103"", ""42115"", ""42119"", ""42125"", ""42127"", ""42129"", ""42131"", ""42133"", ""54007"", ""54009"", ""54023"", ""54025"", ""54027"", ""54029"", ""54031"", ""54033"", ""54035"", ""54039"", ""54041"", ""54045"", ""54047"", ""54055"", ""54057"", ""54067"", ""54069"", ""54071"", ""54075"", ""54077"", ""54083"", ""54085"", ""54087"", ""54095"", ""54097"", ""54103"", ""54107"", ""54109""]","[""18025"", ""18027"", ""18041"", ""18067"", ""18073"", ""18077"", ""18083"", ""18087"", ""18109"", ""18111"", ""18127"", ""18139"", ""18143"", ""18181"", ""39029"", ""39031"", ""39045"", ""39051"", ""39061"", ""39073"", ""39085"", ""39111"", ""39115"", ""39129"", ""39139"", ""39157"", ""39163"", ""39165"", ""39175"", ""42021"", ""42023"", ""42033"", ""42045"", ""42061"", ""42063"", ""42069"", ""42083"", ""42109"", ""42113"", ""54013"", ""54015"", ""54019"", ""54043"", ""54063"", ""54073"", ""54079"", ""54093"", ""54105""]",325,288
1,856a577396e0f0863d1d59e753805501d5a7fceef83258dacedcef8180266888,U_D_t_target_t01h,3,"[""18009"", ""18025"", ""18027"", ""18039"", ""18041"", ""18043"", ""18047"", ""18067"", ""18069"", ""18071"", ""18073"", ""18077"", ""18083"", ""18087"", ""18089"", ""18091"", ""18095"", ""18101"", ""18103"", ""18109"", ""18111"", ""18117"", ""18125"", ""18127"", ""18129"", ""18131"", ""18133"", ""18135"", ""18137"", ""18139"", ""18141"", ""18143"", ""18145"", ""18147"", ""18155"", ""18159"", ""18161"", ""18163"", ""18165"", ""18171"", ""18175"", ""18179"", ""18181"", ""39027"", ""39029"", ""39031"", ""39033"", ""39035"", ""39037"", ""39045"", ""39051"", ""39053"", ""39055"", ""39059"", ""39061"", ""39063"", ""39069"", ""39073"", ""39081"", ""39085"", ""39097"", ""39099"", ""39101"", ""39103"", ""39111"", ""39113"", ""39115"", ""39117"", ""39123"", ""39127"", ""39129"", ""39133"", ""39135"", ""39137"", ""39139"", ""39143"", ""39147"", ""39151"", ""39153"", ""39157"", ""39163"", ""39165"", ""39167"", ""39169"", ""39175"", ""42007"", ""42009"", ""42013"", ""42015"", ""42021"", ""42023"", ""42027"", ""42031"", ""42033"", ""42043"", ""42045"", ""42047"", ""42049"", ""42051"", ""42057"", ""42061"", ""42063"", ""42065"", ""42067"", ""42069"", ""42077"", ""42081"", ""42083"", ""42085"", ""42095"", ""42101"", ""42103"", ""42109"", ""42113"", ""42119"", ""42125"", ""54007"", ""54009"", ""54013"", ""54015"", ""54019"", ""54023"", ""54025"", ""54027"", ""54029"", ""54031"", ""54033"", ""54035"", ""54041"", ""54043"", ""54045"", ""54055"", ""54057"", ""54063"", ""54071"", ""54073"", ""54075"", ""54077"", ""54079"", ""54083"", ""54087"", ""54093"", ""54095"", ""54105""]","[""18023"", ""18037"", ""18045"", ""18059"", ""18061"", ""18065"", ""18085"", ""18099"", ""18105"", ""18123"", ""18149"", ""18153"", ""18167"", ""18169"", ""18173"", ""39065"", ""39075"", ""39087"", ""39091"", ""39093"", ""39107"", ""39131"", ""39141"", ""39145"", ""39149"", ""39159"", ""39161"", ""39171"", ""42005"", ""42035"", ""42041"", ""42053"", ""42059"", ""42097"", ""42115"", ""42127"", ""42129"", ""42131"", ""42133"", ""54039"", ""54047"", ""54067"", ""54069"", ""54085"", ""54097"", ""54103"", ""54107"", ""54109""]",119,288
1,856a577396e0f0863d1d59e753805501d5a7fceef83258dacedcef8180266888,U_D_t_target_t01h,4,"[""18009"", ""18023"", ""18025"", ""18027"", ""18037"", ""18041"", ""18045"", ""18059"", ""18061"", ""18065"", ""18067"", ""18069"", ""18071"", ""18073"", ""18077"", ""18083"", ""18085"", ""18087"", ""18091"", ""18095"", ""18099"", ""18103"", ""18105"", ""18109"", ""18111"", ""18123"", ""18125"", ""18127"", ""18135"", ""18137"", ""18139"", ""18143"", ""18147"", ""18149"", ""18153"", ""18159"", ""18161"", ""18167"", ""18169"", ""18171"", ""18173"", ""18179"", ""18181"", ""39027"", ""39029"", ""39031"", ""39037"", ""39045"", ""39051"", ""39055"", ""39059"", ""39061"", ""39063"", ""39065"", ""39069"", ""39073"", ""39075"", ""39085"", ""39087"", ""39091"", ""39093"", ""39099"", ""39101"", ""39107"", ""39111"", ""39115"", ""39123"", ""39127"", ""39129"", ""39131"", ""39133"", ""39135"", ""39137"", ""39139"", ""39141"", ""39145"", ""39149"", ""39153"", ""39157"", ""39159"", ""39161"", ""39163"", ""39165"", ""39171"", ""39175"", ""42005"", ""42007"", ""42009"", ""42013"", ""42021"", ""42023"", ""42027"", ""42033"", ""42035"", ""42041"", ""42043"", ""42045"", ""42049"", ""42053"", ""42059"", ""42061"", ""42063"", ""42065"", ""42069"", ""42081"", ""42083"", ""42095"", ""42097"", ""42101"", ""42103"", ""42109"", ""42113"", ""42115"", ""42127"", ""42129"", ""42131"", ""42133"", ""54009"", ""54013"", ""54015"", ""54019"", ""54025"", ""54035"", ""54039"", ""54043"", ""54047"", ""54055"", ""54057"", ""54063"", ""54067"", ""54069"", ""54071"", ""54073"", ""54077"", ""54079"", ""54083"", ""54085"", ""54087"", ""54093"", ""54097"", ""54103"", ""54105"", ""54107"", ""54109""]","[""18039"", ""18043"", ""18047"", ""18089"", ""18101"", ""18117"", ""18129"", ""18131"", ""18133"", ""18141"", ""18145"", ""18155"", ""18163"", ""18165"", ""18175"", ""39033"", ""39035"", ""39053"", ""39081"", ""39097"", ""39103"", ""39113"", ""39117"", ""39143"", ""39147"", ""39151"", ""39167"", ""39169"", ""42015"", ""42031"", ""42047"", ""42051"", ""42057"", ""42067"", ""42077"", ""42085"", ""42119"", ""42125"", ""54007"", ""54023"", ""54027"", ""54029"", ""54031"", ""54033"", ""54041"", ""54045"", ""54075"", ""54095""]",335,288
2,6af0e105c196df2b2f08686396e10f8fa4331effcc9cf244cf52ff349e0f08c2,U_D_t_target_t01h,0,"[""18013"", ""18023"", ""18029"", ""18033"", ""18035"", ""18037"", ""18039"", ""18043"", ""18045"", ""18047"", ""18051"", ""18059"", ""18061"", ""18065"", ""18085"", ""18089"", ""18093"", ""18097"", ""18099"", ""18101"", ""18105"", ""18107"", ""18113"", ""18117"", ""18121"", ""18123"", ""18129"", ""18131"", ""18133"", ""18141"", ""18145"", ""18149"", ""18151"", ""18153"", ""18155"", ""18157"", ""18163"", ""18165"", ""18167"", ""18169"", ""18173"", ""18175"", ""18177"", ""18183"", ""39017"", ""39023"", ""39025"", ""39033"", ""39035"", ""39039"", ""39049"", ""39053"", ""39065"", ""39075"", ""39077"", ""39081"", ""39087"", ""39089"", ""39091"", ""39093"", ""39095"", ""39097"", ""39103"", ""39105"", ""39107"", ""39109"", ""39113"", ""39117"", ""39119"", ""39121"", ""39125"", ""39131"", ""39141"", ""39143"", ""39145"", ""39147"", ""39149"", ""39151"", ""39155"", ""39159"", ""39161"", ""39167"", ""39169"", ""39171"", ""39173"", ""42005"", ""42015"", ""42019"", ""42025"", ""42029"", ""42031"", ""42035"", ""42039"", ""42041"", ""42047"", ""42051"", ""42053"", ""42055"", ""42057"", ""42059"", ""42067"", ""42075"", ""42077"", ""42079"", ""42085"", ""42089"", ""42091"", ""42097"", ""42115"", ""42119"", ""42121"", ""42125"", ""42127"", ""42129"", ""42131"", ""42133"", ""54007"", ""54023"", ""54027"", ""54029"", ""54031"", ""54033"", ""54037"", ""54039"", ""54041"", ""54045"", ""54047"", ""54053"", ""54059"", ""54067"", ""54069"", ""54075"", ""54081"", ""54085"", ""54089"", ""54091"", ""54095"", ""54097"", ""54099"", ""54101"", ""54103"", ""54107"", ""54109""]","[""18009"", ""18069"", ""18071"", ""18091"", ""18095"", ""18103"", ""18125"", ""18135"", ""18137"", ""18147"", ""18159"", ""18161"", ""18171"", ""18179"", ""39027"", ""39037"", ""39055"", ""39059"", ""39063"", ""39069"", ""39099"", ""39101"", ""39123"", ""39127"", ""39133"", ""39135"", ""39137"", ""39153"", ""42007"", ""42009"", ""42013"", ""42027"", ""42043"", ""42049"", ""42065"", ""42081"", ""42095"", ""42101"", ""42103"", ""54009"", ""54025"", ""54035"", ""54055"", ""54057"", ""54071"", ""54077"", ""54083"", ""54087""]",108,239
2,6af0e105c196df2b2f08686396e10f8fa4331effcc9cf244cf52ff349e0f08c2,U_D_t_target_t01h,1,"[""18009"", ""18023"", ""18037"", ""18039"", ""18043"", ""18045"", ""18047"", ""18059"", ""18061"", ""18065"", ""18069"", ""18071"", ""18085"", ""18089"", ""18091"", ""18095"", ""18099"", ""18101"", ""18103"", ""18105"", ""18117"", ""18123"", ""18125"", ""18129"", ""18131"", ""18133"", ""18135"", ""18137"", ""18141"", ""18145"", ""18147"", ""18149"", ""18153"", ""18155"", ""18159"", ""18161"", ""18163"", ""18165"", ""18167"", ""18169"", ""18171"", ""18173"", ""18175"", ""18179"", ""39027"", ""39033"", ""39035"", ""39037"", ""39053"", ""39055"", ""39059"", ""39063"", ""39065"", ""39069"", ""39075"", ""39081"", ""39087"", ""39091"", ""39093"", ""39097"", ""39099"", ""39101"", ""39103"", ""39107"", ""39113"", ""39117"", ""39123"", ""39127"", ""39131"", ""39133"", ""39135"", ""39137"", ""39141"", ""39143"", ""39145"", ""39147"", ""39149"", ""39151"", ""39153"", ""39159"", ""39161"", ""39167"", ""39169"", ""39171"", ""42005"", ""42007"", ""42009"", ""42013"", ""42015"", ""42027"", ""42031"", ""42035"", ""42041"", ""42043"", ""42047"", ""42049"", ""42051"", ""42053"", ""42057"", ""42059"", ""42065"", ""42067"", ""42077"", ""42081"", ""42085"", ""42095"", ""42097"", ""42101"", ""42103"", ""42115"", ""42119"", ""42125"", ""42127"", ""42129"", ""42131"", ""42133"", ""54007"", ""54009"", ""54023"", ""54025"", ""54027"", ""54029"", ""54031"", ""54033"", ""54035"", ""54039"", ""54041"", ""54045"", ""54047"", ""54055"", ""54057"", ""54067"", ""54069"", ""54071"", ""54075"", ""54077"", ""54083"", ""54085"", ""54087"", ""54095"", ""54097"", ""54103"", ""54107"", ""54109""]","[""18013"", ""18029"", ""18033"", ""18035"", ""18051"", ""18093"", ""18097"", ""18107"", ""18113"", ""18121"", ""18151"", ""18157"", ""18177"", ""18183"", ""39017"", ""39023"", ""39025"", ""39039"", ""39049"", ""39077"", ""39089"", ""39095"", ""39105"", ""39109"", ""39119"", ""39121"", ""39125"", ""39155"", ""39173"", ""42019"", ""42025"", ""42029"", ""42039"", ""42055"", ""42075"", ""42079"", ""42089"", ""42091"", ""42121"", ""54037"", ""54053"", ""54059"", ""54081"", ""54089"", ""54091"", ""54099"", ""54101""]",465,239
