fipsCode,complete_windows,N_max_abs_difference,R_max_abs_difference,net_max_abs_difference,customers_min,customers_max,denominator_change_hours,N_min,N_max,R_min,R_max,N_and_R_positive_hours,formula_unavailable_hours
18009,213,3.2586797566086284e-08,3.2586797566662266e-08,3.2198036508702954e-08,6476.0,6531.0,7,0.0,0.03379864,0.0,0.027100271,43,"0,1,215"
18013,213,2.419249133976068e-08,2.197253433208399e-08,2.4178166841033744e-08,10679.0,10682.0,7,0.0,0.080875238,0.0,0.062728209,72,"0,1,215"
18023,213,4.2624023939771014e-08,4.2624023939771014e-08,5.737597606023142e-08,7127.0,7129.0,4,0.0,0.037083801,0.0,0.050411523,22,"0,1,215"
18025,213,1.188457915917942e-08,2.376915831835884e-08,2.376915831835884e-08,7786.0,7790.0,5,0.0,0.096087999,0.0,0.093348742,36,"0,1,215"
18027,213,3.7245313773431486e-08,3.7245313773431486e-08,3.7245313774014245e-08,6543.0,6547.0,4,0.0,0.005195599,0.0,0.005501222,32,"0,1,215"
18029,213,4.557711226151382e-08,4.974200206399104e-08,7.278855613075813e-08,20660.0,20672.0,7,0.0,0.008549904,0.0,0.006920583,46,"0,1,215"
18033,213,4.8546478225901864e-08,4.8546478225901864e-08,8.170166599706874e-08,11590.0,11605.0,7,0.0,0.013360917,0.0,0.010430135,86,"0,1,215"
18035,213,4.7029708873922343e-08,4.747149083498273e-08,7.556272016209504e-08,55784.0,55898.0,7,0.0,0.009164726,0.0,0.004883874,72,"0,1,215"
18037,213,1.0028461409683281e-08,6.685640939782078e-09,9.65717953014763e-09,11946.0,11948.0,2,0.0,0.008871778,0.0,0.008871778,37,"0,1,215"
18039,213,4.971113296927575e-08,4.6277249718076246e-08,7.348845228707032e-08,117840.0,117944.0,8,0.0,0.008956743,0.0,0.004833294,89,"0,1,215"
18041,213,2.6601055484236033e-08,2.8566541224761565e-08,2.8566541224761565e-08,11685.0,11697.0,6,0.0,0.021353632,0.0,0.034496522,27,"0,1,215"
18043,213,3.8673068529027424e-08,4.9579411630964456e-08,4.957941163067985e-08,36646.0,36656.0,6,0.0,0.007448231,0.0,0.008394038,48,"0,1,215"
18045,213,4.155321959905259e-08,3.1656328968529687e-08,4.155321959905259e-08,5803.0,5804.0,1,0.0,0.014415346,0.0,0.007351252,18,"0,1,215"
18047,213,4.89784254893545e-08,4.612263557918114e-08,7.306131779074714e-08,11664.0,11666.0,2,0.0,0.028861266,0.0,0.019802829,40,"0,1,215"
18051,213,4.304543877905106e-08,4.2143142049493824e-08,7.627718239519089e-08,19220.0,19224.0,16,0.0,0.010716329,0.0,0.009571867,42,"0,1,215"
18059,213,4.831992697814231e-08,4.201608762622352e-08,4.86961606480324e-08,29212.0,29221.0,11,0.0,0.008774032,0.0,0.008751212,39,"0,1,215"
18061,213,3.294383716547617e-08,2.1962558110317446e-08,3.294383716666879e-08,21223.0,21225.0,4,0.0,0.023479709,0.0,0.022788667,46,"0,1,215"
