split_seed,horizon,mode,term_a,term_b,term_type,sse_term,total_osi_sse,N_signed_allocation
20260918,1,C1,P,P,square,1.6264335017060276,3.75270823746295,0.26563361204390645
20260918,1,C1,P,N,twice_cross,0.32397215615537833,3.75270823746295,0.26563361204390645
20260918,1,C1,P,D,twice_cross,1.2330374036169571,3.75270823746295,0.26563361204390645
20260918,1,C1,P,R,twice_cross,-0.05916726811276256,3.75270823746295,0.26563361204390645
20260918,1,C1,P,b,twice_cross,4.702244067214919e-05,3.75270823746295,0.26563361204390645
20260918,1,C1,N,N,square,0.07752565634758554,3.75270823746295,0.26563361204390645
20260918,1,C1,N,D,twice_cross,0.06436500650646963,3.75270823746295,0.26563361204390645
20260918,1,C1,N,R,twice_cross,-0.012055209157407815,3.75270823746295,0.26563361204390645
20260918,1,C1,N,b,twice_cross,-6.60421117983592e-05,3.75270823746295,0.26563361204390645
20260918,1,C1,D,D,square,0.5460505572444909,3.75270823746295,0.26563361204390645
20260918,1,C1,D,R,twice_cross,-0.05564538723867621,3.75270823746295,0.26563361204390645
20260918,1,C1,D,b,twice_cross,-0.0002920525973626649,3.75270823746295,0.26563361204390645
20260918,1,C1,R,R,square,0.005701716461104042,3.75270823746295,0.26563361204390645
20260918,1,C1,R,b,twice_cross,2.2540724613908757e-05,3.75270823746295,0.26563361204390645
20260918,1,C1,b,b,square,0.0027786354776582396,3.75270823746295,0.26563361204390645
20260918,1,C3,P,P,square,1.6018378644013855,3.9005031403644193,0.2672538905656065
20260918,1,C3,P,N,twice_cross,0.32901755700598584,3.9005031403644193,0.2672538905656065
20260918,1,C3,P,D,twice_cross,1.4032159008539105,3.9005031403644193,0.2672538905656065
20260918,1,C3,P,R,twice_cross,-0.0646993777759896,3.9005031403644193,0.2672538905656065
20260918,1,C3,P,b,twice_cross,-0.0004730777499754655,3.9005031403644193,0.2672538905656065
20260918,1,C3,N,N,square,0.07654694261139314,3.9005031403644193,0.2672538905656065
20260918,1,C3,N,D,twice_cross,0.06455556534817333,3.9005031403644193,0.2672538905656065
20260918,1,C3,N,R,twice_cross,-0.012105405462768355,3.9005031403644193,0.2672538905656065
20260918,1,C3,N,b,twice_cross,-5.382098296405181e-05,3.9005031403644193,0.2672538905656065
20260918,1,C3,D,D,square,0.5503480175595568,3.9005031403644193,0.2672538905656065
20260918,1,C3,D,R,twice_cross,-0.05610066940353346,3.9005031403644193,0.2672538905656065
20260918,1,C3,D,b,twice_cross,-0.00030747153821376156,3.9005031403644193,0.2672538905656065
20260918,1,C3,R,R,square,0.005671876795889011,3.9005031403644193,0.2672538905656065
20260918,1,C3,R,b,twice_cross,1.6415185665315314e-05,3.9005031403644193,0.2672538905656065
20260918,1,C3,b,b,square,0.0030328235159052114,3.9005031403644193,0.2672538905656065
20260918,1,main,P,P,square,1.6018378644013855,3.9005031403644193,0.2672538905656065
20260918,1,main,P,N,twice_cross,0.32901755700598584,3.9005031403644193,0.2672538905656065
20260918,1,main,P,D,twice_cross,1.4032159008539105,3.9005031403644193,0.2672538905656065
20260918,1,main,P,R,twice_cross,-0.0646993777759896,3.9005031403644193,0.2672538905656065
20260918,1,main,P,b,twice_cross,-0.0004730777499754655,3.9005031403644193,0.2672538905656065
