split_seed,horizon,domain,scope,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,1,N,full,34177,0.00428668099364763,0.0008869276924308727,0.6280240412118042,4.198037871130571e-05,0.00429948761942347,-1.2806625775840623e-05,-0.29786399937483665,0.0037580977345246236
42,1,OSI,full,34177,0.010991492021847564,0.003301564170419752,4.129022376200854,-0.00010440159376025573,0.01099408271972475,-2.590697877186826e-06,-0.023564475029269616,0.001946652944380567
42,1,N,common_120_215,22944,0.00345547652882615,0.0006780784321407472,0.27395865713886264,5.040933230613442e-05,0.0034766988281550743,-2.122229932892449e-05,-0.6104152351955716,0.0033754455745844125
42,1,OSI,common_120_215,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626412,0.008002093872486944,-0.0002636539449662901,-3.2948119475677884,0.09521883512707996
42,6,N,full,32982,0.0037119168268373607,0.0008398729692391173,0.45443676559129687,5.109041958434969e-05,0.003764674357115683,-5.2757530278322185e-05,-1.4013836330519336,0.013009633993535497
42,6,OSI,full,32982,0.01007974033020953,0.003177439347335253,3.351009628134694,-8.79139286335395e-05,0.010621545697340714,-0.0005418053671311842,-5.101003023193074,0.3699283506942961
42,6,N,common_120_215,22944,0.00345547652882615,0.0006780784321407472,0.27395865713886264,5.040933230613442e-05,0.0035031302910819417,-4.765376225579184e-05,-1.3603194370790606,0.007608317473109305
42,6,OSI,common_120_215,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626412,0.007963441210186651,-0.00022500128266599723,-2.8254278110093956,0.08105985328363241
42,24,N,full,28680,0.003751278596995849,0.0008524173122341514,0.40358757310016585,5.1526001984498125e-05,0.003795218919999953,-4.394032300410406e-05,-1.1577809852429954,0.009510160042644655
42,24,OSI,full,28680,0.008370054330821948,0.0027175584906042787,2.009257976486135,-7.279486726657188e-05,0.008492701524253245,-0.00012264719343129706,-1.4441481674711376,0.059315106397796136
42,24,N,common_120_215,22944,0.00345547652882615,0.0006780784321407472,0.27395865713886264,5.040933230613442e-05,0.0034973648944781775,-4.188836565202766e-05,-1.1977121894876652,0.006682283151602242
42,24,OSI,common_120_215,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626412,0.007738976522688962,-5.365951683084999e-07,-0.006933670967157468,0.0001905523723710889
42,48,N,full,22944,0.00345547652882615,0.0006780784321407472,0.27395865713886264,5.040933230613442e-05,0.0034787655866815458,-2.3289057855395943e-05,-0.6694632700909198,0.003705271663576204
42,48,OSI,full,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626412,0.007691202257793633,4.723766972702069e-05,0.6141779678093151,-0.01672297167666037
42,48,N,common_120_215,22944,0.00345547652882615,0.0006780784321407472,0.27395865713886264,5.040933230613442e-05,0.0034787655866815458,-2.3289057855395943e-05,-0.6694632700909198,0.003705271663576204
42,48,OSI,common_120_215,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626412,0.007691202257793633,4.723766972702069e-05,0.6141779678093151,-0.01672297167666037
