case,horizon,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
H0_Huber,osi_target_t01h,34177,0.010991492021847564,0.003301564170419752,4.129022376200856,-0.0001044015937602557,0.010991492021847564,0.0,0.0,0.0
H0_Huber,osi_target_t06h,32982,0.01007974033020953,0.003177439347335253,3.351009628134694,-8.79139286335395e-05,0.01007974033020953,0.0,0.0,0.0
H0_Huber,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
H0_Huber,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
L2_N01,osi_target_t01h,34177,0.010991492021847564,0.003301564170419752,4.129022376200856,-0.0001044015937602557,0.010991492021847564,0.0,0.0,0.0
L2_N01,osi_target_t06h,32982,0.01007974033020953,0.003177439347335253,3.351009628134694,-8.79139286335395e-05,0.01007974033020953,0.0,0.0,0.0
L2_N01,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
L2_N01,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
L2_N06,osi_target_t01h,34177,0.010991492021847564,0.003301564170419752,4.129022376200856,-0.0001044015937602557,0.010991492021847564,0.0,0.0,0.0
L2_N06,osi_target_t06h,32982,0.01007974033020953,0.003177439347335253,3.351009628134694,-8.79139286335395e-05,0.01007974033020953,0.0,0.0,0.0
L2_N06,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
L2_N06,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
L2_N24,osi_target_t01h,34177,0.010991492021847564,0.003301564170419752,4.129022376200856,-0.0001044015937602557,0.010991492021847564,0.0,0.0,0.0
L2_N24,osi_target_t06h,32982,0.01007974033020953,0.003177439347335253,3.351009628134694,-8.79139286335395e-05,0.01007974033020953,0.0,0.0,0.0
L2_N24,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
L2_N24,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
L2_N48,osi_target_t01h,34177,0.010991492021847564,0.003301564170419752,4.129022376200856,-0.0001044015937602557,0.010991492021847564,0.0,0.0,0.0
L2_N48,osi_target_t06h,32982,0.01007974033020953,0.003177439347335253,3.351009628134694,-8.79139286335395e-05,0.01007974033020953,0.0,0.0,0.0
L2_N48,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
L2_N48,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
L2_all,osi_target_t01h,34177,0.010991492021847564,0.003301564170419752,4.129022376200856,-0.0001044015937602557,0.010991492021847564,0.0,0.0,0.0
L2_all,osi_target_t06h,32982,0.01007974033020953,0.003177439347335253,3.351009628134694,-8.79139286335395e-05,0.01007974033020953,0.0,0.0,0.0
L2_all,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
L2_all,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
