case,horizon,fipsCode,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
H0_Huber,osi_target_t01h,18009,0,143,0.005920020362130476,0.003289980921675431,0.005011669675589641,0.0012663610728825593,0.005920020362130476,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18013,1,143,0.02892942207308759,0.013086795663050937,0.1196783389920472,-0.00883089960290037,0.02892942207308759,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18023,3,143,0.0018709714518135687,0.0007642680706385558,0.0005005763868106963,0.0007195128258833109,0.0018709714518135687,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18025,2,143,0.011956636536472507,0.002201879568039453,0.02044344548893922,-0.0014064293729118553,0.011956636536472507,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18027,2,143,0.0037118441857143286,0.001501023229992251,0.0019702235780400413,0.0014802459090823867,0.0037118441857143286,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18029,1,143,0.0013874356988604448,0.000438835473667201,0.000275271828041549,-4.3383343414849544e-05,0.0013874356988604448,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18033,1,143,0.0032689874273658212,0.001292438163591561,0.0015281378684394407,-0.0009660952533432927,0.0032689874273658212,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18035,1,143,0.0020362858677457924,0.0009654424017327921,0.0005929437993309166,-0.0007320514888120178,0.0020362858677457924,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18037,3,143,0.002670934428125345,0.0011209974184737054,0.0010201463728663727,0.0007699484674247546,0.002670934428125345,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18039,4,143,0.001812347946695431,0.0013517068509404262,0.0004696985264244337,0.0013035799005402379,0.001812347946695431,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18041,2,143,0.005191514340833857,0.00199334157074368,0.003854110424604954,-0.0016310979360344468,0.005191514340833857,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18043,4,143,0.002342864681478868,0.0009682367929838995,0.0007849291329481144,0.0005976418260228865,0.002342864681478868,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18045,3,143,0.002673688977713285,0.001054984581692016,0.001022251623185008,0.0010461818960392833,0.002673688977713285,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18047,4,143,0.0030368418454637894,0.001298324954490496,0.0013188044003934678,0.0005025661420977901,0.0030368418454637894,0.0,0.0,0.0
