horizon,outer_fold,Huber_alpha,global_label_min,global_label_max,saved_prefix_prediction_lower,saved_prefix_prediction_upper,max_residual_bound,bound_below_alpha,tree_structures_identical,best_iterations_identical,raw_OOF_max_abs_difference,requested_rounds,Huber_model_sha256,L2_model_sha256
osi_target_t01h,0,0.9,0.0,0.2430555522441864,-0.016739828453461277,0.0966236492097998,0.2597953806976477,True,True,True,0.0,212,433a0f83dd13917ac06220e8444b73010dd3ceb74192cd0608a74c9315673ef1,b91f735be9f3b3605956884f5bc2065612729c8a7be4d364d02fa7e60ac64a61
osi_target_t01h,1,0.9,0.0,0.2430555522441864,-0.011592968756263438,0.06491715785806113,0.2546485210004498,True,True,True,0.0,130,6e8bf33eb6723034a63471892b0656e2783a18670ae3f022cfd8554b53be7837,9717835b3745034aaf50795bdf55a28e7a98cd721147bbdccc69d283397649c8
osi_target_t01h,2,0.9,0.0,0.2430555522441864,-0.020918708686768286,0.10577251834468994,0.26397426093095466,True,True,True,0.0,280,4a313627fa065ef4ff321bee1aadf1031e38e1443ba220c3ed0d1244d51eb068,d2014620d23c0cf9d07723bbc27950831a85c8b0eb63f51ca1d3abbacf98558a
osi_target_t01h,3,0.9,0.0,0.2430555522441864,-0.01041310787464574,0.07313705404809284,0.2534686601188321,True,True,True,0.0,210,ebd8a7f1e29bb50476704d81c16eb94caa479fd2afbf0e24e000d10fb368b703,8bb6d103db5a75c415d7efdd1a1ee4fba0975ee6954435ef28bae4ecd30333f3
osi_target_t01h,4,0.9,0.0,0.2430555522441864,-0.003396896065052479,0.0409626768738185,0.24645244830923888,True,True,True,0.0,75,6911e4009ddf6ffd035bdf88063e32c61a576618d5eadf662d945b52c68805d9,c761d266e178b8cffa971f71d618f1b6b9ece48a3efdd46ed221847b2d79267b
osi_target_t06h,0,0.9,0.0,0.20429983735084534,-0.003145670814953859,0.041584210137515995,0.2074455081657992,True,True,True,0.0,95,9131b8709f88d4b11419760b328619b584fbf84e469a708d72ea9ada989200fb,d594b844ea4dc05a8c772cc84e8f453e6a0928ec14e7403765fac3e2055c1977
osi_target_t06h,1,0.9,0.0,0.20429983735084534,-0.004575126829177733,0.04640538882042911,0.20887496418002308,True,True,True,0.0,119,18cdcdd46c622aa79df8231a49a1fd9cc58d0070b5300cee3c5f644b25c3c8f8,62995788e4cf882ee0904ecd7d12f86ca97277338b1a88f41894adf58cc7779b
osi_target_t06h,2,0.9,0.0,0.20429983735084534,-0.004416852222048766,0.04425729675613114,0.2087166895728941,True,True,True,0.0,149,dcbab64a008641d621b1050537cf4bafcd9de3ffc9e88636e0292d0a45c2a3af,3132c633f070e511f2241200f978bd49fc566b535dbbd6dd685eb6e595685853
osi_target_t06h,3,0.9,0.0,0.20429983735084534,-0.009676312521601565,0.05995627929581184,0.2139761498724469,True,True,True,0.0,174,916430a5ca83165318a9fe8381c63b1ac6c2df944c34659a7a6d3094dfd85fb0,17c107fff019213d6d1d49e6204214e017416ff0033d0a48d9d519db134956f8
osi_target_t06h,4,0.9,0.0,0.20429983735084534,-0.004113124479182982,0.04686310578117209,0.20841296183002833,True,True,True,0.0,121,2b209670a691d4c490770ea5f7bd74da9aa7254c6681a44a41bc91b6d2cf251f,11d77f14c85afe6fae0ecbd4e272042b6c12ea354136ce30529c95e389baee2d
osi_target_t24h,0,0.9,0.0,0.20429983735084534,-0.0043529835531137375,0.043147763345172126,0.20865282090395906,True,True,True,0.0,112,5a8bd697525ea5d14042d786582adab937ab7fece9a93588c9810cef222795ae,e0d26fb0ac2fde51d0b8325ae5271e0a6ef57dbef52d3fd93173a717c1ad3a9f
osi_target_t24h,1,0.9,0.0,0.20429983735084534,-0.007442249415901657,0.04981526776209034,0.211742086766747,True,True,True,0.0,148,f6d78e912f5d9b4fb90067348d4c6e206f75e47ffab594cadd6485548c80ebd6,75ce813f0e5fa72c351571e91da59260ce381630ffbcb45709985ed453dad24d
osi_target_t24h,2,0.9,0.0,0.20429983735084534,-0.004813561182853687,0.042950721163533545,0.20911339853369904,True,True,True,0.0,165,e9a0acadf32f9bed28ac042777126611293f33b7815183366efb94d4d6048e64,b69f458f7efc80a1ac1b2fbb64318a63a0333aa98892df21e6b5367c1cd3d610
osi_target_t24h,3,0.9,0.0,0.20429983735084534,-0.017496350424148387,0.08762995869914748,0.2217961877749937,True,True,True,0.0,296,2724259868a0d01e268c6acd0cf8e70ae44e76ee06ca8d0e16522a47903009ee,14403449ab4bbcf8b2a8214fe7e04253db8dd2839645221fefef2fd6426ac43f
osi_target_t24h,4,0.9,0.0,0.20429983735084534,-0.0035039462361028005,0.040048590968949783,0.20780378358694815,True,True,True,0.0,110,0f11c951b3e4029e2121ec7163aca8222637dc3c5757bb283424992ebad2bc1f,eebe3ac165d118812cbd2dff02334f89e62d04c516bda9da2156d8f61d3acdcc
osi_target_t48h,0,0.9,0.0,0.20429983735084534,-0.001997806746251138,0.029685945487323676,0.20629764409709647,True,True,True,0.0,77,c4648197a1cc23ee6c839bea1ad3567cd35ff29adc0f099365e90984e9f2c5b8,7ab6b786602febb0a2beb19e4661fef440f275d0241dde3258234c2b942a5402
osi_target_t48h,1,0.9,0.0,0.20429983735084534,-0.004142664544950933,0.03829836692733856,0.20844250189579627,True,True,True,0.0,106,2decbdf8b76641807cf66b6f9b1e3c995d82f7cd28ac753d798064a7f4334a98,7ee208200db8e40ed43c04fe3c21ce3ed23390ed6ba46504129b6311eeff5b6c
osi_target_t48h,2,0.9,0.0,0.20429983735084534,-0.0012131212546803406,0.023379885156842712,0.20551295860552568,True,True,True,0.0,102,d19a6a5a7bc5197bdf15d61b79f3f22a59348944d84a09ee2447c0ce3748e826,00877a53a4b5fa7c0768dcc827115fb04b47c717a0d9d29b3d76b05f22412838
osi_target_t48h,3,0.9,0.0,0.20429983735084534,-0.006696308240581598,0.04595119679650449,0.21099614559142693,True,True,True,0.0,133,3a738e86d36909bc5f0a76e752203aeb61b0461c568ab02ce277106de2451245,1d1a804901eba9e175b9345a3810b8cf94a9735d5a9a377792e9f148ca78a62e
osi_target_t48h,4,0.9,0.0,0.20429983735084534,-0.004915763762838351,0.03881653291368745,0.20921560111368367,True,True,True,0.0,118,1667a240cafae98c93a2283911660ffaa487ac64779c53de9c877437766ec791,b509c49d2bcea3bc55b5cf070bc159629d717bed379c9386da447bb144100755
