target,outer_fold,Huber_rounds,L2_rounds,best_iterations,fit_seconds
N_t_target_t01h,0,212,212,"148,109,448,144",14.2013865839981
N_t_target_t01h,1,130,130,"20,156,208,136",10.616162680991692
N_t_target_t01h,2,280,280,"11,375,590,147",15.499872485990636
N_t_target_t01h,3,210,210,"22,110,506,205",13.187431056023343
N_t_target_t01h,4,75,75,"15,104,99,82",7.985136745002819
N_t_target_t06h,0,95,95,"103,217,15,45",8.399586149986135
N_t_target_t06h,1,119,119,"25,310,26,115",9.423897450004006
N_t_target_t06h,2,149,149,"23,225,46,305",10.163277000014205
N_t_target_t06h,3,174,174,"17,116,467,98",11.135093424993102
N_t_target_t06h,4,121,121,"26,114,310,35",9.263186499010772
N_t_target_t24h,0,112,112,"108,235,24,81",7.989599929016549
N_t_target_t24h,1,148,148,"33,450,30,79",9.282843281020178
N_t_target_t24h,2,165,165,"40,184,32,405",9.169583234994207
N_t_target_t24h,3,296,296,"23,78,978,105",12.469250155991176
N_t_target_t24h,4,110,110,"28,154,229,30",7.7222401430190075
N_t_target_t48h,0,77,77,"32,212,12,53",5.237586225994164
N_t_target_t48h,1,106,106,"116,232,12,65",6.040374470001552
N_t_target_t48h,2,102,102,"55,150,12,193",5.3033069299999624
N_t_target_t48h,3,133,133,"28,25,437,45",6.1194893769861665
N_t_target_t48h,4,118,118,"60,55,341,16",6.163256847998127
