case,horizon,mode,n,rmse,sse,mae,bias
B0,1,C0_direct_osi,34177,0.012037457339389941,4.952260259837495,0.003599131095178727,-0.00013171246546132397
B0,1,C1_component_osi,34177,0.01099408271972475,4.130969029145235,0.003278457649174449,-0.00010064466718107809
B0,1,C2_equal_blend,34177,0.011319898969309572,4.379444630906323,0.003364610377481295,-0.0001314229386326237
B0,1,C3_aligned_component,34177,0.010840689291401098,4.016499642975094,0.003227290776446228,-0.0001234873431378002
B0,1,v18_rule,34177,0.010840689291401098,4.016499642975094,0.003227290776446228,-0.0001234873431378002
N_only,1,C0_direct_osi,34177,0.012037457339389941,4.952260259837495,0.003599131095178727,-0.00013171246546132397
N_only,1,C1_component_osi,34177,0.010988862495118995,4.127047016357301,0.003260667582621425,-0.00012270110108262333
N_only,1,C2_equal_blend,34177,0.01131709753192903,4.377277257893454,0.0033570631321888536,-0.0001415263294934529
N_only,1,C3_aligned_component,34177,0.010835309055932387,4.012513853731143,0.003218804433456486,-0.00013238600926258263
N_only,1,v18_rule,34177,0.010835309055932387,4.012513853731143,0.003218804433456486,-0.00013238600926258263
R_only,1,C0_direct_osi,34177,0.012037457339389941,4.952260259837495,0.003599131095178727,-0.00013171246546132397
R_only,1,C1_component_osi,34177,0.010997484559809367,4.133525871866199,0.0032831526173771543,-9.690785940738132e-05
R_only,1,C2_equal_blend,34177,0.011321692461140297,4.380832473750477,0.003367250763348071,-0.00012936036030895736
R_only,1,C3_aligned_component,34177,0.010841353394838483,4.016991761667805,0.0032289579790065275,-0.0001227651102259653
R_only,1,v18_rule,34177,0.010841353394838483,4.016991761667805,0.0032289579790065275,-0.0001227651102259653
NR_both,1,C0_direct_osi,34177,0.012037457339389941,4.952260259837495,0.003599131095178727,-0.00013171246546132397
NR_both,1,C1_component_osi,34177,0.010992330354741444,4.129652250157301,0.0032654822844548673,-0.00011910490623173416
NR_both,1,C2_equal_blend,34177,0.011318845853331557,4.378629809397266,0.0033592952831786368,-0.00013944662667273467
NR_both,1,C3_aligned_component,34177,0.010835613640629215,4.012739443511168,0.0032203181707974623,-0.00013144054076173517
NR_both,1,v18_rule,34177,0.010835613640629215,4.012739443511168,0.0032203181707974623,-0.00013144054076173517
B0,6,C0_direct_osi,32982,0.01073393416160627,3.8000983931614947,0.003461091435797809,1.0093322570397718e-05
B0,6,C1_component_osi,32982,0.010109519599414293,3.3708391125635204,0.003250413710500381,-4.116579609706818e-05
B0,6,C2_equal_blend,32982,0.010279677323357887,3.485266182002124,0.00329414557036995,-2.951528418216472e-05
B0,6,C3_aligned_component,32982,0.009909062742500467,3.2384868949089327,0.003100474888362688,-0.00010769119066969052
B0,6,v18_rule,32982,0.009909062742500467,3.2384868949089327,0.003100474888362688,-0.00010769119066969052
N_only,6,C0_direct_osi,32982,0.01073393416160627,3.8000983931614947,0.003461091435797809,1.0093322570397718e-05
N_only,6,C1_component_osi,32982,0.010109519599414293,3.3708391125635204,0.003250413710500381,-4.116579609706818e-05
N_only,6,C2_equal_blend,32982,0.010279677323357887,3.485266182002124,0.00329414557036995,-2.951528418216472e-05
N_only,6,C3_aligned_component,32982,0.0099066477325815,3.236908536768898,0.003094759042666435,-0.00011489838547081977
N_only,6,v18_rule,32982,0.0099066477325815,3.236908536768898,0.003094759042666435,-0.00011489838547081977
R_only,6,C0_direct_osi,32982,0.01073393416160627,3.8000983931614947,0.003461091435797809,1.0093322570397718e-05
R_only,6,C1_component_osi,32982,0.010109519599414293,3.3708391125635204,0.003250413710500381,-4.116579609706818e-05
R_only,6,C2_equal_blend,32982,0.010279677323357887,3.485266182002124,0.00329414557036995,-2.951528418216472e-05
R_only,6,C3_aligned_component,32982,0.009910742450742515,3.2395849148366924,0.003102181154043428,-0.00010635922612412961
R_only,6,v18_rule,32982,0.009910742450742515,3.2395849148366924,0.003102181154043428,-0.00010635922612412961
NR_both,6,C0_direct_osi,32982,0.01073393416160627,3.8000983931614947,0.003461091435797809,1.0093322570397718e-05
NR_both,6,C1_component_osi,32982,0.010109519599414293,3.3708391125635204,0.003250413710500381,-4.116579609706818e-05
NR_both,6,C2_equal_blend,32982,0.010279677323357887,3.485266182002124,0.00329414557036995,-2.951528418216472e-05
NR_both,6,C3_aligned_component,32982,0.009907924620564076,3.2377430139985712,0.0030964005106118493,-0.00011328188851095519
NR_both,6,v18_rule,32982,0.009907924620564076,3.2377430139985712,0.0030964005106118493,-0.00011328188851095519
B0,24,C0_direct_osi,28680,0.00861830195271674,2.13021068676241,0.0028389953167640646,-8.851748810857948e-05
B0,24,C1_component_osi,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
B0,24,C2_equal_blend,28680,0.008498369961264574,2.0713353345176695,0.0027820845436543028,-0.00010285886097246099
B0,24,C3_aligned_component,28680,0.00832231845317753,1.9864050336273262,0.002684194973830968,-8.727009176011457e-05
B0,24,v18_rule,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
N_only,24,C0_direct_osi,28680,0.00861830195271674,2.13021068676241,0.0028389953167640646,-8.851748810857948e-05
N_only,24,C1_component_osi,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
N_only,24,C2_equal_blend,28680,0.008498369961264574,2.0713353345176695,0.0027820845436543028,-0.00010285886097246099
N_only,24,C3_aligned_component,28680,0.008324412128654103,1.9874046134107641,0.0026799302577341665,-9.308918694673361e-05
N_only,24,v18_rule,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
R_only,24,C0_direct_osi,28680,0.00861830195271674,2.13021068676241,0.0028389953167640646,-8.851748810857948e-05
R_only,24,C1_component_osi,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
R_only,24,C2_equal_blend,28680,0.008498369961264574,2.0713353345176695,0.0027820845436543028,-0.00010285886097246099
R_only,24,C3_aligned_component,28680,0.008324829249602293,1.9876037887647713,0.0026861278595308514,-8.579934341289839e-05
R_only,24,v18_rule,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
NR_both,24,C0_direct_osi,28680,0.00861830195271674,2.13021068676241,0.0028389953167640646,-8.851748810857948e-05
NR_both,24,C1_component_osi,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
NR_both,24,C2_equal_blend,28680,0.008498369961264574,2.0713353345176695,0.0027820845436543028,-0.00010285886097246099
NR_both,24,C3_aligned_component,28680,0.0083263748610175,1.9883419055949623,0.002681745054860751,-9.139051948132526e-05
NR_both,24,v18_rule,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
B0,48,C0_direct_osi,22944,0.007743302763035277,1.3756932773306025,0.002251557437795284,-0.00016308958938848276
B0,48,C1_component_osi,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
B0,48,C2_equal_blend,22944,0.007702283879539482,1.3611568601934998,0.002225234652350598,-0.00016897742632658718
B0,48,C3_aligned_component,22944,0.0077211144981667885,1.3678205350481787,0.0021926775801264483,-0.0001324787250324035
B0,48,v18_rule,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
N_only,48,C0_direct_osi,22944,0.007743302763035277,1.3756932773306025,0.002251557437795284,-0.00016308958938848276
N_only,48,C1_component_osi,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
N_only,48,C2_equal_blend,22944,0.007702283879539482,1.3611568601934998,0.002225234652350598,-0.00016897742632658718
N_only,48,C3_aligned_component,22944,0.007724073090979455,1.3688689845538085,0.0021894820911047257,-0.0001365751026220798
N_only,48,v18_rule,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
R_only,48,C0_direct_osi,22944,0.007743302763035277,1.3756932773306025,0.002251557437795284,-0.00016308958938848276
R_only,48,C1_component_osi,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
R_only,48,C2_equal_blend,22944,0.007702283879539482,1.3611568601934998,0.002225234652350598,-0.00016897742632658718
R_only,48,C3_aligned_component,22944,0.007723374271695504,1.3686213046679465,0.0021943255623956583,-0.0001313626820104461
R_only,48,v18_rule,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
NR_both,48,C0_direct_osi,22944,0.007743302763035277,1.3756932773306025,0.002251557437795284,-0.00016308958938848276
NR_both,48,C1_component_osi,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
NR_both,48,C2_equal_blend,22944,0.007702283879539482,1.3611568601934998,0.002225234652350598,-0.00016897742632658718
NR_both,48,C3_aligned_component,22944,0.007725608998468003,1.369413429209581,0.002191042550139984,-0.00013521594801336123
NR_both,48,v18_rule,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
