component,bin_low,bin_high,n,mean_q,observed_positive_fraction
N_t,0.0,0.1,3986,0.06720165192236593,0.05870546914199699
N_t,0.1,0.2,4873,0.14869229012038776,0.15267802175251385
N_t,0.2,0.30000000000000004,4569,0.24946525812182316,0.25826220179470344
N_t,0.3,0.4,4728,0.34957421088045837,0.35511844331641285
N_t,0.4,0.5,4439,0.44939449569855977,0.4444694751070061
N_t,0.5,0.6,4133,0.549288465009962,0.5422211468666828
N_t,0.6,0.7,3557,0.6483566645984042,0.6587011526567332
N_t,0.7,0.7999999999999999,2666,0.7457874245064035,0.7558139534883721
N_t,0.8,0.9,1111,0.8383586041458744,0.8415841584158416
N_t,0.9,1.0,115,0.9182674340221769,0.9739130434782609
R_t,0.0,0.1,3710,0.06294364452995704,0.05902964959568733
R_t,0.1,0.2,4267,0.14831290528102745,0.1544410592922428
R_t,0.2,0.30000000000000004,3388,0.24840563195425536,0.25059031877213694
R_t,0.3,0.4,3005,0.34983082443716484,0.3487520798668885
R_t,0.4,0.5,3002,0.4499225136787578,0.4497001998667555
R_t,0.5,0.6,2837,0.5498066562492042,0.5273175890024674
R_t,0.6,0.7,3047,0.6518493543665286,0.6389891696750902
R_t,0.7,0.7999999999999999,3351,0.7513798241155094,0.7427633542226201
R_t,0.8,0.9,3804,0.8508046832493096,0.8451629863301787
R_t,0.9,1.0,3766,0.9409708822425131,0.9575146043547531
