case,horizon,n,rmse,sse,mae,bias
B0,1,34177,0.010840689291401098,4.016499642975094,0.003227290776446228,-0.0001234873431378002
N_only,1,34177,0.010835309055932387,4.012513853731143,0.003218804433456486,-0.00013238600926258263
R_only,1,34177,0.010841353394838483,4.016991761667805,0.0032289579790065275,-0.0001227651102259653
NR_both,1,34177,0.010835613640629215,4.012739443511168,0.0032203181707974623,-0.00013144054076173517
B0,6,32982,0.009909062742500467,3.2384868949089327,0.003100474888362688,-0.00010769119066969052
N_only,6,32982,0.0099066477325815,3.236908536768898,0.003094759042666435,-0.00011489838547081977
R_only,6,32982,0.009910742450742515,3.2395849148366924,0.003102181154043428,-0.00010635922612412961
NR_both,6,32982,0.009907924620564076,3.2377430139985712,0.0030964005106118493,-0.00011328188851095519
B0,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
N_only,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
R_only,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
NR_both,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
B0,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
N_only,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
R_only,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
NR_both,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
