component,head,outer_fold,inner_best_iterations,requested_refit_rounds,saved_trees,train_rows,fit_seconds
N_t,q,0,"101,123,100,105",107,107,27313,12.266656033985782
N_t,m,0,"140,69,237,169",153,153,10822,7.244302178994985
N_t,q,1,"89,115,82,180",116,116,27456,12.947579684027005
N_t,m,1,"23,177,165,157",130,130,10545,6.637586559983902
N_t,q,2,"97,81,103,152",108,108,27313,12.791830756003037
N_t,m,2,"17,225,695,248",296,296,10808,10.284929961984744
N_t,q,3,"76,156,153,180",141,141,27313,14.605893890999141
N_t,m,3,"24,128,512,346",252,252,10824,9.342955975007499
N_t,q,4,"78,104,140,89",102,102,27313,13.008856166008627
N_t,m,4,"29,104,65,82",70,70,10825,5.033006383993779
R_t,q,0,"134,146,100,169",137,137,27313,14.439946366008371
R_t,m,0,"265,23,146,208",160,160,13511,8.790222750991234
R_t,q,1,"157,175,110,142",146,146,27456,15.238713954007835
R_t,m,1,"45,210,56,183",123,123,13261,7.6776380090013845
R_t,q,2,"128,167,83,215",148,148,27313,15.355642043010448
R_t,m,2,"23,230,202,133",147,147,13720,8.381698166995193
R_t,q,3,"183,157,115,139",148,148,27313,15.406514079979388
R_t,m,3,"35,134,119,150",109,109,13575,7.085869211005047
R_t,q,4,"172,224,237,160",198,198,27313,18.15764465201937
R_t,m,4,"41,145,127,535",212,212,13445,10.145301355994889
