case,horizon,kind,rank,fipsCode,countyName,stateAbbr,sse_reduction,rmse_change_pct
NR_both,1,largest_gains,1,42121,Venango County,PA,0.001411625804303554,-1.2275059642610109
NR_both,1,largest_gains,2,42053,Forest County,PA,0.0010106884422669271,-0.039762873539483934
NR_both,1,largest_gains,3,42023,Cameron County,PA,0.0004967191605814662,-1.913250068601613
NR_both,1,largest_gains,4,39171,Williams County,OH,0.0003847938690096659,-1.3274343583749793
NR_both,1,largest_gains,5,39111,Monroe County,OH,0.0003244195198412944,-0.32958863852867726
NR_both,1,largest_losses,1,54015,Clay County,WV,-0.0013033594644329405,0.17939420595589617
NR_both,1,largest_losses,2,54013,Calhoun County,WV,-0.00044756871478596194,0.0824922422544283
NR_both,1,largest_losses,3,18013,Brown County,IN,-0.0003654537283983711,0.15497928027301544
NR_both,1,largest_losses,4,39157,Tuscarawas County,OH,-0.0002684073668776099,0.20208726091193174
NR_both,1,largest_losses,5,54041,Lewis County,WV,-0.0002536005357670762,0.43127334785901805
NR_both,6,largest_gains,1,42053,Forest County,PA,0.0012016914045931415,-0.09093838477614025
NR_both,6,largest_gains,2,54009,Brooke County,WV,0.00031940818432638074,-0.26397496408632204
NR_both,6,largest_gains,3,39171,Williams County,OH,0.0002515570834669967,-1.1046539451249338
NR_both,6,largest_gains,4,39111,Monroe County,OH,0.00016292218974206518,-0.2216962420952484
NR_both,6,largest_gains,5,54103,Wetzel County,WV,0.00015833353933920533,-0.49051057767390827
NR_both,6,largest_losses,1,54015,Clay County,WV,-0.0013506974250448445,0.1860026867239295
NR_both,6,largest_losses,2,54013,Calhoun County,WV,-0.0004481579645997935,0.08260213676216654
NR_both,6,largest_losses,3,18013,Brown County,IN,-0.00039723257464591155,0.16864905102296213
NR_both,6,largest_losses,4,54041,Lewis County,WV,-0.0002549541508592122,0.4337713847561986
NR_both,6,largest_losses,5,18117,Orange County,IN,-0.00016580003928080497,0.3377643907918948
N_only,1,largest_gains,1,42121,Venango County,PA,0.001510617612308647,-1.3141590624507482
N_only,1,largest_gains,2,42023,Cameron County,PA,0.0005296942510026863,-2.0415853630194714
N_only,1,largest_gains,3,39111,Monroe County,OH,0.0005279636789982459,-0.5369335271225517
N_only,1,largest_gains,4,39107,Mercer County,OH,0.0003122237517249049,-0.312906680256797
N_only,1,largest_gains,5,54009,Brooke County,WV,0.000289125419036175,-0.237220829452367
N_only,1,largest_losses,1,54015,Clay County,WV,-0.0011613563938919214,0.15986452063607715
N_only,1,largest_losses,2,54013,Calhoun County,WV,-0.0004941482085217275,0.09107349144890087
N_only,1,largest_losses,3,18013,Brown County,IN,-0.00034790270146026203,0.147541835420828
N_only,1,largest_losses,4,54041,Lewis County,WV,-0.00024949935084659855,0.42431360211041547
N_only,1,largest_losses,5,42065,Jefferson County,PA,-0.00017916940912659184,0.7103673196625415
N_only,6,largest_gains,1,42053,Forest County,PA,0.0008960265812819612,-0.06779925299982281
N_only,6,largest_gains,2,39111,Monroe County,OH,0.00037799131060406443,-0.5151079118359214
N_only,6,largest_gains,3,54009,Brooke County,WV,0.0003132101760007569,-0.25884597187648684
N_only,6,largest_gains,4,39107,Mercer County,OH,0.000242952337517581,-0.3242656396499788
N_only,6,largest_gains,5,39173,Wood County,OH,0.00017041616873393313,-2.2015686264541756
N_only,6,largest_losses,1,54015,Clay County,WV,-0.001210215760392097,0.16667324322574562
N_only,6,largest_losses,2,54013,Calhoun County,WV,-0.0004943249154913398,0.09110751525056582
N_only,6,largest_losses,3,18013,Brown County,IN,-0.0003756600464644849,0.15949751113866206
N_only,6,largest_losses,4,54041,Lewis County,WV,-0.000250111603498835,0.4255498746274844
