split_seed,case,population,n,a_mse,b_mse,twice_cross_mean,P_mse
42,F0,all,34177,8.916290531851098e-05,0.00021969318505164905,2.606441318291417e-05,0.00033492050355307424
42,F0,fold0,6864,0.00010441842267073824,3.131957469781598e-05,3.5307041143624355e-06,0.00013926870148291666
42,F0,fold1,6721,7.921370206926599e-05,0.00013011106946026594,2.2407592973174314e-05,0.0002317323645027062
42,F0,fold2,6864,8.930883064230892e-05,0.000340155780546435,1.4134476915492973e-05,0.000443599088104237
42,F0,fold3,6864,7.313659617000559e-05,0.0004624419330241581,8.10471302096328e-05,0.0006166256594037965
42,F0,fold4,6864,9.95296999725436e-05,0.00013257127345474962,9.125977947538767e-06,0.00024122695137483198
42,F2,all,34177,8.445436873701824e-05,0.00021655374122221528,1.802463292019547e-05,0.00031903274287942894
42,F2,fold0,6864,0.00010664118021816366,3.188014666735897e-05,-7.110810577331248e-06,0.0001314105163081914
42,F2,fold1,6721,7.093407798562102e-05,0.00011928358529581952,1.766459441550987e-05,0.0002078822576969504
42,F2,fold2,6864,6.661997030603006e-05,0.00033555712971912796,1.5130292939135904e-05,0.000417307392964294
42,F2,fold3,6864,8.173713258338202e-05,0.00046734758046310804,5.5749530826504034e-05,0.0006048342438729939
42,F2,fold4,6864,9.605780986790698e-05,0.00012667380238386188,8.682056194977844e-06,0.0002314136684467467
20260917,F0,all,34177,8.090244530429696e-05,0.00023048700680979104,2.384889939610129e-05,0.00033523835151018936
20260917,F0,fold0,6864,6.818024371769163e-05,0.00020905964876290824,1.933551129769047e-05,0.0002965754037782903
20260917,F0,fold1,6864,8.508222373527683e-05,5.583389758938475e-05,9.356906497020416e-06,0.000150273027821682
20260917,F0,fold2,6864,9.025469940429829e-05,8.222499488558658e-05,1.0787865245573877e-05,0.0001832675595354587
20260917,F0,fold3,6721,5.23619815992137e-05,0.00045709791293026573,6.512273150813467e-05,0.000574582626037614
20260917,F0,fold4,6864,0.00010803848507114845,0.0003529396404249867,1.5501353934421067e-05,0.00047647947943055616
20260917,F2,all,34177,7.638995081170644e-05,0.00022450049643351144,1.9139808631994665e-05,0.00032003025587721244
20260917,F2,fold0,6864,6.269167522915944e-05,0.00019979450378027595,1.9971274587753613e-05,0.00028245745359718895
20260917,F2,fold1,6864,7.620958017338557e-05,5.1407652302488884e-05,4.808754885155569e-06,0.00013242598736103005
20260917,F2,fold2,6864,8.840770096799481e-05,7.907480550204802e-05,7.126299978583777e-06,0.0001746088064486266
20260917,F2,fold3,6721,5.7703278766769095e-05,0.0004563983734628935,5.0797843503002175e-05,0.0005648994957326646
20260917,F2,fold4,6864,9.654821325362049e-05,0.0003406583528912961,1.3654412598624164e-05,0.0004508609787435407
20260918,F0,all,34177,8.937757789119297e-05,0.00019099597423240654,2.5681787838697377e-05,0.0003060553399622969
20260918,F0,fold0,6864,4.994446805277986e-05,9.749045469829508e-05,4.218031892601126e-06,0.00015165295464367607
20260918,F0,fold1,6721,9.760255312925008e-05,8.720989696084392e-05,8.097943624372834e-06,0.00019291039371446687
20260918,F0,fold2,6864,0.00011992586450459706,0.0005603038849961574,8.391792277294752e-05,0.0007641476722737019
20260918,F0,fold3,6864,9.276282016812636e-05,0.00013971379024522792,1.866539550323825e-05,0.0002511420059165925
20260918,F0,fold4,6864,8.682353725200428e-05,6.809963431835064e-05,1.314331531252872e-05,0.00016806648688288365
20260918,F2,all,34177,8.29362266116826e-05,0.0001917202804199682,2.2771862505250295e-05,0.0002974283695369011
20260918,F2,fold0,6864,5.712570450901889e-05,0.00010179510319355819,6.479372479700265e-06,0.00016540018018227734
20260918,F2,fold1,6721,9.142886349118493e-05,8.84858351037502e-05,4.938863395977452e-06,0.00018485356199091256
20260918,F2,fold2,6864,0.00011517337230093034,0.0005578385201780015,7.464257743777808e-05,0.0007476544699167099
20260918,F2,fold3,6864,7.501909795201601e-05,0.00014024078642721146,1.6439296422938173e-05,0.00023169918080216572
20260918,F2,fold4,6864,7.61110247402525e-05,6.809043958656518e-05,1.0987681975081001e-05,0.0001551891463018987
