horizon,fipsCode,countyName,improved_splits,worsened_splits,minimum_rmse_change_pct,maximum_rmse_change_pct
osi_target_t01h,18009,Blackford County,3,0,-10.079073638162317,-0.43903268749749813
osi_target_t01h,18013,Brown County,2,1,-2.086486475480054,0.29794035024319765
osi_target_t01h,18023,Clinton County,0,3,0.6032936993040527,9.568171542713522
osi_target_t01h,18025,Crawford County,2,1,-0.31075682574454033,0.8225687662462899
osi_target_t01h,18027,Daviess County,0,3,14.304009808772422,33.707118931072074
osi_target_t01h,18029,Dearborn County,1,2,-0.3074748503772873,1.825451044005666
osi_target_t01h,18033,DeKalb County,2,1,-2.038767615269743,0.9913251721621608
osi_target_t01h,18035,Delaware County,1,2,-0.41386467564753504,3.609548710684596
osi_target_t01h,18037,Dubois County,3,0,-8.567713588486326,-5.454180023690347
osi_target_t01h,18039,Elkhart County,3,0,-2.098244238267466,-0.7070305081421702
osi_target_t01h,18041,Fayette County,1,2,-0.1611327388476247,1.620969774748704
osi_target_t01h,18043,Floyd County,0,3,5.191753043359837,16.713392099588177
osi_target_t01h,18045,Fountain County,1,2,-1.915945936620389,3.709124450925194
osi_target_t01h,18047,Franklin County,2,1,-1.3344302223230908,2.093438987481866
osi_target_t01h,18051,Gibson County,1,2,-1.169883440300712,7.269303593495602
osi_target_t01h,18059,Hancock County,1,2,-0.008352562534574837,2.586774486967025
osi_target_t01h,18061,Harrison County,2,1,-0.839071642340139,1.24729196972726
osi_target_t01h,18065,Henry County,2,1,-0.8851339581285367,0.3382081360775224
osi_target_t01h,18067,Howard County,1,2,-0.03641653122653521,0.8498774451689561
osi_target_t01h,18069,Huntington County,0,3,4.531700441212871,9.394610631977818
osi_target_t01h,18071,Jackson County,2,1,-2.462308448399164,5.835808607159709
osi_target_t01h,18073,Jasper County,3,0,-3.086915416669711,-0.5466461325041583
osi_target_t01h,18077,Jefferson County,3,0,-4.409500059425831,-3.31689933600553
osi_target_t01h,18083,Knox County,1,2,-8.980146408901623,4.21921896091717
osi_target_t01h,18085,Kosciusko County,3,0,-2.235947458916965,-1.3594525022980197
osi_target_t01h,18087,LaGrange County,0,3,5.361550293884587,17.744663421488127
osi_target_t01h,18089,Lake County,0,3,1.1416492964927638,4.5822963967105945
osi_target_t01h,18091,LaPorte County,1,2,-4.073272158507823,1.556625066355144
osi_target_t01h,18093,Lawrence County,1,2,-0.7293065548608091,2.005782094597941
osi_target_t01h,18095,Madison County,0,3,1.5536379299808667,4.229764332626651
osi_target_t01h,18097,Marion County,2,1,-2.5760182854924984,0.30544242821179957
osi_target_t01h,18099,Marshall County,3,0,-0.20662309997768746,-0.012801611379020805
osi_target_t01h,18101,Martin County,2,1,-9.850213803927899,0.9799748286737797
osi_target_t01h,18103,Miami County,2,1,-1.2840147829557336,1.0337086363724213
osi_target_t01h,18105,Monroe County,1,2,-2.030485511445723,2.937171273895167
osi_target_t01h,18107,Montgomery County,0,3,0.35906934029728,2.7904794488742946
osi_target_t01h,18109,Morgan County,0,3,4.156337257029952,8.38462496657808
osi_target_t01h,18111,Newton County,1,2,-4.159008515639917,3.0177074799744963
osi_target_t01h,18113,Noble County,3,0,-2.007993986090395,-0.8929358292189771
osi_target_t01h,18117,Orange County,2,1,-1.2693895962146762,0.22142878614390682
osi_target_t01h,18121,Parke County,1,2,-0.3805859424675373,0.7944747048150402
osi_target_t01h,18123,Perry County,2,1,-9.387277792761273,3.2829038115109066
osi_target_t01h,18125,Pike County,2,1,-8.766974763027036,1.879092176822894
osi_target_t01h,18127,Porter County,3,0,-5.573277832215384,-2.984087783249678
osi_target_t01h,18129,Posey County,3,0,-10.049671033190076,-1.1706241183800592
osi_target_t01h,18131,Pulaski County,1,2,-0.04481757286290966,0.14381635862132924
osi_target_t01h,18133,Putnam County,1,2,-3.7958898262647645,7.81371286588759
osi_target_t01h,18135,Randolph County,2,1,-4.85682823887249,3.829597055243039
osi_target_t01h,18137,Ripley County,0,3,0.05061147156926182,2.4493979872263205
osi_target_t01h,18139,Rush County,1,2,-0.32619207531122685,1.632399286358699
