split_seed,candidate,outer_fold,kind,target,inner_fold,best_iteration,refit_rounds,actual_trees,training_rows,training_counties,validation_rows,weight_mean,row_weight_ess,model_id
42,F2,0,a,P_anchor_a_t01h,1,181,155,155,15301,107,5720,0.016786386534640076,778.2271372758061,518470db4e60ae11a41461c25e5c4384e2d9fca63fa4f8180c2a8f668ca56952
42,F2,0,a,P_anchor_a_t01h,2,215,155,155,15730,110,5291,0.015900277550404,760.218408421251,518470db4e60ae11a41461c25e5c4384e2d9fca63fa4f8180c2a8f668ca56952
42,F2,0,a,P_anchor_a_t01h,3,128,155,155,15873,111,5148,0.015428857447791924,778.5049647893017,518470db4e60ae11a41461c25e5c4384e2d9fca63fa4f8180c2a8f668ca56952
42,F2,0,a,P_anchor_a_t01h,4,97,155,155,16159,113,4862,0.010857478494929452,1510.0733136440367,518470db4e60ae11a41461c25e5c4384e2d9fca63fa4f8180c2a8f668ca56952
42,F2,0,b,P_excess_b_t01h,1,597,436,436,20592,144,6721,0.9228526686056006,20050.082294328626,e09f84fedde1af56cf30222170be620ac2f0bf5b416fe9e74ffcaad3015cedf5
42,F2,0,b,P_excess_b_t01h,2,175,436,436,20449,143,6864,0.9217062437520591,19920.98648945369,e09f84fedde1af56cf30222170be620ac2f0bf5b416fe9e74ffcaad3015cedf5
42,F2,0,b,P_excess_b_t01h,3,886,436,436,20449,143,6864,0.9204651599909434,19922.83189464363,e09f84fedde1af56cf30222170be620ac2f0bf5b416fe9e74ffcaad3015cedf5
42,F2,0,b,P_excess_b_t01h,4,89,436,436,20449,143,6864,0.9243763103631262,20002.429142041503,e09f84fedde1af56cf30222170be620ac2f0bf5b416fe9e74ffcaad3015cedf5
42,F2,1,a,P_anchor_a_t01h,0,136,95,95,15301,107,5577,0.016786386534640076,778.2271372758061,3302093a3834215e1bff086dc31374834747392bf1d4b927e93d240c0b62771b
42,F2,1,a,P_anchor_a_t01h,2,90,95,95,15587,109,5291,0.01719661854779065,839.7699597351784,3302093a3834215e1bff086dc31374834747392bf1d4b927e93d240c0b62771b
42,F2,1,a,P_anchor_a_t01h,3,60,95,95,15730,110,5148,0.016709127889724035,860.1812718355434,3302093a3834215e1bff086dc31374834747392bf1d4b927e93d240c0b62771b
42,F2,1,a,P_anchor_a_t01h,4,95,95,95,16016,112,4862,0.012074071081176505,1580.9525651858198,3302093a3834215e1bff086dc31374834747392bf1d4b927e93d240c0b62771b
42,F2,1,b,P_excess_b_t01h,0,150,214,214,20592,144,6864,0.9228526686056006,20050.082294328626,893de59d54a8c82d6e7d7d71faa9b4733114aaba0c8ebee465c12805066ac475
42,F2,1,b,P_excess_b_t01h,2,424,214,214,20592,144,6864,0.9198796240257583,20019.899374409983,893de59d54a8c82d6e7d7d71faa9b4733114aaba0c8ebee465c12805066ac475
42,F2,1,b,P_excess_b_t01h,3,99,214,214,20592,144,6864,0.9186471589018724,20021.742738366444,893de59d54a8c82d6e7d7d71faa9b4733114aaba0c8ebee465c12805066ac475
42,F2,1,b,P_excess_b_t01h,4,183,214,214,20592,144,6864,0.9225311485075818,20101.340374147465,893de59d54a8c82d6e7d7d71faa9b4733114aaba0c8ebee465c12805066ac475
42,F2,2,a,P_anchor_a_t01h,0,119,189,189,15730,110,5577,0.015900277550404,760.218408421251,6d4a6f72f3260bed51cae191fddef7f5ef8484c741e58057a8a19e39be6845b8
42,F2,2,a,P_anchor_a_t01h,1,135,189,189,15587,109,5720,0.01719661854779065,839.7699597351784,6d4a6f72f3260bed51cae191fddef7f5ef8484c741e58057a8a19e39be6845b8
42,F2,2,a,P_anchor_a_t01h,3,467,189,189,16159,113,5148,0.015848595037235368,842.7204897053582,6d4a6f72f3260bed51cae191fddef7f5ef8484c741e58057a8a19e39be6845b8
42,F2,2,a,P_anchor_a_t01h,4,35,189,189,16445,115,4862,0.011349418542867133,1645.5655098931245,6d4a6f72f3260bed51cae191fddef7f5ef8484c741e58057a8a19e39be6845b8
42,F2,2,b,P_excess_b_t01h,0,41,263,263,20449,143,6864,0.9217062437520591,19920.98648945369,77c70cf912e19a987332792a13ae19f17c80d4a5836e050512dcf621c3414456
42,F2,2,b,P_excess_b_t01h,1,301,263,263,20592,144,6721,0.9198796240257583,20019.899374409983,77c70cf912e19a987332792a13ae19f17c80d4a5836e050512dcf621c3414456
42,F2,2,b,P_excess_b_t01h,3,465,263,263,20449,143,6864,0.9174713248895636,19892.87152234544,77c70cf912e19a987332792a13ae19f17c80d4a5836e050512dcf621c3414456
42,F2,2,b,P_excess_b_t01h,4,247,263,263,20449,143,6864,0.9213824752617462,19972.45083298586,77c70cf912e19a987332792a13ae19f17c80d4a5836e050512dcf621c3414456
42,F2,3,a,P_anchor_a_t01h,0,200,106,106,15873,111,5577,0.015428857447791924,778.5049647893017,3670150aa1ae1b0d96ab679efbae02509ce3fb8b9429dfccc422d619b2d9be45
42,F2,3,a,P_anchor_a_t01h,1,53,106,106,15730,110,5720,0.016709127889724035,860.1812718355434,3670150aa1ae1b0d96ab679efbae02509ce3fb8b9429dfccc422d619b2d9be45
42,F2,3,a,P_anchor_a_t01h,2,142,106,106,16159,113,5291,0.015848595037235368,842.7204897053582,3670150aa1ae1b0d96ab679efbae02509ce3fb8b9429dfccc422d619b2d9be45
42,F2,3,a,P_anchor_a_t01h,4,29,106,106,16588,116,4862,0.010937549815432624,2067.1821921702644,3670150aa1ae1b0d96ab679efbae02509ce3fb8b9429dfccc422d619b2d9be45
42,F2,3,b,P_excess_b_t01h,0,50,314,314,20449,143,6864,0.9204651599909434,19922.83189464363,19f6893d041d673c219a9eecce7b8e5f007e3e24248850ca3c8157043bba507e
42,F2,3,b,P_excess_b_t01h,1,306,314,314,20592,144,6721,0.9186471589018724,20021.742738366444,19f6893d041d673c219a9eecce7b8e5f007e3e24248850ca3c8157043bba507e
42,F2,3,b,P_excess_b_t01h,2,408,314,314,20449,143,6864,0.9174713248895636,19892.87152234544,19f6893d041d673c219a9eecce7b8e5f007e3e24248850ca3c8157043bba507e
42,F2,3,b,P_excess_b_t01h,4,495,314,314,20449,143,6864,0.9201413915006307,19974.465411472796,19f6893d041d673c219a9eecce7b8e5f007e3e24248850ca3c8157043bba507e
42,F2,4,a,P_anchor_a_t01h,0,250,135,135,16159,113,5577,0.010857478494929452,1510.0733136440367,65245e9275f1f936ed34a8aab495e0c3738ec6f88b348eefaef4266e38baef5a
42,F2,4,a,P_anchor_a_t01h,1,124,135,135,16016,112,5720,0.012074071081176505,1580.9525651858198,65245e9275f1f936ed34a8aab495e0c3738ec6f88b348eefaef4266e38baef5a
42,F2,4,a,P_anchor_a_t01h,2,119,135,135,16445,115,5291,0.011349418542867133,1645.5655098931245,65245e9275f1f936ed34a8aab495e0c3738ec6f88b348eefaef4266e38baef5a
42,F2,4,a,P_anchor_a_t01h,3,48,135,135,16588,116,5148,0.010937549815432624,2067.1821921702644,65245e9275f1f936ed34a8aab495e0c3738ec6f88b348eefaef4266e38baef5a
42,F2,4,b,P_excess_b_t01h,0,104,237,237,20449,143,6864,0.9243763103631262,20002.429142041503,897c2aad279ac80712146534ffe5e0968f5734a1f4fb5c64934084f842e040d5
42,F2,4,b,P_excess_b_t01h,1,171,237,237,20592,144,6721,0.9225311485075818,20101.340374147465,897c2aad279ac80712146534ffe5e0968f5734a1f4fb5c64934084f842e040d5
42,F2,4,b,P_excess_b_t01h,2,295,237,237,20449,143,6864,0.9213824752617462,19972.45083298586,897c2aad279ac80712146534ffe5e0968f5734a1f4fb5c64934084f842e040d5
42,F2,4,b,P_excess_b_t01h,3,380,237,237,20449,143,6864,0.9201413915006307,19974.465411472796,897c2aad279ac80712146534ffe5e0968f5734a1f4fb5c64934084f842e040d5
20260917,F2,0,a,P_anchor_a_t01h,1,97,122,122,16159,113,4719,0.015646328325231478,823.5781568731726,386bd6a0923f10ac3ce5e0c2cfb20ac29f811fe741f2c95432c9bf20e97e3277
20260917,F2,0,a,P_anchor_a_t01h,2,300,122,122,15587,109,5291,0.015460089637099864,755.3094857040898,386bd6a0923f10ac3ce5e0c2cfb20ac29f811fe741f2c95432c9bf20e97e3277
20260917,F2,0,a,P_anchor_a_t01h,3,59,122,122,15444,108,5434,0.016503729196769658,817.9863403251512,386bd6a0923f10ac3ce5e0c2cfb20ac29f811fe741f2c95432c9bf20e97e3277
20260917,F2,0,a,P_anchor_a_t01h,4,32,122,122,15444,108,5434,0.011556630039969002,2014.0010073096857,386bd6a0923f10ac3ce5e0c2cfb20ac29f811fe741f2c95432c9bf20e97e3277
20260917,F2,0,b,P_excess_b_t01h,1,34,323,323,20449,143,6864,0.9192585725367214,19899.53347364966,5667595b456411c76a09fb7902b19fe8ba31f512e051e81bf095ec15915c5141
20260917,F2,0,b,P_excess_b_t01h,2,40,323,323,20449,143,6864,0.9231126717513558,19930.384341799843,5667595b456411c76a09fb7902b19fe8ba31f512e051e81bf095ec15915c5141
20260917,F2,0,b,P_excess_b_t01h,3,820,323,323,20592,144,6721,0.9214091547586883,20039.428023376207,5667595b456411c76a09fb7902b19fe8ba31f512e051e81bf095ec15915c5141
20260917,F2,0,b,P_excess_b_t01h,4,399,323,323,20449,143,6864,0.9216167057224941,19980.928863728113,5667595b456411c76a09fb7902b19fe8ba31f512e051e81bf095ec15915c5141
20260917,F2,1,a,P_anchor_a_t01h,0,383,144,144,16159,113,5720,0.015646328325231478,823.5781568731726,68d87863bd628fefd2b32deed61f843b0e4b23e2700ddc3a997d3e40fcfe2ecc
