case,population,n,a_mse,b_mse,twice_cross_mean,P_mse
F0,all,34177,8.090244530429696e-05,0.00023048700680979104,2.384889939610129e-05,0.00033523835151018936
F0,fold0,6864,6.818024371769163e-05,0.00020905964876290824,1.933551129769047e-05,0.0002965754037782903
F0,fold1,6864,8.508222373527683e-05,5.583389758938475e-05,9.356906497020416e-06,0.000150273027821682
F0,fold2,6864,9.025469940429829e-05,8.222499488558658e-05,1.0787865245573877e-05,0.0001832675595354587
F0,fold3,6721,5.23619815992137e-05,0.00045709791293026573,6.512273150813467e-05,0.000574582626037614
F0,fold4,6864,0.00010803848507114845,0.0003529396404249867,1.5501353934421067e-05,0.00047647947943055616
F2,all,34177,7.638995081170644e-05,0.00022450049643351144,1.9139808631994665e-05,0.00032003025587721244
F2,fold0,6864,6.269167522915944e-05,0.00019979450378027595,1.9971274587753613e-05,0.00028245745359718895
F2,fold1,6864,7.620958017338557e-05,5.1407652302488884e-05,4.808754885155569e-06,0.00013242598736103005
F2,fold2,6864,8.840770096799481e-05,7.907480550204802e-05,7.126299978583777e-06,0.0001746088064486266
F2,fold3,6721,5.7703278766769095e-05,0.0004563983734628935,5.0797843503002175e-05,0.0005648994957326646
F2,fold4,6864,9.654821325362049e-05,0.0003406583528912961,1.3654412598624164e-05,0.0004508609787435407
