domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
OSI,v18_rule,osi_target_t01h,F2_minus_F0,fold,0,48,,6864,0.007835195958687608,0.002976034763525107,0.4213829897605416,0.00024015075487630319,0.00792125147589283,0.0030221626147296917,0.4306900880179108,0.00033426601883502425,8.605551720522117e-05,1.098319910043899,-0.009307098257369195,3446
OSI,v18_rule,osi_target_t01h,F2_minus_F0,fold,1,47,,6721,0.00792055413337616,0.0031236892443039658,0.4216431298576473,0.0008267834094766189,0.007798474444087559,0.0030966762719227877,0.40874570476583816,0.0007765364047809918,-0.00012207968928860165,-1.5413023790112668,0.012897425091809134,3636
OSI,v18_rule,osi_target_t01h,F2_minus_F0,fold,2,48,,6864,0.016886911964065894,0.0036485038885334838,1.9573917495620154,-0.0010206190923429408,0.016867429320408082,0.003609737053373161,1.9528778197771968,-0.0010600140251508362,-1.94826436578123e-05,-0.11537126325564806,0.004513929784818682,3345
OSI,v18_rule,osi_target_t01h,F2_minus_F0,fold,3,48,,6864,0.010284489815991027,0.0036042453951514067,0.7260102960411319,-0.0007201046970582289,0.010020705889399538,0.0035092710695936885,0.689245447325955,-0.0006502423792659092,-0.0002637839265914894,-2.5648712897876624,0.03676484871517682,3197
OSI,v18_rule,osi_target_t01h,F2_minus_F0,fold,4,48,,6864,0.00784209182044726,0.0032331727208553688,0.4221250458819163,0.0003567146597966327,0.007812488512602452,0.0031997546379545156,0.41894408047751874,0.0002975620347623041,-2.960330784480738e-05,-0.3774924920876388,0.003180965404397551,3433
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18009,1,Blackford County,143,0.0068018524805726855,0.004091357634914288,0.006615923194948609,0.0030753045612969304,0.0061818488746660846,0.0038701306973031088,0.0054647815378170775,0.002528005366572132,-0.000620003605906601,-9.115216886538525,0.001151141657131531,87
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18013,1,Brown County,143,0.02923585380925098,0.012764880301749965,0.12222712615769302,-0.010031717990329337,0.028799781886791043,0.012649124321319193,0.11860812345192345,-0.00974571835854355,-0.000436071922459938,-1.4915655458707766,0.003619002705769564,97
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18023,1,Clinton County,143,0.002203540601720293,0.0007942711362187061,0.0006943495392304658,0.0007481172900648599,0.0024143791465062324,0.0008946860960850927,0.0008335794128210354,0.0008485322499312466,0.00021083854478593953,9.568171542713522,-0.0001392298735905696,31
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18025,1,Crawford County,143,0.012584747662355128,0.0021878269453316614,0.022647749942696856,-0.0017362759609233507,0.012688265865936571,0.002213856437998842,0.023021868967910832,-0.0017123291404046344,0.00010351820358144373,0.8225687662462899,-0.0003741190252139759,41
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18027,1,Daviess County,143,0.0029619742354426003,0.0013364057066380852,0.001254580666113886,0.001329412699645078,0.003960370413690951,0.001783035245535725,0.0022428883353503245,0.001780238042738522,0.0009983961782483505,33.707118931072074,-0.0009883076692364385,45
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18029,1,Dearborn County,143,0.001620530115796774,0.000545500826706772,0.00037553485343721577,3.2879345539967294e-05,0.0016501120997140127,0.0005526394541406517,0.00038937040165203004,3.316669994673188e-05,2.9581983917238578e-05,1.825451044005666,-1.3835548214814275e-05,26
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18033,1,DeKalb County,143,0.003432671217388253,0.0014172824822152623,0.0016850021311960622,-0.0010065902518906125,0.0033626870282694554,0.0013495878445849467,0.0016169959591631074,-0.0009276603719145439,-6.998418911879738e-05,-2.038767615269743,6.800617203295473e-05,50
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18035,1,Delaware County,143,0.0017393067966139707,0.0008861167932214583,0.0004326019029829,-0.0001845921425295777,0.0017321084201816488,0.0008799921438947502,0.000429028539834776,-0.00022256785703853623,-7.198376432321872e-06,-0.41386467564753504,3.573363148124027e-06,69
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18037,1,Dubois County,143,0.002971969953388696,0.0012245485400273425,0.0012630625727498648,0.0008734995889783915,0.0027173400798464822,0.0011229506781182134,0.0010559030066642325,0.0007558508742990639,-0.00025462987354221396,-8.567713588486326,0.0002071595660856323,35
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18039,1,Elkhart County,143,0.0016240529027967147,0.0011754886892121035,0.0003771693398447882,0.0010927009815071638,0.001609707946469979,0.0011604124875332095,0.00037053583322878937,0.001085116538383159,-1.4344956326735802e-05,-0.8832813452094412,6.633506615998856e-06,85
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18041,1,Fayette County,143,0.005055012302823768,0.0018937381896752894,0.00365410036158305,-0.00175658885519439,0.0051325372976830765,0.0019240187827840242,0.0037670402930314296,-0.0017827187835390411,7.752499485930847e-05,1.5336262350143626,-0.00011293993144837963,34
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18043,1,Floyd County,143,0.0016991619401134652,0.0006376416825760762,0.0004128626357184122,0.00025425499257839565,0.0019831495375715984,0.0007311043732803095,0.0005624021386369736,0.0003551828665083628,0.0002839875974581332,16.713392099588177,-0.00014953950291856136,31
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18045,1,Fountain County,143,0.002265727739011255,0.0009113467042971441,0.0007340936727874827,0.0008771825734428979,0.002308932887328099,0.000914061109417392,0.0007623574641804938,0.0008851950672397606,4.32051483168442e-05,1.906899384817451,-2.826379139301107e-05,36
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18047,1,Franklin County,143,0.003037072836250765,0.0011859728786663888,0.0013190050320149938,0.000325201739590167,0.0029965452184498695,0.0011803404680582566,0.001284037504208713,0.00033907189113300054,-4.052761780089535e-05,-1.3344302223230908,3.4967527806280783e-05,40
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18051,1,Gibson County,143,0.0012883880847108374,0.0005106590979833573,0.00023737197152595498,0.00021462743706469612,0.0013820449260508914,0.0005348285016268167,0.00027313688940009095,0.00019653053454473824,9.365684134005395e-05,7.269303593495602,-3.576491787413597e-05,24
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18059,1,Hancock County,143,0.001101410410105192,0.0003534225400692727,0.00017347399948279646,0.00017809871711739947,0.0011013184141119255,0.00034200924031739754,0.00017344502164446697,0.00016118109502690536,-9.199599326640065e-08,-0.008352562534574837,2.8977838329493624e-08,28
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18061,1,Harrison County,143,0.0038076332133447645,0.001553460927423995,0.0020732241082933632,-0.0003306391495197498,0.0038551255166514816,0.0015797690555353083,0.0021252649631266413,-0.00025701659383610555,4.749230330671709e-05,1.24729196972726,-5.204085483327811e-05,29
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18065,1,Henry County,143,0.002306760501979555,0.0008778350761255951,0.0007609235939294944,-0.00023841914424483292,0.0023049128714928337,0.0008814968256003971,0.0007597051383597878,-0.0002495784935760695,-1.8476304867211246e-06,-0.08009632925202181,1.2184555697066207e-06,33
OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18067,1,Howard County,143,0.00167263712664592,0.00046152580176434,0.0004000732389131077,-0.00021868289655418768,0.0016868524923248057,0.0004675596227579286,0.00040690240031332443,-0.0002196051581199863,1.4215365678885757e-05,0.8498774451689561,-6.829161400216731e-06,19
