domain,mode,horizon,comparison,population,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,counties,replicates,seed,ci_low,ci_high,bootstrap_fraction_delta_lt0,bootstrap_fraction_delta_eq0
OSI,v18_rule,osi_target_t01h,F1_minus_F0,all_counties,34177,0.011101490712958732,0.0033403611996247746,4.212079293697739,-0.00011626380690964074,0.01102623235674826,0.0033442907211551974,4.155164470087423,-7.7000009696329e-05,-7.52583562104725e-05,-0.6779121665401511,0.05691482361031586,17311,239,2000,20260910,-0.00019319764032495868,2.6136358541142083e-05,0.8255,0.0
OSI,v18_rule,osi_target_t01h,F1_minus_F0,exclude_Morrow,34034,0.011057154857568498,0.003309843196544018,4.161019763405026,-9.292135926977055e-05,0.010990560527997288,0.0033155942253384222,4.111049246769915,-6.01347622853316e-05,-6.659432957121028e-05,-0.6022736447941379,0.04997051663511076,17168,238,2000,20260910,-0.00018659958885235638,3.622413157491437e-05,0.736,0.0
OSI,v18_rule,osi_target_t01h,F2_minus_F0,all_counties,34177,0.011101490712958732,0.0033403611996247746,4.212079293697739,-0.00011626380690964074,0.010991492021847564,0.003301564170419752,4.129022376200856,-0.0001044015937602557,-0.00010999869111116833,-0.990846130085643,0.08305691749688293,17310,239,2000,20260910,-0.00017764437366739783,-3.197520091700436e-05,0.998,0.0
OSI,v18_rule,osi_target_t01h,F2_minus_F0,exclude_Morrow,34034,0.011057154857568498,0.003309843196544018,4.161019763405026,-9.292135926977055e-05,0.010952866688407207,0.0032738798937927117,4.082898635412286,-8.106113492683743e-05,-0.00010428816916129187,-0.9431736328618712,0.07812112799274029,17167,238,2000,20260910,-0.00017449030990575207,-2.857435211063573e-05,0.9975,0.0
P,raw,osi_target_t01h,F1_minus_F0,all_counties,34177,0.018300833411434417,0.005417962454181663,11.446578049933418,-1.733629975472648e-05,0.018267665291731735,0.005513217855611307,11.405124481517472,0.0002181726581680038,-3.316811970268188e-05,-0.18123830186858036,0.04145356841594605,32639,239,2000,20260910,-0.00048823052638556185,0.00044987811034857676,0.503,0.0
P,raw,osi_target_t01h,F1_minus_F0,exclude_Morrow,34034,0.018049983754038913,0.0053218058968026675,11.088342324776054,-8.814943976231146e-05,0.01792026307344075,0.005401020699146073,10.929536791298144,0.00010931751460457354,-0.00012972068059816447,-0.7186747775833169,0.15880553347790993,32496,238,2000,20260910,-0.0005469192623136958,0.0002652259043603361,0.6415,0.0
P,raw,osi_target_t01h,F2_minus_F0,all_counties,34177,0.018300833411434417,0.005417962454181663,11.446578049933418,-1.733629975472648e-05,0.017861487700620824,0.005219315121071696,10.903582053390243,2.7250338117868578e-05,-0.0004393457108135927,-2.4006869028111444,0.5429959965431745,32628,239,2000,20260910,-0.0008004115269749109,-2.6286384516739767e-05,0.9805,0.0
P,raw,osi_target_t01h,F2_minus_F0,exclude_Morrow,34034,0.018049983754038913,0.0053218058968026675,11.088342324776054,-8.814943976231146e-05,0.017628131142717916,0.00512931857369616,10.57609979214317,-4.2923620168517765e-05,-0.00042185261132099763,-2.337135684272307,0.5122425326328841,32485,238,2000,20260910,-0.000790963237495628,4.129436885492495e-06,0.9735,0.0
P,aligned,osi_target_t01h,F1_minus_F0,all_counties,34177,0.017743635207965833,0.0052621054643028605,10.760170149874025,3.485601429963956e-05,0.017591030478503616,0.005281023348911423,10.575879662585198,0.0001280853124868687,-0.00015260472946221695,-0.8600533525041532,0.1842904872888269,32639,239,2000,20260910,-0.0004314496102544533,8.528203712465734e-05,0.715,0.0
P,aligned,osi_target_t01h,F1_minus_F0,exclude_Morrow,34034,0.01769572873148683,0.005215666402854751,10.657366441226033,3.5206382067006174e-05,0.017536707237401576,0.0052336295747281315,10.466683652256147,0.00011229383801345723,-0.00015902149408525412,-0.8986433760272305,0.19068278896988566,32496,238,2000,20260910,-0.00044208518108542795,8.225148283269713e-05,0.734,0.0
P,aligned,osi_target_t01h,F2_minus_F0,all_counties,34177,0.017743635207965833,0.0052621054643028605,10.760170149874025,3.485601429963956e-05,0.01749044167001514,0.005172721136872373,10.455275745931624,6.28962925738371e-05,-0.0002531935379506932,-1.4269541443064804,0.3048944039424004,32628,239,2000,20260910,-0.0004133834467630909,-6.545568501841206e-05,0.9975,0.0
P,aligned,osi_target_t01h,F2_minus_F0,exclude_Morrow,34034,0.01769572873148683,0.005215666402854751,10.657366441226033,3.5206382067006174e-05,0.01744942084559869,0.005131799397786491,10.36275018457847,6.330677497684262e-05,-0.0002463078858881418,-1.3919058639832893,0.2946162566475632,32485,238,2000,20260910,-0.00041459865262075715,-6.178919478443458e-05,0.997,0.0
OSI,v18_rule,osi_target_t06h,F1_minus_F0,all_counties,32982,0.010146817077991867,0.003209012306934363,3.3957573527268483,-9.55936733092431e-05,0.010124254873295465,0.0032165184456574955,3.3806727027404397,-6.567698737202876e-05,-2.2562204696402466e-05,-0.22235745971354026,0.015084649986408571,16454,239,2000,20260910,-8.566173519613907e-05,3.4123753414320154e-05,0.6915,0.0
OSI,v18_rule,osi_target_t06h,F1_minus_F0,exclude_Morrow,32844,0.010107730331595097,0.0031830618645876402,3.3555470819129942,-7.803462694331232e-05,0.010087408723812249,0.003190253359032938,3.34206798001828,-5.265849552086898e-05,-2.0321607782848583e-05,-0.20105015781165525,0.01347910189471424,16316,238,2000,20260910,-8.651787251858856e-05,3.644619771909443e-05,0.667,0.0
