domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18009,1,Blackford County,143,0.0059461257980235206,0.003486191612752256,0.005055966916846682,0.0018711301163226418,0.006289690331681626,0.003653125425087082,0.005657109238988254,0.001955952482304253,0.00034356453365810575,5.777956022597208,-0.0006011423221415719,74,-0.010562139773242114
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18013,1,Brown County,143,0.028843485690798084,0.012966334330537637,0.11896837335172415,-0.008915706506868104,0.02893711554084355,0.012980652305464168,0.11974200178285048,-0.008956908512216985,9.36298500454659e-05,0.32461350562542624,-0.0007736284311263275,92,-0.013592740556014173
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18023,1,Clinton County,143,0.001859751687062818,0.0007535821914909488,0.0004945907162672187,0.0007043875387518195,0.0018627848131798923,0.0007450390852693468,0.0004962053182105514,0.0006958444325302176,3.033126117074191e-06,0.1630930697992472,-1.6146019433327862e-06,34,-2.8368741935978705e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18025,1,Crawford County,143,0.011993908425578542,0.002184827404572575,0.020571099022926444,-0.0013826185781196773,0.01196744069802881,0.0021804944594339872,0.02048040807109959,-0.001376027729725926,-2.646772754973277e-05,-0.2206764184832899,9.069095182685435e-05,48,0.00159345045937061
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18027,1,Daviess County,143,0.003030777119222342,0.0012431797833830003,0.0013135422223354402,0.0012135893281933292,0.003060203373722834,0.0012432085920920924,0.00133917279046188,0.0012169294138127244,2.9426254500491793e-05,0.9709144995802887,-2.5630568126439783e-05,39,-0.0004503320312811163
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18029,1,Dearborn County,143,0.0013694611856816502,0.0004524058123252966,0.0002681856232896685,-1.3293727145553124e-05,0.0014410367166437339,0.0004656420426838104,0.0002969519150762955,-2.5802230617367205e-05,7.15755309620837e-05,5.226546886500971,-2.876629178662698e-05,25,-0.0005054270568171152
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18033,1,DeKalb County,143,0.0033140517092979083,0.0013054383895069687,0.0015705602386617556,-0.0009933446375546872,0.003298231869326425,0.0013085567844743984,0.0015556016853291892,-0.0009780478925652623,-1.5819839971483243e-05,-0.4773564614908965,1.4958553332566427e-05,46,0.00026282350332814335
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18035,1,Delaware County,143,0.0019687881612673597,0.0009423011874407864,0.0005542861358243511,-0.0005968106291206536,0.0019140362758257024,0.0008841354878368041,0.0005238854857202716,-0.0005549755533906527,-5.4751885441657296e-05,-2.780994244013135,3.040065010407949e-05,62,0.0005341429205197357
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18037,1,Dubois County,143,0.002825015879913677,0.0011706674337306057,0.0011412422052123159,0.000819618482681655,0.002900245253814544,0.0012104698299546229,0.0012028334221151518,0.0008594208789056718,7.52293739008673e-05,2.66297171763743,-6.159121690283592e-05,30,-0.001082164768260354
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18039,1,Elkhart County,143,0.0018511904435158605,0.0013964427687825614,0.0004900475663175161,0.0013479601118326038,0.0018019102171496085,0.0013397569714746363,0.0004643039015855454,0.0012909593475172157,-4.9280226366251985e-05,-2.662083014681993,2.5743664731970694e-05,98,0.0004523191516542771
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18041,1,Fayette County,143,0.00510870379641257,0.0019631840543495767,0.003732136190565669,-0.0015530838407491559,0.005160320034594403,0.0020213432448829157,0.003807933108899403,-0.0015541238602186395,5.161623818183362e-05,1.0103587962582594,-7.579691833373365e-05,55,-0.0013317605770458009
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18043,1,Floyd County,143,0.002227232281710472,0.0009250915504986767,0.0007093606000471326,0.0005292807508862153,0.0022146769575004926,0.0009162732306001191,0.0007013855457299604,0.0005064597587758742,-1.2555324209979207e-05,-0.5637186706155761,7.975054317172197e-06,32,0.0001401226220391338
