candidate,kind,outer_fold,feature,group,gain,gain_fraction,split_count
F1,a,0,last_osi,original_163,11.803261120803654,0.001216501201329445,44
F1,a,0,last_P_t,original_163,4.47924392297864,0.0004616525515772138,30
F1,a,0,last_N_t,original_163,8.040648345835507,0.0008287081232945319,37
F1,a,0,last_D_t,original_163,7.69754645973444,0.0007933463828103962,38
F1,a,0,last_R_t,original_163,13.107162291184068,0.0013508875648901829,40
F1,a,0,last_outage_pct,original_163,1.6275699008256197,0.00016774522899542553,7
F1,a,0,osi_mean_72h,original_163,2.4445401318371296,0.0002519461339236584,13
F1,a,0,osi_max_72h,original_163,3.646036935970187,0.00037577820801419886,24
F1,a,0,osi_std_72h,original_163,2.7797182239592075,0.00028649120986094795,11
F1,a,0,outage_pct_mean_72h,original_163,1.6970164887607098,0.00017490273036615823,10
F1,a,0,outage_pct_max_72h,original_163,18.40563029423356,0.001896973313984961,24
F1,a,0,N_t_mean_72h,original_163,6.184362882748246,0.0006373903618094514,15
F1,a,0,N_t_max_72h,original_163,1.7429039282724261,0.00017963211190915796,19
F1,a,0,R_t_mean_72h,original_163,6.001617012545466,0.0006185556882082848,24
F1,a,0,R_t_max_72h,original_163,15.894002524204552,0.0016381128034649117,31
F1,a,0,pre_event_mean_osi,original_163,16.46495117433369,0.0016969575338890602,47
F1,a,0,pre_event_max_outage_pct,original_163,15.47569022141397,0.0015949995135302582,31
F1,a,0,storm_onset_max_osi,original_163,5.537384097464383,0.0005707095977835431,53
F1,a,0,storm_onset_mean_osi,original_163,4.574739521369338,0.00047149479000394863,16
F1,a,0,osi_trend_last6h,original_163,11.267600453458726,0.0011612934211523622,45
F1,a,0,is_worsening,original_163,0.0,0.0,0
F1,a,0,frac_zero_72h,original_163,48.15990065783262,0.0049635923840487825,107
F1,a,0,hours_since_peak,original_163,1.4491718262434006,0.0001493586602477748,13
F1,a,0,gust_mean_obs,original_163,2.910522198304534,0.00029997250035356405,16
F1,a,0,gust_max_obs,original_163,30.08031893055886,0.0031002232129645705,50
F1,a,0,gust_gt30_obs,original_163,12.69189954828471,0.001308088577353251,28
F1,a,0,gust_gt40_obs,original_163,2.406528305262327,0.000248028451156184,9
F1,a,0,cumul_gust_obs,original_163,0.775518998503685,7.992874034369459e-05,2
F1,a,0,gust_last_obs,original_163,106.31310237105936,0.010957142727572583,81
F1,a,0,gust_max_last6h_obs,original_163,54.71107292920351,0.005638787896261276,49
F1,a,0,gust_trend_last6h_obs,original_163,7.02344880066812,0.0007238706164374746,33
F1,a,0,gust_t,original_163,0.7760431990027428,7.998276698347784e-05,18
F1,a,0,wind_speed_t,original_163,3.687552521005273,0.0003800570050815671,27
F1,a,0,wind_sin_t,original_163,10.325311199761927,0.0010641765313886005,28
F1,a,0,wind_cos_t,original_163,3.4264309839345515,0.00035314455603139346,39
F1,a,0,t2m_t,original_163,3.3204216584563255,0.0003422187220202244,16
F1,a,0,d2m_t,original_163,3.3519690418615937,0.00034547014799636143,38
F1,a,0,tp_t,original_163,0.0699076009914279,7.205015606936026e-06,4
F1,a,0,rain_t,original_163,0.2951928973197937,3.042400829212513e-05,3
F1,a,0,csnow_t,original_163,0.0,0.0,0
F1,a,0,sdwe_t,original_163,1.5340343099087477,0.00015810499842246276,13
F1,a,0,r2_t,original_163,2.3308032946661115,0.0002402238651677729,42
F1,a,0,vpd_t,original_163,2.815259790048003,0.0002901542956303498,23
F1,a,0,soil_moist_t,original_163,9.00471353251487,0.0009280693460745875,79
F1,a,0,blh_t,original_163,24.17962065897882,0.002492068698496712,46
F1,a,0,tcc_t,original_163,0.5447390144690871,5.614343855738934e-05,11
F1,a,0,lcc_t,original_163,1.5418859254568815,0.0001589142239109887,12
F1,a,0,mcc_t,original_163,3.315713245421648,0.00034173345019115805,13
F1,a,0,hcc_t,original_163,16.605731706134975,0.0017114670566647791,16
F1,a,0,sp_t,original_163,18.472330081276596,0.0019038477167653298,76
F1,a,0,mslma_t,original_163,82.7621850008145,0.008529871232001138,46
F1,a,0,sdswrf_t,original_163,3.0647875843569636,0.000315871837455034,7
F1,a,0,direct_rad_t,original_163,1.3824277240782976,0.00014247969013650655,12
F1,a,0,diffuse_rad_t,original_163,3.2996350191533566,0.00034007635039725876,15
F1,a,0,et0_t,original_163,0.38466380443423986,3.964531288538895e-05,11
F1,a,0,temp_c_t,original_163,4.423740891739726,0.00045593214062565406,9
F1,a,0,dewpoint_c_t,original_163,20.96422434411943,0.0021606743965539624,27
F1,a,0,icing_risk_t,original_163,0.0,0.0,0
F1,a,0,gust_exceed_30,original_163,3.4399048825725913,0.0003545332412186488,26
F1,a,0,soil_moist_x_gust,original_163,7.838787780143321,0.0008079033966895454,33
F1,a,0,is_snowing,original_163,0.0,0.0,0
F1,a,0,gust_x_hso,original_163,1328.240341514349,0.13689487630317052,54
F1,a,0,gust_x_phase,original_163,48.57390715740621,0.005006261897070212,13
F1,a,0,soil_gust_x_phase,original_163,735.9709651982412,0.07585272867760569,20
F1,a,0,gust_exceed30_x_hso,original_163,1.5681836055591702,0.00016162459006396877,21
F1,a,0,gust_max_next_1h,original_163,9.640139043331146,0.0009935593737332102,22
F1,a,0,gust_mean_next_1h,original_163,7.4612591890618205,0.0007689934734161045,22
F1,a,0,wind_speed_max_next_1h,original_163,4.255290396511555,0.0004385708175377126,24
F1,a,0,total_tp_next_1h,original_163,0.28434979915618896,2.9306466130924502e-05,5
F1,a,0,min_t2m_next_1h,original_163,4.793934540823102,0.0004940860892865641,21
F1,a,0,gust_gt30_next_1h,original_163,0.027988200075924397,2.884599321063963e-06,2
F1,a,0,gust_gt40_next_1h,original_163,0.3028475046157837,3.121292915695837e-05,2
F1,a,0,gust_peak4h_mean_next_1h,original_163,0.31661579106003046,3.2631955375920275e-05,5
F1,a,0,gust_max_next_6h,original_163,9.010398350656033,0.0009286552509382759,49
F1,a,0,gust_mean_next_6h,original_163,7.4450163105502725,0.0007673194037653435,41
F1,a,0,wind_speed_max_next_6h,original_163,2.3180679231882095,0.00023891129616301384,25
F1,a,0,total_tp_next_6h,original_163,3.2604428296908736,0.0003360370137193801,32
F1,a,0,min_t2m_next_6h,original_163,9.456983445212245,0.0009746824715905347,24
F1,a,0,gust_gt30_next_6h,original_163,0.4997592270374298,5.150760402944588e-05,8
F1,a,0,gust_gt40_next_6h,original_163,0.7667358033359051,7.902350175210883e-05,10
F1,a,0,gust_peak4h_mean_next_6h,original_163,3.335379371419549,0.0003437603362912864,25
F1,a,0,gust_max_next_24h,original_163,5.887375089339912,0.0006067813628418151,41
F1,a,0,gust_mean_next_24h,original_163,16.34559736214578,0.0016846563525101332,49
F1,a,0,wind_speed_max_next_24h,original_163,4.9596227975562215,0.0005111627227100817,36
F1,a,0,total_tp_next_24h,original_163,4.741687534376979,0.000488701260004464,37
F1,a,0,min_t2m_next_24h,original_163,88.91950055491179,0.009164473965251002,93
F1,a,0,gust_gt30_next_24h,original_163,3.1927835792303085,0.0003290637239968256,15
F1,a,0,gust_gt40_next_24h,original_163,0.43183169327676296,4.450666373189095e-05,7
F1,a,0,gust_peak4h_mean_next_24h,original_163,3.0551257096230984,0.00031487603789586593,18
F1,a,0,gust_max_next_48h,original_163,4.42852174770087,0.0004564248787732381,29
F1,a,0,gust_mean_next_48h,original_163,32.056131043471396,0.0033038599693117616,60
F1,a,0,wind_speed_max_next_48h,original_163,2.6249467451125383,0.00027053971238736766,29
F1,a,0,total_tp_next_48h,original_163,29.84657270554453,0.0030761321960307017,81
F1,a,0,min_t2m_next_48h,original_163,12.449207564815879,0.0012830755672689025,51
F1,a,0,gust_gt30_next_48h,original_163,3.894854901358485,0.00040142259143580394,30
F1,a,0,gust_gt40_next_48h,original_163,2.8896547704935074,0.0002978218022760618,17
F1,a,0,gust_peak4h_mean_next_48h,original_163,6.325249286368489,0.0006519107962470944,36
F1,a,0,gust_change_1h,original_163,1.52059312351048,0.00015671968471691692,16
F1,a,0,gust_change_3h,original_163,2.082637295126915,0.00021464667650112075,35
F1,a,0,pressure_change_3h,original_163,1.8256550952792168,0.0001881608475733843,15
F1,a,0,pressure_change_6h,original_163,167.41572291217744,0.01725467444629697,53
F1,a,0,temp_change_6h,original_163,8.597796685062349,0.000886130526904121,33
F1,a,0,wind_change_1h,original_163,1.2952184230089188,0.00013349147760505513,18
F1,a,0,cumul_gust_since_onset,original_163,21.171613233163953,0.002182048898912499,108
F1,a,0,cumul_tp_since_onset,original_163,13.959354844875634,0.00143871865281745,65
F1,a,0,gust_gt30_since_onset,original_163,153.84022542834282,0.01585551799040682,74
F1,a,0,gust_at_t1h,original_163,1.7441807808354497,0.0001797637105123695,17
F1,a,0,wind_speed_at_t1h,original_163,4.6585380379110575,0.0004801314705788579,33
F1,a,0,t2m_at_t1h,original_163,1.781102386303246,0.0001835690298175081,21
F1,a,0,tp_at_t1h,original_163,0.14516299962997437,1.4961201114766658e-05,1
