domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
OSI,v18_rule,osi_target_t01h,F1_minus_F0,p_bin,0.01<=p<0.1,61,,8723,0.008656534916440693,0.0034459309805477843,0.6536632105336146,0.0006994665051663136,0.008703697793244154,0.0034664420878295,0.6608052410736223,0.0007307294004247243,4.716287680346133e-05,0.5448239654632259,-0.007142030540007616,5592
OSI,v18_rule,osi_target_t01h,F1_minus_F0,p_bin,0.1<=p<0.5,36,,5148,0.020534419059414194,0.0074839839891692175,2.1707178607220943,-0.0005937707182702434,0.02022004185412871,0.007437712505638267,2.104760276615826,-0.00043324177421544366,-0.00031437720528548416,-1.530976865602418,0.06595758410626829,3493
OSI,v18_rule,osi_target_t01h,F1_minus_F0,p_bin,0.5<=p<=1,2,,286,0.014700531111390792,0.007872631981689185,0.06180620587769302,-0.0039247588691292655,0.014298274194170893,0.008060764107508459,0.05847002445046427,-0.0036635386742802957,-0.00040225691721989913,-2.7363427496045256,0.003336181427228746,259
OSI,v18_rule,osi_target_t01h,F1_minus_F0,p_bin,0<p<0.01,87,,12441,0.007225937658079696,0.002011716427644611,0.6495965516534097,-0.00022471810614085663,0.007255877008250245,0.0020193399073966667,0.6549906721673091,-0.00022007489802930677,2.9939350170549335e-05,0.4143316976596534,-0.005394120513899425,5266
OSI,v18_rule,osi_target_t01h,F1_minus_F0,p_bin,p=0,53,,7579,0.009446311964236617,0.0024142739644972626,0.6762954649109276,-0.00040903335540202736,0.009445213973135358,0.002420203106358267,0.6761382557802021,-0.0003944754414049919,-1.0979911012586052e-06,-0.011623489732448533,0.00015720913072547749,2701
OSI,v18_rule,osi_target_t01h,F2_minus_F0,p_bin,0.01<=p<0.1,61,,8723,0.008656534916440693,0.0034459309805477843,0.6536632105336146,0.0006994665051663136,0.008489721545456021,0.0033786957584156308,0.6287134692527534,0.0006806294312389969,-0.00016681337098467183,-1.9270224471440223,0.02494974128086125,5594
OSI,v18_rule,osi_target_t01h,F2_minus_F0,p_bin,0.1<=p<0.5,36,,5148,0.020534419059414194,0.0074839839891692175,2.1707178607220943,-0.0005937707182702434,0.02028358919120255,0.00737282256780932,2.1180107029780104,-0.0005086049847401844,-0.0002508298682116425,-1.2215094446348496,0.052707157744083855,3485
OSI,v18_rule,osi_target_t01h,F2_minus_F0,p_bin,0.5<=p<=1,2,,286,0.014700531111390792,0.007872631981689185,0.06180620587769302,-0.0039247588691292655,0.014562754903724521,0.007793092859102497,0.06065311549038245,-0.0041149635060128645,-0.0001377762076662705,-0.9372192516195144,0.001153090387310568,259
OSI,v18_rule,osi_target_t01h,F2_minus_F0,p_bin,0<p<0.01,87,,12441,0.007225937658079696,0.002011716427644611,0.6495965516534097,-0.00022471810614085663,0.007231639467749613,0.002007683422499894,0.6506221174398246,-0.00021473301895194645,5.701809669917367e-06,0.07890754030437375,-0.0010255657864148837,5262
OSI,v18_rule,osi_target_t01h,F2_minus_F0,p_bin,p=0,53,,7579,0.009446311964236617,0.0024142739644972626,0.6762954649109276,-0.00040903335540202736,0.009409417531498963,0.002401832821700678,0.6710229710398845,-0.00040092258684506067,-3.689443273765386e-05,-0.39056970463535734,0.005272493871043116,2710
OSI,v18_rule,osi_target_t01h,F2_minus_F1,p_bin,0.01<=p<0.1,61,,8723,0.008703697793244154,0.0034664420878295,0.6608052410736223,0.0007307294004247243,0.008489721545456021,0.0033786957584156308,0.6287134692527534,0.0006806294312389969,-0.00021397624778813316,-2.4584521759730915,0.032091771820868864,5607
OSI,v18_rule,osi_target_t01h,F2_minus_F1,p_bin,0.1<=p<0.5,36,,5148,0.02022004185412871,0.007437712505638267,2.104760276615826,-0.00043324177421544366,0.02028358919120255,0.00737282256780932,2.1180107029780104,-0.0005086049847401844,6.354733707384166e-05,0.31427895912523596,-0.013250426362184431,3505
OSI,v18_rule,osi_target_t01h,F2_minus_F1,p_bin,0.5<=p<=1,2,,286,0.014298274194170893,0.008060764107508459,0.05847002445046427,-0.0036635386742802957,0.014562754903724521,0.007793092859102497,0.06065311549038245,-0.0041149635060128645,0.0002644807095536286,1.84973868847369,-0.002183091039918178,258
OSI,v18_rule,osi_target_t01h,F2_minus_F1,p_bin,0<p<0.01,87,,12441,0.007255877008250245,0.0020193399073966667,0.6549906721673091,-0.00022007489802930677,0.007231639467749613,0.002007683422499894,0.6506221174398246,-0.00021473301895194645,-2.4237540500631968e-05,-0.33404012324179666,0.0043685547274845415,5275
OSI,v18_rule,osi_target_t01h,F2_minus_F1,p_bin,p=0,53,,7579,0.009445213973135358,0.002420203106358267,0.6761382557802021,-0.0003944754414049919,0.009409417531498963,0.002401832821700678,0.6710229710398845,-0.00040092258684506067,-3.5796441636395254e-05,-0.3789902667976519,0.005115284740317638,2730
