candidate,outer_fold,kind,inner_best,requested,actual
F1,0,a,"86,300,119,104",152,152
F1,0,b,"344,228,126,101",199,199
F1,1,a,"156,80,135,142",128,128
F1,1,b,"147,225,9,150",132,132
F1,2,a,"240,52,58,34",96,96
F1,2,b,"42,80,55,235",103,103
F1,3,a,"281,67,979,29",339,339
F1,3,b,"257,219,540,311",331,331
F1,4,a,"400,107,101,43",162,162
F1,4,b,"101,121,290,197",177,177
F2,0,a,"181,215,128,97",155,155
F2,0,b,"597,175,886,89",436,436
F2,1,a,"136,90,60,95",95,95
F2,1,b,"150,424,99,183",214,214
F2,2,a,"119,135,467,35",189,189
F2,2,b,"41,301,465,247",263,263
F2,3,a,"200,53,142,29",106,106
F2,3,b,"50,306,408,495",314,314
F2,4,a,"250,124,119,48",135,135
F2,4,b,"104,171,295,380",237,237
