domain,mode,horizon,comparison,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
OSI,v18_rule,osi_target_t01h,F1_minus_F0,34177,0.011101490712958732,0.0033403611996247746,4.212079293697739,-0.00011626380690964074,0.01102623235674826,0.0033442907211551974,4.155164470087423,-7.7000009696329e-05,-7.52583562104725e-05,-0.6779121665401511,0.05691482361031586,17311
OSI,v18_rule,osi_target_t01h,F2_minus_F0,34177,0.011101490712958732,0.0033403611996247746,4.212079293697739,-0.00011626380690964074,0.010991492021847564,0.003301564170419752,4.129022376200856,-0.0001044015937602557,-0.00010999869111116833,-0.990846130085643,0.08305691749688293,17310
OSI,v18_rule,osi_target_t01h,F2_minus_F1,34177,0.01102623235674826,0.0033442907211551974,4.155164470087423,-7.7000009696329e-05,0.010991492021847564,0.003301564170419752,4.129022376200856,-0.0001044015937602557,-3.4740334900695835e-05,-0.31506986046266894,0.026142093886567075,17375
OSI,v18_rule,osi_target_t06h,F1_minus_F0,32982,0.010146817077991867,0.003209012306934363,3.3957573527268483,-9.55936733092431e-05,0.010124254873295465,0.0032165184456574955,3.3806727027404397,-6.567698737202876e-05,-2.2562204696402466e-05,-0.22235745971354026,0.015084649986408571,16454
OSI,v18_rule,osi_target_t06h,F2_minus_F0,32982,0.010146817077991867,0.003209012306934363,3.3957573527268483,-9.55936733092431e-05,0.01007974033020953,0.003177439347335253,3.351009628134694,-8.79139286335395e-05,-6.707674778233703e-05,-0.6610619592997691,0.04474772459215437,16464
OSI,v18_rule,osi_target_t06h,F2_minus_F1,32982,0.010124254873295465,0.0032165184456574955,3.3806727027404397,-6.567698737202876e-05,0.01007974033020953,0.003177439347335253,3.351009628134694,-8.79139286335395e-05,-4.451454308593457e-05,-0.4396821656806549,0.0296630746057458,16530
OSI,v18_rule,osi_target_t24h,F1_minus_F0,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t24h,F2_minus_F0,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t24h,F2_minus_F1,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t48h,F1_minus_F0,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t48h,F2_minus_F0,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t48h,F2_minus_F1,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.0,0.0,0.0,0
