domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,73,239,,239,0.009659837409867188,0.004643015407751136,0.02230167764963164,0.0003909991239967502,0.00898903677821742,0.0044554276608265745,0.01931186494583475,0.000751227710667801,-0.0006708006316497681,-6.944222797834765,0.0029898127037968902,173
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,74,239,,239,0.022480368633486295,0.006381106989373985,0.12078270676148682,-0.0006391078899146469,0.02172736129439525,0.006266015680787523,0.11282669668730716,-0.00030325726074118404,-0.0007530073390910469,-3.3496218472564676,0.007956010074179662,170
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,75,239,,239,0.029991122812670044,0.007743491060935954,0.21497271996795317,-0.0009742849702008899,0.029286036883441786,0.0077174046762096505,0.20498359756485673,-0.000692180394999834,-0.000705085929228258,-2.350982101044874,0.009989122403096434,173
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,76,239,,239,0.028962364415652482,0.007760007129541873,0.2004776340582677,-0.0009823180017441782,0.028388626173407032,0.0077202693481979836,0.1926134689472147,-0.0007449079726622837,-0.0005737382422454501,-1.9809786038579746,0.007864165111053006,172
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,77,239,,239,0.03284216104310718,0.008300332601797715,0.2577872025335514,-0.0012290857335401151,0.03200131660482982,0.008194910258437103,0.24475613920177108,-0.0009584592114995856,-0.0008408444382773592,-2.560259165569845,0.013031063331780335,169
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,78,239,,239,0.028986368113775373,0.008861133997639579,0.2008100792061232,-0.0008688748604499367,0.028522667957313754,0.008737063280957648,0.1944366783893583,-0.0007378396973930942,-0.0004637001564616189,-1.599718028286723,0.006373400816764907,176
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,79,239,,239,0.02834300609849218,0.008542919692653429,0.19199491273310043,-0.0002804388879928414,0.028155715081233285,0.008521966563398625,0.1894658857248054,-0.00019531613124250188,-0.00018729101725889485,-0.6608015275728185,0.0025290270082950206,172
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,80,239,,239,0.026329216174897727,0.008521698228497139,0.16568140222789457,-0.0004912690902937816,0.025969702167114837,0.008488424398513942,0.16118767792502714,-0.00038481458054814984,-0.00035951400778289067,-1.3654565536426855,0.00449372430286743,172
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,81,239,,239,0.024725420740944755,0.008779249544144267,0.1461117969652011,-0.0008883184756256667,0.024499642376231093,0.008747072529214481,0.1434555618986092,-0.0008592648656878298,-0.00022577836471366144,-0.913142660257249,0.0026562350665919054,171
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,82,239,,239,0.020226268765296186,0.008002367754228133,0.09777536561167306,-0.0003169942029341449,0.02020199012237778,0.008092309783767048,0.09754077677221121,-0.0002620239526406765,-2.427864291840512e-05,-0.12003520372507737,0.00023458883946185505,171
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,83,239,,239,0.019288986279082664,0.007879292821293073,0.08892353301023878,-0.00013209241123894768,0.019146904354487654,0.00792828977295485,0.0876183431800157,-7.570569676172886e-05,-0.00014208192459501043,-0.7365961203937732,0.001305189830223083,169
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,84,239,,239,0.017907355633787928,0.0074901905334403066,0.07664093920499455,-0.00022655934675789912,0.017822419965805025,0.007503525538313665,0.07591563817156863,-0.00014785398010575923,-8.493566798290289e-05,-0.4743060322242365,0.0007253010334259263,168
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,85,239,,239,0.016870782885103446,0.006941772966359935,0.06802497232235555,-0.00015468675196669723,0.01679302549241262,0.006964524632302633,0.06739936354012802,-0.00014112849603523098,-7.775739269082552e-05,-0.4608997295524664,0.0006256087822275325,161
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,86,239,,239,0.01628962031976934,0.006781839556243088,0.06341906350877588,-0.0004782669578631608,0.016246796864985147,0.00681535463845416,0.0630860596009298,-0.0004460690656969887,-4.2823454784193804e-05,-0.26288798599082286,0.0003330039078460745,154
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,87,239,,239,0.015926437015426304,0.0063641472391717776,0.06062268364551552,-0.0003016911846614612,0.01575619920024446,0.006314021709513789,0.0593336173638304,-0.00025768588502212493,-0.0001702378151818458,-1.0689008157753976,0.0012890662816851181,152
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,88,239,,239,0.012567592409107516,0.005647873500847132,0.03774870657178819,5.058593974281703e-06,0.012485853214677276,0.005558423470732186,0.03725927078913358,1.1949736189405725e-05,-8.173919443024008e-05,-0.6503966055662724,0.0004894357826546111,149
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,89,239,,239,0.01188335713462269,0.0052522791473836004,0.033750188252568133,1.9752123860421136e-05,0.011837933511298542,0.005200981382321167,0.03349266408648408,4.950773425153185e-05,-4.542362332414854e-05,-0.3822457139809776,0.0002575241660840513,144
OSI,v18_rule,osi_target_t01h,F1_minus_F0,target_hour,90,239,,239,0.011679129741944759,0.005160951322532569,0.032600095095473694,-5.0631388854082435e-05,0.011754633400215675,0.00513324017929505,0.03302296612325836,-7.32702286169725e-05,7.550365827091628e-05,0.646483598857106,-0.0004228710277846687,144
