split_seed,population,n,a_mse,b_mse,twice_cross_mean,P_mse
42,all,34177,8.916290531851098e-05,0.00021969318505164905,2.606441318291417e-05,0.00033492050355307424
42,fold0,6864,0.00010441842267073824,3.131957469781598e-05,3.5307041143624355e-06,0.00013926870148291666
42,fold1,6721,7.921370206926599e-05,0.00013011106946026594,2.2407592973174314e-05,0.0002317323645027062
42,fold2,6864,8.930883064230892e-05,0.000340155780546435,1.4134476915492973e-05,0.000443599088104237
42,fold3,6864,7.313659617000559e-05,0.0004624419330241581,8.10471302096328e-05,0.0006166256594037965
42,fold4,6864,9.95296999725436e-05,0.00013257127345474962,9.125977947538767e-06,0.00024122695137483198
20260917,all,34177,8.090244530429696e-05,0.00023048700680979104,2.384889939610129e-05,0.00033523835151018936
20260917,fold0,6864,6.818024371769163e-05,0.00020905964876290824,1.933551129769047e-05,0.0002965754037782903
20260917,fold1,6864,8.508222373527683e-05,5.583389758938475e-05,9.356906497020416e-06,0.000150273027821682
20260917,fold2,6864,9.025469940429829e-05,8.222499488558658e-05,1.0787865245573877e-05,0.0001832675595354587
20260917,fold3,6721,5.23619815992137e-05,0.00045709791293026573,6.512273150813467e-05,0.000574582626037614
20260917,fold4,6864,0.00010803848507114845,0.0003529396404249867,1.5501353934421067e-05,0.00047647947943055616
20260918,all,34177,8.937757789119297e-05,0.00019099597423240654,2.5681787838697377e-05,0.0003060553399622969
20260918,fold0,6864,4.994446805277986e-05,9.749045469829508e-05,4.218031892601126e-06,0.00015165295464367607
20260918,fold1,6721,9.760255312925008e-05,8.720989696084392e-05,8.097943624372834e-06,0.00019291039371446687
20260918,fold2,6864,0.00011992586450459706,0.0005603038849961574,8.391792277294752e-05,0.0007641476722737019
20260918,fold3,6864,9.276282016812636e-05,0.00013971379024522792,1.866539550323825e-05,0.0002511420059165925
20260918,fold4,6864,8.682353725200428e-05,6.809963431835064e-05,1.314331531252872e-05,0.00016806648688288365
