split_seed,horizon,comparison,better_counties,worse_counties,unchanged_counties,better_folds,net_sse_reduction,Morrow_fraction_pct,early_to95_fraction_pct
42,osi_target_t01h,E1_minus_E0,87,104,48,2,0.0009787565284293898,-26.46765880109871,344.1960484695048
42,osi_target_t01h,E2_minus_E0,150,89,0,5,0.40965323619657024,53.99267484660244,97.32761396645411
42,osi_target_t01h,E2_minus_E1,159,80,0,5,0.40867447966814086,54.18537363440354,96.73637545278618
42,osi_target_t06h,E1_minus_E0,86,105,48,2,0.0014849067687504331,97.98456760784816,260.95857442777566
42,osi_target_t06h,E2_minus_E0,150,89,0,5,0.19047446571217558,35.7855975889462,94.25250212454799
42,osi_target_t06h,E2_minus_E1,155,84,0,5,0.18898955894342515,35.29689508015829,92.94267857377203
20260917,osi_target_t01h,E1_minus_E0,87,105,47,2,-0.0023650138297012496,85.46545321647129,79.16276469746202
20260917,osi_target_t01h,E2_minus_E0,147,92,0,5,0.7434950285497525,30.34103533079887,102.48524266925541
20260917,osi_target_t01h,E2_minus_E1,143,96,0,5,0.7458600423794535,30.515826850985345,102.41129048008838
20260917,osi_target_t06h,E1_minus_E0,93,99,47,2,0.0030328387109111216,33.67751867577457,116.24891870641687
20260917,osi_target_t06h,E2_minus_E0,149,90,0,5,0.30622376713902383,21.8457453268783,106.03403709187704
20260917,osi_target_t06h,E2_minus_E1,143,96,0,5,0.3031909284281127,21.727391323289545,105.93185696218595
20260918,osi_target_t01h,E1_minus_E0,96,95,48,2,0.01054967796433038,-26.379506419925434,90.73800112324804
20260918,osi_target_t01h,E2_minus_E0,143,96,0,5,0.4193295712914117,41.28254860141724,95.27857231025953
20260918,osi_target_t01h,E2_minus_E1,143,96,0,5,0.40877989332708137,43.02875212691406,95.39575411048754
20260918,osi_target_t06h,E1_minus_E0,92,99,48,2,0.006908627965799315,-0.09858197073706054,85.85665548363187
20260918,osi_target_t06h,E2_minus_E0,145,94,0,5,0.16685676958772072,27.33391669473241,88.13452847065095
20260918,osi_target_t06h,E2_minus_E1,143,96,0,5,0.1599481416219214,28.518806531714677,88.23291646604171
