split_seed,domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,fold,0,48,,6864,0.006605947248240588,0.002672733160784243,0.2995349320154327,0.0001668659211109019,0.006495998526207189,0.0026613318203336424,0.28964705039546373,0.00019380006626945482,-0.00010994872203339869,-1.6643899489612535,0.009887881619968952,3580
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,fold,1,47,,6721,0.010467449862058269,0.0036413525285454666,0.7364032119574233,-0.00042342853117793524,0.010111066189592207,0.0035327203840596873,0.6871124254344049,-0.0004614544924612368,-0.00035638367246606205,-3.4046847815135783,0.04929078652301844,3309
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,fold,2,48,,6864,0.01297161952426227,0.00403156841827347,1.1549566353963723,-0.0004514762270056652,0.012653508333761113,0.003882736596129473,1.0990037789191853,-0.0006108615468146506,-0.0003181111905011559,-2.4523629443968575,0.05595285647718695,3496
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,fold,3,48,,6864,0.015842786994115662,0.0038837293617479066,1.7228221278216778,0.0005045469238415974,0.015550153609753732,0.0036887806304246097,1.659765151297536,0.00045190372710593007,-0.0002926333843619299,-1.8471079897155684,0.06305697652414177,3473
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,fold,4,48,,6864,0.010149213587633429,0.003154676609460301,0.7070368661749743,-0.0003323232760674824,0.008332321217539188,0.0029402440501855205,0.4765508876511496,-0.00016189826126335996,-0.0018168923700942405,-17.901804454170524,0.23048597852382469,3644
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18009,1,Blackford County,143,0.006305132300683593,0.0036014399407539857,0.0056849211460646715,0.001747931455543114,0.0059461257980235206,0.003486191612752256,0.005055966916846682,0.0018711301163226418,-0.0003590065026600727,-5.693877392884361,0.0006289542292179894,74
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18013,1,Brown County,143,0.029068761046036333,0.013334569077871639,0.12083398023147299,-0.008542919227232416,0.028843485690798084,0.012966334330537637,0.11896837335172415,-0.008915706506868104,-0.00022527535523824901,-0.7749740516339143,0.001865606879748835,91
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18023,1,Clinton County,143,0.0018648830251016303,0.0007643397442438763,0.0004973237837156458,0.0007178056835917629,0.001859751687062818,0.0007535821914909488,0.0004945907162672187,0.0007043875387518195,-5.131338038812236e-06,-0.27515602693271024,2.733067448427149e-06,36
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18025,1,Crawford County,143,0.012025809071662221,0.0021778322133073932,0.020680671987414495,-0.0014079499456084415,0.011993908425578542,0.002184827404572575,0.020571099022926444,-0.0013826185781196773,-3.190064608367925e-05,-0.26526819021973624,0.00010957296448805068,51
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18027,1,Daviess County,143,0.0032834244407820515,0.0013115362207974611,0.0015416652763404644,0.0012924521677548212,0.003030777119222342,0.0012431797833830003,0.0013135422223354402,0.0012135893281933292,-0.00025264732155970936,-7.694628766895983,0.0002281230540050242,39
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18029,1,Dearborn County,143,0.0014528928044230123,0.000479351635158701,0.0003018583426636156,-1.7381905039410123e-05,0.0013694611856816502,0.0004524058123252966,0.0002681856232896685,-1.3293727145553124e-05,-8.34316187413621e-05,-5.742448340811713,3.3672719373947075e-05,25
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18033,1,DeKalb County,143,0.003330154868432231,0.0013157592680527893,0.0015858601970272332,-0.0009992319819739468,0.0033140517092979083,0.0013054383895069687,0.0015705602386617556,-0.0009933446375546872,-1.6103159134322857e-05,-0.4835558636317683,1.5299958365477557e-05,46
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18035,1,Delaware County,143,0.002099629219352898,0.0010121360269811329,0.0006304073288027457,-0.0008649223107357875,0.0019687881612673597,0.0009423011874407864,0.0005542861358243511,-0.0005968106291206536,-0.00013084105808553815,-6.231626845327631,7.612119297839462e-05,61
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18037,1,Dubois County,143,0.0029844865185504367,0.0012519829849771153,0.0012737238484555307,0.0009009340339281644,0.002825015879913677,0.0011706674337306057,0.0011412422052123159,0.000819618482681655,-0.0001594706386367599,-5.343319115216327,0.00013248164324321482,30
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18039,1,Elkhart County,143,0.002034050601972945,0.0015439051127665755,0.0005916427447482694,0.0015006862649263862,0.0018511904435158605,0.0013964427687825614,0.0004900475663175161,0.0013479601118326038,-0.00018286015845708444,-8.989951296182975,0.00010159517843075336,98
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18041,1,Fayette County,143,0.005087385287932539,0.0019927605009703087,0.003701052936705759,-0.0015477137676310217,0.00510870379641257,0.0019631840543495767,0.003732136190565669,-0.0015530838407491559,2.1318508480030855e-05,0.419046470307638,-3.108325385990998e-05,53
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18043,1,Floyd County,143,0.002162120025170225,0.0009168878863352458,0.0006684911094636195,0.000525564810909374,0.002227232281710472,0.0009250915504986767,0.0007093606000471326,0.0005292807508862153,6.511225654024693e-05,3.011500554189661,-4.086949058351307e-05,35
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18045,1,Fountain County,143,0.002546973545969776,0.0010075762979344634,0.0009276516168733891,0.0009930714340163134,0.0025780653263334273,0.0010276362634033841,0.0009504381782385033,0.0010124021902076748,3.109178036365132e-05,1.2207343265441262,-2.2786561365114233e-05,35
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18047,1,Franklin County,143,0.0031289384002979323,0.0013403951650908085,0.0014000065383388345,0.0005662859853512388,0.003064798209679895,0.0012831842794577492,0.0013431972934461638,0.0004900137011554436,-6.414019061803727e-05,-2.0499026318936187,5.680924489267071e-05,45
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18051,1,Gibson County,143,0.0013312957616317838,0.00042346325704309385,0.0002534458219062414,4.044354983484087e-05,0.0013204160892377882,0.0004067712172014878,0.00024932030676667606,2.1349658294371913e-05,-1.0879672393995614e-05,-0.817224294371699,4.125515139565342e-06,26
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18059,1,Hancock County,143,0.0011598854420783152,0.0003573482834640649,0.00019238279614056485,0.00017526380892642023,0.001125452854760431,0.00033509215146189917,0.00018113011034524173,0.00013519418476139278,-3.443258731788425e-05,-2.96861966438573,1.1252685795323125e-05,25
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18061,1,Harrison County,143,0.0040043079626979694,0.0016439056622595289,0.0022929309631980694,-0.0002888900456780019,0.004045622930785725,0.0016412710549803878,0.0023404902804281965,-0.0002727285815947345,4.131496808775555e-05,1.0317630030613145,-4.755931723012712e-05,28
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18065,1,Henry County,143,0.00216236141347445,0.0009587376011473095,0.0006686403841951006,9.12907874273545e-06,0.002083767049742991,0.0007952270186764056,0.000620918171816029,-0.0001677362706883105,-7.859436373145899e-05,-3.6346543756149763,4.772221237907162e-05,47
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18067,1,Howard County,143,0.0017007266298418062,0.0005206340273358838,0.00041362336293178863,-5.779157120388981e-05,0.0016736145792989555,0.0004733310793876204,0.0004005409636860088,-0.00012911495428646202,-2.7112050542850647e-05,-1.5941451181588517,1.3082399245779809e-05,28
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18069,1,Huntington County,143,0.0010964778839832464,0.0005614687147301632,0.00017192371625920599,-0.00017566357799933294,0.0010162498266008697,0.0005114521637462244,0.00014768521053948056,-0.00016790536112828926,-8.022805738237674e-05,-7.316887878388123,2.4238505719725422e-05,39
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18071,1,Jackson County,143,0.0044172343885001235,0.0017508274753447798,0.0027902102289415723,0.0017250674934415709,0.004509003932672642,0.001801376839012811,0.0029073496544746017,0.0017826018744487668,9.17695441725189e-05,2.0775339522718816,-0.00011713942553302943,37
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18073,1,Jasper County,143,0.003645529292647473,0.0022138046882584526,0.0019004533867677622,0.0018623867259672077,0.0034408328817923006,0.0020928851858311457,0.0016930243216205048,0.0019288737998683387,-0.00020469641085517224,-5.6149983835822255,0.00020742906514725746,90
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18077,1,Jefferson County,143,0.004879004848676706,0.0014492049099946475,0.003404070428817746,-0.001038181263940194,0.004908105725248006,0.0014889782513676738,0.003444798758860352,-0.0010581519408022276,2.9100876571299707e-05,0.5964510688935443,-4.072833004260595e-05,32
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18083,1,Knox County,143,0.0034269564571052244,0.0016364508714093585,0.0016793963699220124,0.0015301571651156521,0.00324948564792519,0.001584453013849624,0.001509959447578266,0.0014781593075559177,-0.0001774708091800345,-5.178671261260948,0.00016943692234374632,41
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18085,1,Kosciusko County,143,0.004809677476135289,0.003893530562761069,0.0033080186316953677,0.0038050691885275004,0.004285489495349853,0.0036264435603333466,0.002626255090709814,0.0035343751761546583,-0.0005241879807854361,-10.898609800477432,0.0006817635409855538,143
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18087,1,LaGrange County,143,0.0021037043249268464,0.0018386268590447803,0.0006328567798003763,0.0018184257637814316,0.0020512134927906512,0.0018594616969863263,0.0006016691813999185,0.0018180927860925468,-5.249083213619511e-05,-2.495162058385769,3.118759840045778e-05,143
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18089,1,Lake County,143,0.002717265891537836,0.001949728128076265,0.0010558453513200322,0.0008608299843483895,0.002592658743612393,0.0019383141877076413,0.0009612287485986602,0.001064479604058199,-0.00012460714792544327,-4.58575468501251,9.4616602721372e-05,111
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18091,1,LaPorte County,143,0.0013936853228063604,0.0007070824079695959,0.0002777573053978393,-0.00015566011826638574,0.0014229863715731084,0.000732051905919832,0.0002895593005566405,-0.00012169500904850739,2.930104876674804e-05,2.1024149632103972,-1.1801995158801208e-05,47
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18093,1,Lawrence County,143,0.00766489245400918,0.0023899499416116486,0.00840133241540834,-0.0020309517780044634,0.007682689231908559,0.002387131513247455,0.008440391078273973,-0.0020337413087141596,1.779677789937907e-05,0.2321856178173709,-3.905866286563198e-05,37
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18095,1,Madison County,143,0.0013633945687021977,0.0006170749637311697,0.00026581479924523115,-4.487957279206859e-05,0.0013611222740942922,0.000612301926322216,0.0002649294998400933,-5.681213065395125e-05,-2.272294607905557e-06,-0.16666449024133057,8.852994051378378e-07,46
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18097,1,Marion County,143,0.0006142307479857863,0.00028886016210162677,5.395095588327853e-05,5.4618028987158734e-05,0.0006356622640800276,0.0002975173703690362,5.778151149847459e-05,7.448812690599295e-05,2.1431516094241377e-05,3.489163667647799,-3.830555615196059e-06,24
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18099,1,Marshall County,143,0.008864751515785604,0.0028686816455658257,0.011237486179437114,-0.0014557771569366357,0.008860860039028865,0.0028167206541499456,0.011227622210269983,-0.0015791930519305616,-3.8914767567389125e-06,-0.043898317395696385,9.86396916713081e-06,71
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18101,1,Martin County,143,0.003623713419878073,0.0020608378758826588,0.001877775749764835,0.0006722497155093455,0.003897931197106436,0.0022934963269506206,0.0021727230692847126,0.0008641633576020591,0.00027421777722836304,7.567314118277868,-0.0002949473195198776,95
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18103,1,Miami County,143,0.0026662202356125143,0.0013050692511839854,0.00101654843930492,0.0010770773572242559,0.0024824775118504,0.0011712659169705346,0.0008812653273485424,0.0010571548264770563,-0.00018374272376211424,-6.891505859413849,0.0001352831119563777,66
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18105,1,Monroe County,143,0.0021668165591976936,0.0007155430560301235,0.0006713984421735064,-0.0004643482927251261,0.0021291276186608614,0.0007128032207560876,0.0006482453715658593,-0.0004556144629615696,-3.768894053683214e-05,-1.7393692316430842,2.315307060764705e-05,29
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18107,1,Montgomery County,143,0.000990136940356125,0.00047905026011440594,0.00014019307597406378,0.00023883894198985733,0.0009772580113843175,0.00045811226169777613,0.0001365697505765208,0.0002044710657842089,-1.2878928971807486e-05,-1.300721995805476,3.6233253975429924e-06,37
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18109,1,Morgan County,143,0.002925241398534034,0.001177024303183474,0.0012236563252767214,0.0008833180094771803,0.0028808601430076524,0.001157630301803098,0.0011868077883905202,0.0008639240080968043,-4.438125552638176e-05,-1.5171826690482115,3.684853688620121e-05,28
42,OSI,v18_rule,osi_target_t01h,E2_minus_E1,county,18111,1,Newton County,143,0.0045124287075085385,0.0029725377909363354,0.002911767836169646,0.002659079525189402,0.004059586898270677,0.002742743970132083,0.002356675147199364,0.002426868909157355,-0.00045284180923786145,-10.035434099697726,0.000555092688970282,91
