domain,mode,horizon,comparison,population,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,counties,replicates,seed,ci_low,ci_high,bootstrap_fraction_delta_lt0,bootstrap_fraction_delta_eq0
OSI,v18_rule,osi_target_t01h,E2_minus_E1,all_counties,34177,0.01232526989373838,0.0035598390399755857,5.191905923616554,-0.00017999694671853763,0.01140564895985692,0.0033826711151431596,4.446045881237099,-0.00018897122879376848,-0.0009196209338814595,-7.461264068129292,0.745860042379455,17131,239,2000,20260910,-0.001827721794482157,-0.00025468025913170635,1.0,0.0
OSI,v18_rule,osi_target_t01h,E2_minus_E1,exclude_Morrow,34034,0.012006818244219447,0.0034952108675230017,4.906466833158403,-0.00011139171014197244,0.011355004495998033,0.003348783510550587,4.388212149862149,-0.0001650251422947047,-0.0006518137482214147,-5.42869672017583,0.518254683296254,16988,238,2000,20260910,-0.0012765205889744146,-0.00019636681733941488,1.0,0.0
OSI,v18_rule,osi_target_t01h,E2_minus_E0,all_counties,34177,0.01232246237425789,0.0035607993735830997,5.189540909786852,-0.00016964479116955803,0.01140564895985692,0.0033826711151431596,4.446045881237099,-0.00018897122879376848,-0.0009168134144009691,-7.440180270432217,0.743495028549753,17139,239,2000,20260910,-0.0018163769890627553,-0.0002527492575294886,1.0,0.0
OSI,v18_rule,osi_target_t01h,E2_minus_E0,exclude_Morrow,34034,0.012006397641710511,0.003496473192441027,4.906123089116888,-0.00010153151881047483,0.011355004495998033,0.003348783510550587,4.388212149862149,-0.0001650251422947047,-0.0006513931457124787,-5.42538374249345,0.5179109392547394,16996,238,2000,20260910,-0.0012703120337343853,-0.00019765765414368378,1.0,0.0
OSI,v18_rule,osi_target_t01h,E1_minus_E0,all_counties,34177,0.01232246237425789,0.0035607993735830997,5.189540909786852,-0.00016964479116955803,0.01232526989373838,0.0035598390399755857,5.191905923616554,-0.00017999694671853763,2.807519480490378e-06,0.022783753727306788,-0.0023650138297020007,13255,239,2000,20260910,-1.3676349037283374e-05,1.8223081073095338e-05,0.33,0.0
OSI,v18_rule,osi_target_t01h,E1_minus_E0,exclude_Morrow,34034,0.012006397641710511,0.003496473192441027,4.906123089116888,-0.00010153151881047483,0.012006818244219447,0.0034952108675230017,4.906466833158403,-0.00011139171014197244,4.2060250893607987e-07,0.003503153247863544,-0.00034374404151460425,13112,238,2000,20260910,-1.6013312443915582e-05,1.6084655319837905e-05,0.4505,0.0
P,raw,osi_target_t01h,E2_minus_E1,all_counties,34177,0.020194894764766512,0.005708382193181658,13.93853491313691,-5.952458971489282e-05,0.018309515327014785,0.005326920307427146,11.457441139563741,-1.2689065306031394e-05,-0.0018853794377517268,-9.335921081604726,2.4810937735731695,33081,239,2000,20260910,-0.0038615155899161305,-0.00030204089518576075,0.9925,0.0
P,raw,osi_target_t01h,E2_minus_E1,exclude_Morrow,34034,0.019536262016715652,0.005593881615033654,12.989604770057982,5.6640590468593914e-05,0.018051450399713943,0.0052317869079673545,11.090144357425444,-8.793460465016036e-05,-0.0014848116170017092,-7.600285129935669,1.8994604126325374,32938,238,2000,20260910,-0.003302027732322432,-9.233663973872168e-05,0.9845,0.0
P,raw,osi_target_t01h,E2_minus_E0,all_counties,34177,0.020187707336074216,0.005728440992869132,13.928615138922677,-4.769085912853557e-06,0.018309515327014785,0.005326920307427146,11.457441139563741,-1.2689065306031394e-05,-0.001878192009059431,-9.303641952958252,2.4711739993589354,33042,239,2000,20260910,-0.0038741943385917363,-0.0003061287460485208,0.9905,0.0
P,raw,osi_target_t01h,E2_minus_E0,exclude_Morrow,34034,0.01953301742904189,0.00561350525197761,12.985290494206673,0.00010765661193087805,0.018051450399713943,0.0052317869079673545,11.090144357425444,-8.793460465016036e-05,-0.001481567029327946,-7.584936811273901,1.8951461367812286,32899,238,2000,20260910,-0.0032821573658791065,-0.0001223805422358366,0.984,0.0
