population,kind,support_rows,all_rows,support_counties,raw_label_rmse,clipped_label_rmse,raw_P_contribution_rmse,clipped_P_contribution_rmse,clipped_low,clipped_high
all,direct,34177,34177,239,0.018294959263089043,0.01828522452096153,0.018294959263089043,0.01828522452096153,6671,0
all,a,26598,34177,186,0.327697617164146,0.32768024513577343,0.009454158874030488,0.009453971540637986,695,0
all,b,34177,34177,239,0.014994008824272069,0.014970536449784818,0.013842602765517674,0.01382012931315791,13607,0
fold0,direct,6864,6864,48,0.013738830802310144,0.013737358203933698,0.013738830802310144,0.013737358203933698,1053,0
fold0,a,5863,6864,41,0.33075580563728646,0.3306930296817086,0.007068334129069709,0.00706714001932747,445,0
fold0,b,6864,6864,48,0.009959504986365369,0.009940090770092338,0.009891678400165003,0.00987372547209487,2554,0
fold1,direct,6721,6721,47,0.01586636323699096,0.015842695886908034,0.01586636323699096,0.015842695886908034,1456,0
fold1,a,5148,6721,36,0.3013377076893164,0.30133664999126736,0.00987941681359214,0.009879400443814903,54,0
fold1,b,6721,6721,47,0.009608723357530337,0.009544235251460528,0.009400243723558828,0.009338623932938082,2602,0
fold2,direct,6864,6864,48,0.02766926899996687,0.02766457575344368,0.02766926899996687,0.02766457575344368,967,0
fold2,a,5005,6864,35,0.3246851620057313,0.3246851620057313,0.010951066820387732,0.010951066820387732,0,0
fold2,b,6864,6864,48,0.026668779222627285,0.026658875912834067,0.023681217934624913,0.023670739004014164,2389,0
fold3,direct,6864,6864,48,0.017252560680616733,0.01724636710026314,0.017252560680616733,0.01724636710026314,1512,0
fold3,a,5148,6864,36,0.37890242044376854,0.3789022269245979,0.009631345969052617,0.00963134570909623,5,0
fold3,b,6864,6864,48,0.012015135005407249,0.011997526322075824,0.011836969845403283,0.011820058808873494,3089,0
fold4,direct,6864,6864,48,0.012963911571182752,0.012943669956309845,0.012963911571182752,0.012943669956309845,1683,0
fold4,a,5434,6864,38,0.29741347870138346,0.2973963577375032,0.009317938240567588,0.009317914855374258,191,0
fold4,b,6864,6864,48,0.008615954922047727,0.008560334669485622,0.008295380002578885,0.008252250257860012,2973,0
