case,space,horizon,n,P_weighted_rmse,other_weighted_rmse,two_mean_P_other_product,P_other_covariance,official_truth_rounding_rmse,linear_osi_rmse,postprocessed_osi_rmse,postprocessing_mse_change
E0,raw,osi_target_t01h,34177,0.0073357752681931015,0.004279570600787588,5.392614875259795e-05,2.6961202662301937e-05,2.423938157445867e-05,0.01122762654145006,0.011229805868044099,4.894207968384563e-08
E0,aligned,osi_target_t01h,34177,0.0073595287490342,0.004289725135719231,5.517016580382355e-05,2.7583620387918944e-05,2.423938157445867e-05,0.01130218653223741,0.011304946679319743,6.239901277380424e-08
E1,raw,osi_target_t01h,34177,0.007314089808384612,0.004279570600787588,5.367124528890067e-05,2.6833442632186287e-05,2.423938157445867e-05,0.011202083716502378,0.011204763682491214,6.004958894633501e-08
E1,aligned,osi_target_t01h,34177,0.007347179814353127,0.004289725135719231,5.505149076724227e-05,2.752418329311098e-05,2.423938157445867e-05,0.011288886137712567,0.011291286096635588,5.419148583717917e-08
E2,raw,osi_target_t01h,34177,0.006997774960226107,0.004279570600787588,4.556022228541842e-05,2.2776496238458498e-05,2.423938157445867e-05,0.010623027489817782,0.010625859276603061,6.017231674704899e-08
E2,aligned,osi_target_t01h,34177,0.00688448583556777,0.004289725135719231,4.9679732132865316e-05,2.483814780232067e-05,2.423938157445867e-05,0.010746270907161978,0.010748603143167522,5.013111919480791e-08
E0,raw,osi_target_t06h,32982,0.006388407557583936,0.004055859777985826,4.5115186486423937e-05,2.2553703015679012e-05,2.415995982099207e-05,0.010118307782573395,0.010121851237145981,7.172008402828677e-08
E0,aligned,osi_target_t06h,32982,0.006297561674126402,0.004002063147000524,4.4464981844250786e-05,2.223019567058056e-05,2.415995982099207e-05,0.010007226412218273,0.01001049575133449,6.544472208690861e-08
E1,raw,osi_target_t06h,32982,0.006388407557583936,0.004055859777985826,4.5115186486423937e-05,2.2553703015679012e-05,2.415995982099207e-05,0.010118307782573395,0.010121851237145981,7.172008402828677e-08
E1,aligned,osi_target_t06h,32982,0.006288574883105065,0.004002063147000524,4.437800654453457e-05,2.2186597192062095e-05,2.415995982099207e-05,0.009997218848463807,0.010000027928479375,5.617386628752475e-08
E2,raw,osi_target_t06h,32982,0.006388407557583936,0.004055859777985826,4.5115186486423937e-05,2.2553703015679012e-05,2.415995982099207e-05,0.010118307782573395,0.010121851237145981,7.172008402828677e-08
E2,aligned,osi_target_t06h,32982,0.006109873303493845,0.004002063147000524,4.1748005028664775e-05,2.087130463825593e-05,2.415995982099207e-05,0.009751866908523326,0.009754537404413665,5.209177255299574e-08
