domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
OSI,v18_rule,osi_target_t01h,E2_minus_E1,population,exclude_Morrow,238,,34034,0.011303186095308228,0.0034124715390276986,4.348252449316531,-4.0045284012888234e-05,0.011057154857568498,0.003309843196544018,4.161019763405026,-9.292135926977055e-05,-0.00024603123773972967,-2.176653871441192,0.18723268591150521,17359
OSI,v18_rule,osi_target_t01h,E2_minus_E0,population,exclude_Morrow,238,,34034,0.011304794811298029,0.003410803695334322,4.349490259783398,-3.56774704702224e-05,0.011057154857568498,0.003309843196544018,4.161019763405026,-9.292135926977055e-05,-0.00024763995372953027,-2.1905745116403086,0.18847049637837188,17383
OSI,v18_rule,osi_target_t01h,E1_minus_E0,population,exclude_Morrow,238,,34034,0.011304794811298029,0.003410803695334322,4.349490259783398,-3.56774704702224e-05,0.011303186095308228,0.0034124715390276986,4.348252449316531,-4.0045284012888234e-05,-1.6087159898005993e-06,-0.014230386456837163,0.0012378104668666623,13515
P,raw,osi_target_t01h,E2_minus_E1,population,exclude_Morrow,238,,34034,0.01845948563420298,0.005476134885993714,11.597174324633668,0.00010846915582588453,0.018049983754038913,0.0053218058968026675,11.088342324776054,-8.814943976231146e-05,-0.00040950188016406625,-2.218381856779983,0.5088319998576143,32681
P,raw,osi_target_t01h,E2_minus_E0,population,exclude_Morrow,238,,34034,0.01845460283041834,0.005469622041329858,11.591039891799845,0.00013412682491194204,0.018049983754038913,0.0053218058968026675,11.088342324776054,-8.814943976231146e-05,-0.0004046190763794255,-2.192510346050369,0.502697567023791,32698
P,raw,osi_target_t01h,E1_minus_E0,population,exclude_Morrow,238,,34034,0.01845460283041834,0.005469622041329858,11.591039891799845,0.00013412682491194204,0.01845948563420298,0.005476134885993714,11.597174324633668,0.00010846915582588453,4.882803784640732e-06,0.026458460415046403,-0.006134432833823311,23825
P,aligned,osi_target_t01h,E2_minus_E1,population,exclude_Morrow,238,,34034,0.01822463826365265,0.005421807511512024,11.30396562754833,0.00016744932950640633,0.01769572873148683,0.005215666402854751,10.657366441226033,3.5206382067006174e-05,-0.0005289095321658194,-2.902167519125365,0.6465991863222964,32681
P,aligned,osi_target_t01h,E2_minus_E0,population,exclude_Morrow,238,,34034,0.01823043232382325,0.005420474027747644,11.311154386791245,0.00017887118252232217,0.01769572873148683,0.005215666402854751,10.657366441226033,3.5206382067006174e-05,-0.0005347035923364205,-2.9330274940198686,0.6537879455652114,32698
P,aligned,osi_target_t01h,E1_minus_E0,population,exclude_Morrow,238,,34034,0.01823043232382325,0.005420474027747644,11.311154386791245,0.00017887118252232217,0.01822463826365265,0.005421807511512024,11.30396562754833,0.00016744932950640633,-5.794060170601079e-06,-0.03178235199079449,0.007188759242914955,23825
OSI,v18_rule,osi_target_t06h,E2_minus_E1,population,exclude_Morrow,238,,32844,0.010290254186267278,0.003250731750987096,3.4778291945237045,-4.5136915375811564e-05,0.010107730331595097,0.0031830618645876402,3.3555470819129942,-7.803462694331232e-05,-0.00018252385467218066,-1.773754577566855,0.12228211261071031,16482
OSI,v18_rule,osi_target_t06h,E2_minus_E0,population,exclude_Morrow,238,,32844,0.01029029846083658,0.0032491108414723466,3.4778591218157153,-4.324207989892578e-05,0.010107730331595097,0.0031830618645876402,3.3555470819129942,-7.803462694331232e-05,-0.0001825681292414831,-1.7741772013349477,0.1223120399027211,16509
OSI,v18_rule,osi_target_t06h,E1_minus_E0,population,exclude_Morrow,238,,32844,0.01029029846083658,0.0032491108414723466,3.4778591218157153,-4.324207989892578e-05,0.010290254186267278,0.003250731750987096,3.4778291945237045,-4.5136915375811564e-05,-4.427456930244933e-08,-0.0004302554437174422,2.9927292010789586e-05,12826
OSI,v18_rule,osi_target_t24h,E2_minus_E1,population,exclude_Morrow,238,,28560,0.008483140500670705,0.002797888445389818,2.055282493857656,-7.090460255638494e-05,0.008483140500670705,0.002797888445389818,2.055282493857656,-7.090460255638494e-05,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t24h,E2_minus_E0,population,exclude_Morrow,238,,28560,0.008483140500670705,0.002797888445389818,2.055282493857656,-7.090460255638494e-05,0.008483140500670705,0.002797888445389818,2.055282493857656,-7.090460255638494e-05,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t24h,E1_minus_E0,population,exclude_Morrow,238,,28560,0.008483140500670705,0.002797888445389818,2.055282493857656,-7.090460255638494e-05,0.008483140500670705,0.002797888445389818,2.055282493857656,-7.090460255638494e-05,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t48h,E2_minus_E1,population,exclude_Morrow,238,,22848,0.007695359111383732,0.0022229034971860064,1.3530254727409226,-0.0001369359642800477,0.007695359111383732,0.0022229034971860064,1.3530254727409226,-0.0001369359642800477,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t48h,E2_minus_E0,population,exclude_Morrow,238,,22848,0.007695359111383732,0.0022229034971860064,1.3530254727409226,-0.0001369359642800477,0.007695359111383732,0.0022229034971860064,1.3530254727409226,-0.0001369359642800477,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t48h,E1_minus_E0,population,exclude_Morrow,238,,22848,0.007695359111383732,0.0022229034971860064,1.3530254727409226,-0.0001369359642800477,0.007695359111383732,0.0022229034971860064,1.3530254727409226,-0.0001369359642800477,0.0,0.0,0.0,0
