outer_fold,kind,inner_best,requested,actual,weight_mean_min,weight_mean_max
0,a,"60,247,97,66",117,117,0.010857478494929452,0.016786386534640076
0,b,"158,313,195,98",191,191,0.9204651599909434,0.9243763103631262
0,direct,"188,187,130,417",230,230,1.0,1.0
1,a,"225,175,69,83",138,138,0.012074071081176505,0.01719661854779065
1,b,"58,271,7,124",115,115,0.9186471589018724,0.9228526686056006
1,direct,"223,244,100,112",169,169,1.0,1.0
2,a,"171,60,145,36",103,103,0.011349418542867133,0.01719661854779065
2,b,"29,216,52,233",132,132,0.9174713248895636,0.9217062437520591
2,direct,"83,231,98,145",139,139,1.0,1.0
3,a,"161,56,142,28",96,96,0.010937549815432624,0.016709127889724035
3,b,"60,483,708,225",369,369,0.9174713248895636,0.9204651599909434
3,direct,"130,45,600,320",273,273,1.0,1.0
4,a,"245,77,98,45",116,116,0.010857478494929452,0.012074071081176505
4,b,"119,151,295,523",272,272,0.9201413915006307,0.9243763103631262
4,direct,"302,47,280,351",245,245,1.0,1.0
