domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
OSI,v18_rule,osi_target_t01h,E2_minus_E1,window,73-76,239,,956,0.027746368330278354,0.008279393834371656,0.7359870734766167,-0.000595007850962262,0.024171085167986432,0.006631905146900736,0.5585347384373394,-0.0005511779344657415,-0.0035752831622919215,-12.885589637294537,0.17745233503927738,706
OSI,v18_rule,osi_target_t01h,E2_minus_E1,window,77-95,239,,4541,0.020161670709758755,0.007028892544212416,1.8458845577375071,-0.00019031842590891898,0.01893439579551517,0.0064760118319570036,1.6280000137452915,-0.00026445959060949554,-0.001227274914243584,-6.087168726793813,0.21788454399221568,2954
OSI,v18_rule,osi_target_t01h,E2_minus_E1,window,96-143,239,,11472,0.010369962015395811,0.004625876514631406,1.2336542791670264,0.00013581436250658781,0.010295994944956952,0.004577686853296001,1.2161181765922757,0.00012720038098469497,-7.396707043885904e-05,-0.7132819804840485,0.01753610257475069,8983
OSI,v18_rule,osi_target_t01h,E2_minus_E1,window,144-215,239,,17208,0.0068406000370640745,0.0015052369853905145,0.80522786298473,-0.00021747350467749205,0.006858410481690167,0.0015051505165742877,0.8094263649228326,-0.000215304148831953,1.781044462609207e-05,0.26036377700187074,-0.004198501938102561,4859
OSI,v18_rule,osi_target_t01h,E2_minus_E0,window,73-76,239,,956,0.02773666780912284,0.008271952358112192,0.7354725405428715,-0.0005143081027053437,0.024171085167986432,0.006631905146900736,0.5585347384373394,-0.0005511779344657415,-0.003565582641136409,-12.855122560770106,0.17693780210553212,705
OSI,v18_rule,osi_target_t01h,E2_minus_E0,window,77-95,239,,4541,0.02018286764104311,0.007032015695361199,1.8497679319662437,-0.00018401852568490325,0.01893439579551517,0.0064760118319570036,1.6280000137452915,-0.00026445959060949554,-0.0012484718455279403,-6.185800094081262,0.2217679182209522,2961
OSI,v18_rule,osi_target_t01h,E2_minus_E0,window,96-143,239,,11472,0.01036290960254234,0.004624149465724432,1.2319768803782858,0.0001377944515607633,0.010295994944956952,0.004577686853296001,1.2161181765922757,0.00012720038098469497,-6.691465758538843e-05,-0.6457130299483915,0.015858703786010064,8996
OSI,v18_rule,osi_target_t01h,E2_minus_E0,window,144-215,239,,17208,0.006837572149458698,0.0015032831054250851,0.8045151770069081,-0.00021755648176250545,0.006858410481690167,0.0015051505165742877,0.8094263649228326,-0.000215304148831953,2.0838332231468484e-05,0.30476215498680403,-0.0049111879159244864,4864
OSI,v18_rule,osi_target_t01h,E1_minus_E0,window,73-76,239,,956,0.02773666780912284,0.008271952358112192,0.7354725405428715,-0.0005143081027053437,0.027746368330278354,0.008279393834371656,0.7359870734766167,-0.000595007850962262,9.700521155512482e-06,0.03497363570228451,-0.0005145329337452598,556
OSI,v18_rule,osi_target_t01h,E1_minus_E0,window,77-95,239,,4541,0.02018286764104311,0.007032015695361199,1.8497679319662437,-0.00018401852568490325,0.020161670709758755,0.007028892544212416,1.8458845577375071,-0.00019031842590891898,-2.119693128435629e-05,-0.10502437840522738,0.0038833742287365247,2419
OSI,v18_rule,osi_target_t01h,E1_minus_E0,window,96-143,239,,11472,0.01036290960254234,0.004624149465724432,1.2319768803782858,0.0001377944515607633,0.010369962015395811,0.004625876514631406,1.2336542791670264,0.00013581436250658781,7.052412853470608e-06,0.06805437009447246,-0.001677398788740625,7088
OSI,v18_rule,osi_target_t01h,E1_minus_E0,window,144-215,239,,17208,0.006837572149458698,0.0015032831054250851,0.8045151770069081,-0.00021755648176250545,0.0068406000370640745,0.0015052369853905145,0.80522786298473,-0.00021747350467749205,3.0278876053764156e-06,0.04428308088297861,-0.0007126859778219252,3595
P,raw,osi_target_t01h,E2_minus_E1,window,73-76,239,,956,0.04993737455539565,0.015266048234849486,2.3840167568764987,-0.0011711002065772397,0.041443228056299734,0.011558375152815976,1.641969341050505,-0.0011074722899529273,-0.008494146499095918,-17.00959767052499,0.7420474158259938,901
P,raw,osi_target_t01h,E2_minus_E1,window,77-95,239,,4541,0.031850929467613795,0.011087903537010495,4.606761435805076,-7.828376275430858e-05,0.02999261982765748,0.009933535971348098,4.084889445577948,-0.00042980703036003137,-0.001858309639956316,-5.83439689521732,0.5218719902271278,4253
P,raw,osi_target_t01h,E2_minus_E1,window,96-143,239,,11472,0.017042031794134643,0.007293849591374343,3.33182268449658,0.00030477982045228714,0.01744850417551218,0.007472753345377577,3.492653818229999,0.0002908614533953734,0.00040647238137753866,2.385116905587714,-0.16083113373341895,11234
P,raw,osi_target_t01h,E2_minus_E1,window,144-215,239,,17208,0.011072846714552161,0.0024570273262704604,2.1098373345351717,-9.536293699481011e-05,0.011376306677430694,0.002515358143096894,2.227065445074964,-5.339191515627111e-05,0.00030345996287853283,2.7405776554255024,-0.11722811053979232,16436
P,raw,osi_target_t01h,E2_minus_E0,window,73-76,239,,956,0.049891360505554434,0.015248207488649808,2.379625347559008,-0.0009786370843978907,0.041443228056299734,0.011558375152815976,1.641969341050505,-0.0011074722899529273,-0.0084481324492547,-16.933056873272,0.7376560065085032,892
P,raw,osi_target_t01h,E2_minus_E0,window,77-95,239,,4541,0.03196249506967963,0.011122061945914776,4.6390905545910766,-5.954140545826423e-05,0.02999261982765748,0.009933535971348098,4.084889445577948,-0.00042980703036003137,-0.0019698752420221517,-6.1630834442922495,0.5542011090131282,4243
P,raw,osi_target_t01h,E2_minus_E0,window,96-143,239,,11472,0.01697926256100253,0.007285797083327584,3.3073243368285823,0.0003273433953617564,0.01744850417551218,0.007472753345377577,3.492653818229999,0.0002908614533953734,0.0004692416145096502,2.763615986405621,-0.1853294814014168,11233
P,raw,osi_target_t01h,E2_minus_E0,window,144-215,239,,17208,0.011047982665383845,0.0024438113782972093,2.100372704131294,-8.426784452511297e-05,0.011376306677430694,0.002515358143096894,2.227065445074964,-5.339191515627111e-05,0.00032832401204684926,2.9718005720227314,-0.12669274094367022,16473
P,raw,osi_target_t01h,E1_minus_E0,window,73-76,239,,956,0.049891360505554434,0.015248207488649808,2.379625347559008,-0.0009786370843978907,0.04993737455539565,0.015266048234849486,2.3840167568764987,-0.0011711002065772397,4.601404984121843e-05,0.09222849281911305,-0.004391409317490602,704
P,raw,osi_target_t01h,E1_minus_E0,window,77-95,239,,4541,0.03196249506967963,0.011122061945914776,4.6390905545910766,-5.954140545826423e-05,0.031850929467613795,0.011087903537010495,4.606761435805076,-7.828376275430858e-05,-0.00011156560206583566,-0.3490516050847048,0.03232911878600042,3341
P,raw,osi_target_t01h,E1_minus_E0,window,96-143,239,,11472,0.01697926256100253,0.007285797083327584,3.3073243368285823,0.0003273433953617564,0.017042031794134643,0.007293849591374343,3.33182268449658,0.00030477982045228714,6.276923313211155e-05,0.3696817391603213,-0.024498347667997855,8646
P,raw,osi_target_t01h,E1_minus_E0,window,144-215,239,,17208,0.011047982665383845,0.0024438113782972093,2.100372704131294,-8.426784452511297e-05,0.011072846714552161,0.0024570273262704604,2.1098373345351717,-9.536293699481011e-05,2.486404916831643e-05,0.22505510663246575,-0.009464630403877905,11277
P,aligned,osi_target_t01h,E2_minus_E1,window,73-76,239,,956,0.04993737455539565,0.015266048234849486,2.3840167568764987,-0.0011711002065772397,0.041443228056299734,0.011558375152815976,1.641969341050505,-0.0011074722899529273,-0.008494146499095918,-17.00959767052499,0.7420474158259938,901
P,aligned,osi_target_t01h,E2_minus_E1,window,77-95,239,,4541,0.031532890740931005,0.011051260930766268,4.515221644295376,-4.678807078221802e-05,0.029303325124822074,0.009953950342516239,3.8992879645678413,-0.00024335499371770091,-0.0022295656161089306,-7.070603308864609,0.6159336797275343,4253
P,aligned,osi_target_t01h,E2_minus_E1,window,96-143,239,,11472,0.016937218554727476,0.007234441422999182,3.2909654398355763,0.00031366377626172265,0.01681136274517859,0.007167339722859093,3.2422386358389534,0.00029284926527773216,-0.00012585580954888737,-0.7430724775866926,0.04872680399662288,11234
P,aligned,osi_target_t01h,E2_minus_E1,window,144-215,239,,17208,0.010667281555830648,0.0023926367121789075,1.9581137347778046,-1.0752764460115977e-05,0.01071771857363152,0.002404030799708334,1.9766742084167246,-2.600090004813124e-07,5.0437017800872286e-05,0.4728197857804206,-0.018560473638919994,16436
P,aligned,osi_target_t01h,E2_minus_E0,window,73-76,239,,956,0.049891360505554434,0.015248207488649808,2.379625347559008,-0.0009786370843978907,0.041443228056299734,0.011558375152815976,1.641969341050505,-0.0011074722899529273,-0.0084481324492547,-16.933056873272,0.7376560065085032,892
P,aligned,osi_target_t01h,E2_minus_E0,window,77-95,239,,4541,0.03158861173052543,0.011064835002950319,4.531193215812037,-3.303869043266723e-05,0.029303325124822074,0.009953950342516239,3.8992879645678413,-0.00024335499371770091,-0.002285286605703353,-7.234526876959846,0.6319052512441954,4243
P,aligned,osi_target_t01h,E2_minus_E0,window,96-143,239,,11472,0.01692040788280719,0.007232142502480578,3.2844359279047066,0.00031719807341951584,0.01681136274517859,0.007167339722859093,3.2422386358389534,0.00029284926527773216,-0.00010904513762860155,-0.644459272990705,0.04219729206575318,11233
P,aligned,osi_target_t01h,E2_minus_E0,window,144-215,239,,17208,0.010661242005378083,0.002390363681065889,1.9558970915212732,-7.978991342691746e-06,0.01071771857363152,0.002404030799708334,1.9766742084167246,-2.600090004813124e-07,5.647656825343711e-05,0.5297372315997251,-0.020777116895451364,16473
P,aligned,osi_target_t01h,E1_minus_E0,window,73-76,239,,956,0.049891360505554434,0.015248207488649808,2.379625347559008,-0.0009786370843978907,0.04993737455539565,0.015266048234849486,2.3840167568764987,-0.0011711002065772397,4.601404984121843e-05,0.09222849281911305,-0.004391409317490602,704
P,aligned,osi_target_t01h,E1_minus_E0,window,77-95,239,,4541,0.03158861173052543,0.011064835002950319,4.531193215812037,-3.303869043266723e-05,0.031532890740931005,0.011051260930766268,4.515221644295376,-4.678807078221802e-05,-5.5720989594422454e-05,-0.17639581653592362,0.015971571516661065,3341
P,aligned,osi_target_t01h,E1_minus_E0,window,96-143,239,,11472,0.01692040788280719,0.007232142502480578,3.2844359279047066,0.00031719807341951584,0.016937218554727476,0.007234441422999182,3.2909654398355763,0.00031366377626172265,1.681067192028582e-05,0.0993514579360033,-0.0065295119308697025,8646
P,aligned,osi_target_t01h,E1_minus_E0,window,144-215,239,,17208,0.010661242005378083,0.002390363681065889,1.9558970915212732,-7.978991342691746e-06,0.010667281555830648,0.0023926367121789075,1.9581137347778046,-1.0752764460115977e-05,6.039550452564824e-06,0.056649595324054225,-0.00221664325653137,11277
OSI,v18_rule,osi_target_t06h,E2_minus_E1,window,77-95,239,,4302,0.01895616790409416,0.006869634579157194,1.5458647695185173,-0.000150053061491335,0.01784673639119402,0.006374660678076963,1.3702128112117402,-0.00021086924933557213,-0.00110943151290014,-5.852614929943323,0.17565195830677705,2778
OSI,v18_rule,osi_target_t06h,E2_minus_E1,window,96-143,239,,11472,0.010369962015395811,0.004625876514631406,1.2336542791670264,0.00013581436250658781,0.010295994944956952,0.004577686853296001,1.2161181765922757,0.00012720038098469497,-7.396707043885904e-05,-0.7132819804840485,0.01753610257475069,8983
OSI,v18_rule,osi_target_t06h,E2_minus_E1,window,144-215,239,,17208,0.0068406000370640745,0.0015052369853905145,0.80522786298473,-0.00021747350467749205,0.006858410481690167,0.0015051505165742877,0.8094263649228326,-0.000215304148831953,1.781044462609207e-05,0.26036377700187074,-0.004198501938102561,4859
OSI,v18_rule,osi_target_t06h,E2_minus_E0,window,77-95,239,,4302,0.018979911577261553,0.0068732057032936545,1.54973976105383,-0.0001466667159013492,0.01784673639119402,0.006374660678076963,1.3702128112117402,-0.00021086924933557213,-0.001133175186067533,-5.970392335363184,0.17952694984208972,2787
OSI,v18_rule,osi_target_t06h,E2_minus_E0,window,96-143,239,,11472,0.01036290960254234,0.004624149465724432,1.2319768803782858,0.0001377944515607633,0.010295994944956952,0.004577686853296001,1.2161181765922757,0.00012720038098469497,-6.691465758538843e-05,-0.6457130299483915,0.015858703786010064,8996
OSI,v18_rule,osi_target_t06h,E2_minus_E0,window,144-215,239,,17208,0.006837572149458698,0.0015032831054250851,0.8045151770069081,-0.00021755648176250545,0.006858410481690167,0.0015051505165742877,0.8094263649228326,-0.000215304148831953,2.0838332231468484e-05,0.30476215498680403,-0.0049111879159244864,4864
OSI,v18_rule,osi_target_t06h,E1_minus_E0,window,77-95,239,,4302,0.018979911577261553,0.0068732057032936545,1.54973976105383,-0.0001466667159013492,0.01895616790409416,0.006869634579157194,1.5458647695185173,-0.000150053061491335,-2.3743673167393037e-05,-0.12509896619243843,0.0038749915353126774,2281
OSI,v18_rule,osi_target_t06h,E1_minus_E0,window,96-143,239,,11472,0.01036290960254234,0.004624149465724432,1.2319768803782858,0.0001377944515607633,0.010369962015395811,0.004625876514631406,1.2336542791670264,0.00013581436250658781,7.052412853470608e-06,0.06805437009447246,-0.001677398788740625,7088
OSI,v18_rule,osi_target_t06h,E1_minus_E0,window,144-215,239,,17208,0.006837572149458698,0.0015032831054250851,0.8045151770069081,-0.00021755648176250545,0.0068406000370640745,0.0015052369853905145,0.80522786298473,-0.00021747350467749205,3.0278876053764156e-06,0.04428308088297861,-0.0007126859778219252,3595
OSI,v18_rule,osi_target_t24h,E2_minus_E1,window,96-143,239,,11472,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t24h,E2_minus_E1,window,144-215,239,,17208,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t24h,E2_minus_E0,window,96-143,239,,11472,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t24h,E2_minus_E0,window,144-215,239,,17208,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t24h,E1_minus_E0,window,96-143,239,,11472,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t24h,E1_minus_E0,window,144-215,239,,17208,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t48h,E2_minus_E1,window,96-143,239,,5736,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t48h,E2_minus_E1,window,144-215,239,,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t48h,E2_minus_E0,window,96-143,239,,5736,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t48h,E2_minus_E0,window,144-215,239,,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t48h,E1_minus_E0,window,96-143,239,,5736,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.0,0.0,0.0,0
OSI,v18_rule,osi_target_t48h,E1_minus_E0,window,144-215,239,,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.0,0.0,0.0,0
