case,horizon,mode,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,C0_direct_osi,34177,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.012759870025031421,0.0,0.0,0.0
B0,osi_target_t01h,C1_component_osi,34177,0.011074730688339226,0.0032574180214055004,4.191797423642255,-0.00012194784490082853,0.011074730688339226,0.0,0.0,0.0
B0,osi_target_t01h,C2_equal_blend,34177,0.011645617365623393,0.003400874152969634,4.6350985415786035,-0.00014326268845341332,0.011645617365623393,0.0,0.0,0.0
B0,osi_target_t01h,C3_aligned_component,34177,0.011086220254071273,0.0032792206496616706,4.200499561215879,-0.00015577730560863043,0.011086220254071273,0.0,0.0,0.0
B0,osi_target_t01h,v18_rule,34177,0.011086220254071273,0.0032792206496616706,4.200499561215879,-0.00015577730560863043,0.011086220254071273,0.0,0.0,0.0
B0,osi_target_t06h,C0_direct_osi,32982,0.010952654068962227,0.0034380841791316467,3.9565415367329306,-0.00015486075676127798,0.010952654068962227,0.0,0.0,0.0
B0,osi_target_t06h,C1_component_osi,32982,0.010441501793563459,0.0032603061048247697,3.595861220989944,-0.00012058184380895972,0.010441501793563459,0.0,0.0,0.0
B0,osi_target_t06h,C2_equal_blend,32982,0.010566830513043551,0.003296941105542048,3.6827010916881675,-0.0001535769007501059,0.010566830513043551,0.0,0.0,0.0
B0,osi_target_t06h,C3_aligned_component,32982,0.010108757940326897,0.003149440563669922,3.3703312084042993,-0.00014922914273692017,0.010108757940326897,0.0,0.0,0.0
B0,osi_target_t06h,v18_rule,32982,0.010108757940326897,0.003149440563669922,3.3703312084042993,-0.00014922914273692017,0.010108757940326897,0.0,0.0,0.0
B0,osi_target_t24h,C0_direct_osi,28680,0.00865942183518786,0.0029175849835404396,2.150586621385807,-0.00012945774455302454,0.00865942183518786,0.0,0.0,0.0
B0,osi_target_t24h,C1_component_osi,28680,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.008710411518259539,0.0,0.0,0.0
