split_seed,case,horizon,space,P71_group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,B0,osi_target_t01h,component_clipped,p=0,7579,0.015801984222593383,0.003830069040133475,1.8924968040074925,-0.00047086896137930396,0.015801984222593383,0.0,0.0,0.0
42,B0,osi_target_t01h,component_clipped,0<p<.01,12441,0.011914002929454506,0.003158726775266141,1.7659186580557518,-0.0002871476903313053,0.011914002929454506,0.0,0.0,0.0
42,B0,osi_target_t01h,component_clipped,.01<=p<.1,8723,0.013718099875019143,0.0051264517298555985,1.6415487824508652,0.001020011575014584,0.013718099875019143,0.0,0.0,0.0
42,B0,osi_target_t01h,component_clipped,.1<=p<.5,5148,0.031505862123289055,0.011438188630750095,5.110004404181992,-0.0004728526327843452,0.031505862123289055,0.0,0.0,0.0
42,B0,osi_target_t01h,component_clipped,.5<=p<=1,286,0.041544205317156566,0.02256253956635589,0.49361340469414117,0.005626361763222023,0.041544205317156566,0.0,0.0,0.0
42,B0,osi_target_t01h,aligned,p=0,7579,0.015210819424871198,0.003842838027578455,1.7535458599987992,-0.00029754682863678087,0.015210819424871198,0.0,0.0,0.0
42,B0,osi_target_t01h,aligned,0<p<.01,12441,0.011683469848111621,0.0031548412434276693,1.698239641552855,-0.0001530013643805243,0.011683469848111621,0.0,0.0,0.0
42,B0,osi_target_t01h,aligned,.01<=p<.1,8723,0.013377881664377334,0.0050188416327283415,1.5611354025969242,0.0009803330736394746,0.013377881664377334,0.0,0.0,0.0
42,B0,osi_target_t01h,aligned,.1<=p<.5,5148,0.031428953159886794,0.011166063306705689,5.08508678994729,-0.0009631512588561814,0.031428953159886794,0.0,0.0,0.0
42,B0,osi_target_t01h,aligned,.5<=p<=1,286,0.03679345763946033,0.019617501171808265,0.38717493816909376,0.005242575048523857,0.03679345763946033,0.0,0.0,0.0
42,B0,osi_target_t06h,component_clipped,p=0,7314,0.015775061320538034,0.004079874028217525,1.8201076214025012,-0.0004136654919375862,0.015775061320538034,0.0,0.0,0.0
42,B0,osi_target_t06h,component_clipped,0<p<.01,12006,0.012352394183462033,0.0032717054071809996,1.831895194615902,-0.00027623979103991793,0.012352394183462033,0.0,0.0,0.0
42,B0,osi_target_t06h,component_clipped,.01<=p<.1,8418,0.012784073514614904,0.004895445610178548,1.3757750849087447,0.0011399088691173911,0.012784073514614904,0.0,0.0,0.0
42,B0,osi_target_t06h,component_clipped,.1<=p<.5,4968,0.025314590866833346,0.010796426624175485,3.1836360414316465,8.700686265988364e-06,0.025314590866833346,0.0,0.0,0.0
42,B0,osi_target_t06h,component_clipped,.5<=p<=1,276,0.04235555595825761,0.021793002566522824,0.49514210126713326,0.007059762043992501,0.04235555595825761,0.0,0.0,0.0
42,B0,osi_target_t06h,aligned,p=0,7314,0.015453259594168363,0.0039274491392104335,1.7466068394679093,-0.0003617858188013854,0.015453259594168363,0.0,0.0,0.0
42,B0,osi_target_t06h,aligned,0<p<.01,12006,0.01183341050564554,0.003165471973099599,1.6811954279666375,-0.00022358251669334138,0.01183341050564554,0.0,0.0,0.0
42,B0,osi_target_t06h,aligned,.01<=p<.1,8418,0.01254929430557582,0.004661944638514379,1.325706941747068,0.0010053385614438505,0.01254929430557582,0.0,0.0,0.0
42,B0,osi_target_t06h,aligned,.1<=p<.5,4968,0.024654703876121547,0.010062180307625561,3.0198207745531978,-0.0004668859672725207,0.024654703876121547,0.0,0.0,0.0
42,B0,osi_target_t06h,aligned,.5<=p<=1,276,0.03636298173545622,0.01895998365239953,0.3649455376313019,0.004676646735373697,0.03636298173545622,0.0,0.0,0.0
42,B0,osi_target_t24h,component_clipped,p=0,6360,0.015471878031553497,0.004425016103498078,1.5224505024759827,-0.00018127263799395412,0.015471878031553497,0.0,0.0,0.0
42,B0,osi_target_t24h,component_clipped,0<p<.01,10440,0.012614773398161382,0.003447170890607934,1.6613433823398627,-0.0002739953543550755,0.012614773398161382,0.0,0.0,0.0
42,B0,osi_target_t24h,component_clipped,.01<=p<.1,7320,0.012386829927381937,0.004085479302080477,1.1231336273571566,0.0008049739554067755,0.012386829927381937,0.0,0.0,0.0
42,B0,osi_target_t24h,component_clipped,.1<=p<.5,4320,0.014852721592596976,0.006866775120785665,0.9530064232150887,0.00016856933256543722,0.014852721592596976,0.0,0.0,0.0
42,B0,osi_target_t24h,component_clipped,.5<=p<=1,240,0.01686317109813775,0.009898314909437012,0.06824796947641643,-0.003020038273807508,0.01686317109813775,0.0,0.0,0.0
42,B0,osi_target_t24h,aligned,p=0,6360,0.015730271752918162,0.004214175195954267,1.573727618315366,-0.00039450172472688317,0.015730271752918162,0.0,0.0,0.0
42,B0,osi_target_t24h,aligned,0<p<.01,10440,0.012560423372948465,0.003349546439328938,1.6470586166124934,-0.0003528389104012342,0.012560423372948465,0.0,0.0,0.0
42,B0,osi_target_t24h,aligned,.01<=p<.1,7320,0.012305047626049245,0.004012109672148964,1.1083519226207699,0.0008560825018197674,0.012305047626049245,0.0,0.0,0.0
42,B0,osi_target_t24h,aligned,.1<=p<.5,4320,0.012747113393359611,0.00640898704181226,0.7019520474088856,0.0007401045430672998,0.012747113393359611,0.0,0.0,0.0
42,B0,osi_target_t24h,aligned,.5<=p<=1,240,0.02407842248883497,0.012883935190214675,0.13914490309220007,-0.0011058999487900262,0.02407842248883497,0.0,0.0,0.0
42,B0,osi_target_t48h,component_clipped,p=0,5088,0.01578495889674735,0.0039359960949824566,1.2677511504687535,-0.0006659270758382052,0.01578495889674735,0.0,0.0,0.0
42,B0,osi_target_t48h,component_clipped,0<p<.01,8352,0.011597304138948545,0.0032184386315769614,1.1233228134087125,-6.739328737993277e-05,0.011597304138948545,0.0,0.0,0.0
42,B0,osi_target_t48h,component_clipped,.01<=p<.1,5856,0.011819436195316968,0.003306045506210644,0.8180777654865887,0.000675549432019518,0.011819436195316968,0.0,0.0,0.0
42,B0,osi_target_t48h,component_clipped,.1<=p<.5,3456,0.008954253481607003,0.003685351466003394,0.2770974331068826,0.00018540188578526834,0.008954253481607003,0.0,0.0,0.0
42,B0,osi_target_t48h,component_clipped,.5<=p<=1,192,0.007644089322720343,0.004868432856129282,0.011218963502155612,-0.003147953325415167,0.007644089322720343,0.0,0.0,0.0
42,B0,osi_target_t48h,aligned,p=0,5088,0.01570317597019333,0.0038434307349105444,1.2546485744827622,-0.0007321455077863822,0.01570317597019333,0.0,0.0,0.0
42,B0,osi_target_t48h,aligned,0<p<.01,8352,0.01192503806036217,0.0031303633420618486,1.1877089614535532,-0.0002443558055596223,0.01192503806036217,0.0,0.0,0.0
42,B0,osi_target_t48h,aligned,.01<=p<.1,5856,0.011589019331396612,0.0033495916622848392,0.7864922412357644,0.0008642130006239992,0.011589019331396612,0.0,0.0,0.0
42,B0,osi_target_t48h,aligned,.1<=p<.5,3456,0.008466041792518494,0.0038625460767357854,0.24770487271450667,0.0008849793488723852,0.008466041792518494,0.0,0.0,0.0
42,B0,osi_target_t48h,aligned,.5<=p<=1,192,0.006833630556821861,0.004418925356104039,0.008966113264728855,-0.001543215681778353,0.006833630556821861,0.0,0.0,0.0
42,NB_P24,osi_target_t01h,component_clipped,p=0,7579,0.015801984222593383,0.003830069040133475,1.8924968040074925,-0.00047086896137930396,0.015801984222593383,0.0,0.0,0.0
42,NB_P24,osi_target_t01h,component_clipped,0<p<.01,12441,0.011914002929454506,0.003158726775266141,1.7659186580557518,-0.0002871476903313053,0.011914002929454506,0.0,0.0,0.0
42,NB_P24,osi_target_t01h,component_clipped,.01<=p<.1,8723,0.013718099875019143,0.0051264517298555985,1.6415487824508652,0.001020011575014584,0.013718099875019143,0.0,0.0,0.0
42,NB_P24,osi_target_t01h,component_clipped,.1<=p<.5,5148,0.031505862123289055,0.011438188630750095,5.110004404181992,-0.0004728526327843452,0.031505862123289055,0.0,0.0,0.0
42,NB_P24,osi_target_t01h,component_clipped,.5<=p<=1,286,0.041544205317156566,0.02256253956635589,0.49361340469414117,0.005626361763222023,0.041544205317156566,0.0,0.0,0.0
42,NB_P24,osi_target_t01h,aligned,p=0,7579,0.015304049276513153,0.0038351458380468826,1.7751073319509483,-0.00031240652679850585,0.015210819424871198,9.32298516419551e-05,0.6129180094631481,-0.02156147195214908
42,NB_P24,osi_target_t01h,aligned,0<p<.01,12441,0.011640739495628527,0.0031430269516869785,1.6858402979192737,-0.00015747688684045433,0.011683469848111621,-4.27303524830943e-05,-0.36573340829908485,0.012399343633581195
42,NB_P24,osi_target_t01h,aligned,.01<=p<.1,8723,0.013363988983996523,0.005015832535476325,1.5578946662460904,0.0010235885184832244,0.013377881664377334,-1.3892680380810443e-05,-0.10384813327960485,0.0032407363508337728
42,NB_P24,osi_target_t01h,aligned,.1<=p<.5,5148,0.031324399310469535,0.011033606467235836,5.05131022364866,-0.0010099578787958095,0.031428953159886794,-0.00010455384941725904,-0.3326672984791057,0.033776566298630684
42,NB_P24,osi_target_t01h,aligned,.5<=p<=1,286,0.03673821459117053,0.01966758926584893,0.38601317364521204,0.004863862602687352,0.03679345763946033,-5.52430482897992e-05,-0.15014367182102362,0.0011617645238817254
42,NB_P24,osi_target_t06h,component_clipped,p=0,7314,0.015775061320538034,0.004079874028217525,1.8201076214025012,-0.0004136654919375862,0.015775061320538034,0.0,0.0,0.0
42,NB_P24,osi_target_t06h,component_clipped,0<p<.01,12006,0.012352394183462033,0.0032717054071809996,1.831895194615902,-0.00027623979103991793,0.012352394183462033,0.0,0.0,0.0
42,NB_P24,osi_target_t06h,component_clipped,.01<=p<.1,8418,0.012784073514614904,0.004895445610178548,1.3757750849087447,0.0011399088691173911,0.012784073514614904,0.0,0.0,0.0
42,NB_P24,osi_target_t06h,component_clipped,.1<=p<.5,4968,0.025314590866833346,0.010796426624175485,3.1836360414316465,8.700686265988364e-06,0.025314590866833346,0.0,0.0,0.0
42,NB_P24,osi_target_t06h,component_clipped,.5<=p<=1,276,0.04235555595825761,0.021793002566522824,0.49514210126713326,0.007059762043992501,0.04235555595825761,0.0,0.0,0.0
42,NB_P24,osi_target_t06h,aligned,p=0,7314,0.01554835054703218,0.003919478247159601,1.768168311420058,-0.0003771839118240424,0.015453259594168363,9.509095286381816e-05,0.6153455993174628,-0.021561471952148636
42,NB_P24,osi_target_t06h,aligned,0<p<.01,12006,0.011789692190219301,0.0031532296273103317,1.6687960843330565,-0.0002282201957641385,0.01183341050564554,-4.371831542623883e-05,-0.3694481435033592,0.012399343633580973
42,NB_P24,osi_target_t06h,aligned,.01<=p<.1,8418,0.012533946328755968,0.004658826515999609,1.3224662053962342,0.0010501612325500554,0.01254929430557582,-1.534797681985306e-05,-0.12230151310607118,0.0032407363508337728
42,NB_P24,osi_target_t06h,aligned,.1<=p<.5,4968,0.024516435252188513,0.009924924307305353,2.986044208254566,-0.0005153884792389472,0.024654703876121547,-0.00013826862393303413,-0.5608204609869549,0.03377656629863157
42,NB_P24,osi_target_t06h,aligned,.5<=p<=1,276,0.03630505679571275,0.019011886532456158,0.3637837731074203,0.004284212824108334,0.03636298173545622,-5.7924939743471404e-05,-0.15929645199307396,0.0011617645238815588
42,NB_P24,osi_target_t24h,component_clipped,p=0,6360,0.015849593163487538,0.004375151096067559,1.597693077929731,-0.00026902028491226844,0.015471878031553497,0.00037771513193404077,2.4413011217107927,-0.07524257545374824
42,NB_P24,osi_target_t24h,component_clipped,0<p<.01,10440,0.012469313662192198,0.0033890171395647714,1.6232506966720286,-0.0003067369263601537,0.012614773398161382,-0.00014545973596918373,-1.153090359834641,0.03809268566783408
42,NB_P24,osi_target_t24h,component_clipped,.01<=p<.1,7320,0.012334820553586928,0.004087835273780429,1.1137218820128747,0.0009622840679129978,0.012386829927381937,-5.2009373795009264e-05,-0.419876385644391,0.009411745344281908
42,NB_P24,osi_target_t24h,component_clipped,.1<=p<.5,4320,0.013930773902533024,0.006464812012316612,0.8383671137814992,-1.709209300835825e-05,0.014852721592596976,-0.0009219476900639515,-6.20726433412363,0.11463930943358946
42,NB_P24,osi_target_t24h,component_clipped,.5<=p<=1,240,0.018564555429867916,0.011280421842103351,0.08271425239407319,-0.004606768578721691,0.01686317109813775,0.0017013843317301644,10.089349872741638,-0.014466282917656767
42,NB_P24,osi_target_t24h,aligned,p=0,6360,0.01583766453636995,0.00420500867009581,1.595289090267515,-0.00041220953170293886,0.015730271752918162,0.00010739278345178738,0.6827141014386084,-0.02156147195214908
42,NB_P24,osi_target_t24h,aligned,0<p<.01,10440,0.012513055530702932,0.003335467741671281,1.6346592729789124,-0.0003581722413326509,0.012560423372948465,-4.736784224553328e-05,-0.37711978998693496,0.012399343633580973
42,NB_P24,osi_target_t24h,aligned,.01<=p<.1,7320,0.012287044947184994,0.004008523831256978,1.1051111862699363,0.0009076285735919025,0.012305047626049245,-1.8002678864250873e-05,-0.14630320346050718,0.0032407363508335507
42,NB_P24,osi_target_t24h,aligned,.1<=p<.5,4320,0.012436649478738366,0.00625114264144402,0.668175481110254,0.0006843266543059093,0.012747113393359611,-0.00031046391462124547,-2.4355625076888043,0.03377656629863157
42,NB_P24,osi_target_t24h,aligned,.5<=p<=1,240,0.023977692633668068,0.012943623502279799,0.13798313856831837,-0.001557198946745196,0.02407842248883497,-0.00010072985516690336,-0.4183407580526155,0.0011617645238816976
