split_seed,direction,fipsCode,countyName,stateAbbr,sse_reduction
42,worsened,54015,Clay County,WV,-0.02784622804577641
42,worsened,18121,Parke County,IN,-0.004123459066744856
42,worsened,39159,Union County,OH,-0.0028209394089564995
42,worsened,18027,Daviess County,IN,-0.002610376063805166
42,worsened,54013,Calhoun County,WV,-0.0024939872231627414
42,improved,39139,Richland County,OH,0.005563775457945768
42,improved,54109,Wyoming County,WV,0.0056517922438428896
42,improved,39157,Tuscarawas County,OH,0.0071945928734298
42,improved,18013,Brown County,IN,0.008444460479934496
42,improved,39119,Muskingum County,OH,0.008606606223275692
20260917,worsened,18121,Parke County,IN,-0.005433968260314927
20260917,worsened,39055,Geauga County,OH,-0.0022044172495861714
20260917,worsened,54013,Calhoun County,WV,-0.0021758861054220757
20260917,worsened,54069,Ohio County,WV,-0.0016159304593000405
20260917,worsened,39117,Morrow County,OH,-0.001546813118833975
20260917,improved,54103,Wetzel County,WV,0.005876480244501912
20260917,improved,54109,Wyoming County,WV,0.007040078022398793
20260917,improved,54075,Pocahontas County,WV,0.007829228393536343
20260917,improved,39157,Tuscarawas County,OH,0.00914205700620313
20260917,improved,54015,Clay County,WV,0.017432752783405503
20260918,worsened,54071,Pendleton County,WV,-0.0032528589611506807
20260918,worsened,39055,Geauga County,OH,-0.0027241003139056265
20260918,worsened,54085,Ritchie County,WV,-0.002476092636203065
20260918,worsened,18027,Daviess County,IN,-0.0023643925026148186
20260918,worsened,18131,Pulaski County,IN,-0.0018946483088278024
20260918,improved,39139,Richland County,OH,0.002442769996706999
20260918,improved,54015,Clay County,WV,0.0025953956463461436
20260918,improved,39127,Perry County,OH,0.003341353789140411
20260918,improved,18013,Brown County,IN,0.008991672589468022
20260918,improved,39119,Muskingum County,OH,0.009587678616447104
