fipsCode,latitude,longitude
18001,40.7456,-84.9366
18003,41.0908,-85.0665
18005,39.2059,-85.8977
18007,40.6063,-87.3109
18009,40.4735,-85.3248
18011,40.0508,-86.4687
18013,39.1962,-86.2274
18015,40.5829,-86.5635
18017,40.7615,-86.346
18019,38.4773,-85.7073
18021,39.3928,-87.1158
18023,40.3017,-86.4752
18025,38.2923,-86.4517
18027,38.7024,-87.0721
18029,39.1453,-84.9733
18031,39.3069,-85.5013
18033,41.3976,-84.9991
18035,40.2275,-85.3969
18037,38.3643,-86.8798
18039,41.5974,-85.8587
18041,39.6401,-85.1787
18043,38.3194,-85.9068
18045,40.1209,-87.2419
18047,39.4148,-85.0603
18049,41.047,-86.2636
18051,38.3118,-87.5846
18053,40.5158,-85.6548
18055,39.0364,-86.962
18057,40.0725,-86.052
18059,39.8235,-85.7732
18061,38.1952,-86.1113
18063,39.7695,-86.51
18065,39.931,-85.3964
18067,40.4836,-86.117
18069,40.8291,-85.4881
18071,38.9064,-86.0376
18073,41.023,-87.1162
18075,40.438,-85.0057
18077,38.7858,-85.4385
18079,38.9969,-85.6281
18081,39.4899,-86.1017
18083,38.6891,-87.418
18085,41.2441,-85.8607
18087,41.6427,-85.4265
18089,41.4156,-87.3817
18091,41.546,-86.74
18093,38.8412,-86.4834
18095,40.1617,-85.7194
18097,39.7816,-86.1384
18099,41.325,-86.2618
18101,38.708,-86.8031
18103,40.7695,-86.0451
18105,39.1609,-86.5231
18107,40.0404,-86.8933
18109,39.4815,-86.4462
18111,40.9559,-87.3975
18113,41.3986,-85.4174
18115,38.9501,-84.965
18117,38.5418,-86.4951
18119,39.3129,-86.8376
18121,39.7736,-87.2063
18123,38.0797,-86.638
18125,38.3988,-87.2322
18127,41.4605,-87.0672
18129,38.0218,-87.8684
18131,41.0419,-86.6989
18133,39.6663,-86.845
18135,40.1576,-85.0114
18137,39.1034,-85.2624
18139,39.6199,-85.4658
18141,41.6167,-86.2898
18143,38.6851,-85.7474
18145,39.5236,-85.7918
18147,38.0142,-87.0077
18149,41.281,-86.6478
18151,41.6439,-85.0008
18153,39.0888,-87.4146
18155,38.8262,-85.037
18157,40.3886,-86.8941
18159,40.3114,-86.0519
18161,39.6255,-84.9251
18163,38.0254,-87.5857
18165,39.8538,-87.464
18167,39.4306,-87.39
18169,40.8457,-85.794
18171,40.3469,-87.3533
18173,38.0922,-87.2721
18175,38.6,-86.1053
18177,39.8644,-85.0099
18179,40.7291,-85.2212
18181,40.7499,-86.8654
18183,41.1394,-85.5052
39001,38.8457,-83.472
39003,40.7715,-84.1057
39005,40.846,-82.2707
39007,41.7074,-80.7485
39009,39.3337,-82.0452
39011,40.5609,-84.2217
39013,40.0158,-80.9885
39015,38.9344,-83.868
39017,39.4386,-84.5755
39019,40.5796,-81.0897
39021,40.1377,-83.7696
39023,39.9168,-83.7835
39025,39.0476,-84.1522
39027,39.415,-83.8084
39029,40.7686,-80.7775
39031,40.3017,-81.92
39033,40.8509,-82.9197
39035,41.4243,-81.6587
39037,40.1333,-84.6193
39039,41.3239,-84.4906
39041,40.2785,-83.0052
39043,41.3635,-82.6178
39045,39.7516,-82.6305
39047,39.5599,-83.4561
39049,39.9696,-83.0093
39051,41.6018,-84.1301
39053,38.8247,-82.3169
39055,41.4995,-81.1786
39057,39.6915,-83.8898
39059,40.0521,-81.4942
39061,39.1954,-84.5426
39063,41.0019,-83.6665
39065,40.6615,-83.6594
39067,40.2938,-81.0911
39069,41.3339,-84.0682
39071,39.1848,-83.6009
39073,39.497,-82.4792
39075,40.5612,-81.9294
39077,41.1462,-82.5984
39079,39.0197,-82.6184
39081,40.385,-80.761
39083,40.3988,-82.4216
39085,41.6968,-81.237
39087,38.5985,-82.5368
39089,40.0918,-82.4835
39091,40.3885,-83.7658
39093,41.2955,-82.1512
39095,41.62,-83.6586
39097,39.8941,-83.3999
39099,41.0146,-80.7753
39101,40.5873,-83.1609
39103,41.1176,-81.8997
39105,39.0821,-82.0229
39107,40.54,-84.6293
39109,40.0534,-84.2289
39111,39.7274,-81.0829
39113,39.7545,-84.2906
39115,39.6203,-81.8527
39117,40.524,-82.7941
39119,39.9654,-81.9444
39121,39.766,-81.4556
39123,41.5381,-83.1467
39125,41.1166,-84.5801
39127,39.7371,-82.2361
39129,39.642,-83.0243
39131,39.0774,-83.0668
39133,41.1676,-81.1962
39135,39.7416,-84.6481
39137,41.0221,-84.1317
39139,40.7747,-82.5365
39141,39.3376,-83.057
39143,41.3565,-83.145
39145,38.804,-82.9928
39147,41.1239,-83.1277
39149,40.3315,-84.2048
39151,40.8138,-81.3659
39153,41.1259,-81.5321
39155,41.3174,-80.7604
39157,40.441,-81.4738
39159,40.2995,-83.3715
39161,40.8554,-84.5861
39163,39.251,-82.4854
39165,39.4277,-84.1668
39167,39.4553,-81.4953
39169,40.8289,-81.8883
39171,41.5603,-84.5882
39173,41.3617,-83.623
39175,40.8424,-83.3044
42001,39.8715,-77.2179
42003,40.4688,-79.9812
42005,40.8125,-79.4645
42007,40.6823,-80.3493
42009,40.0066,-78.4902
42011,40.4164,-75.926
42013,40.4813,-78.3486
42015,41.7886,-76.5157
42017,40.337,-75.1067
42019,40.9117,-79.913
42021,40.4954,-78.7136
42023,41.4368,-78.2038
42025,40.9183,-75.7088
42027,40.919,-77.8196
42029,39.9733,-75.7483
42031,41.1925,-79.421
42033,41.0002,-78.4741
42035,41.2341,-77.6385
42037,41.0486,-76.4052
42039,41.6848,-80.1063
42041,40.1637,-77.2651
42043,40.4155,-76.7793
42045,39.9166,-75.3991
42047,41.4252,-78.6492
42049,41.9917,-80.0322
42051,39.9198,-79.6474
42053,41.5132,-79.2361
42055,39.9275,-77.7212
42057,39.9255,-78.1124
42059,39.8538,-80.2229
42061,40.417,-77.9812
42063,40.6521,-79.0875
42065,41.1281,-78.9995
42067,40.5311,-77.402
42069,41.437,-75.6092
42071,40.0424,-76.2477
42073,40.9912,-80.3342
42075,40.3672,-76.4577
42077,40.6129,-75.5924
42079,41.1771,-75.9889
42081,41.3433,-77.0645
42083,41.8078,-78.569
42085,41.3022,-80.2577
42087,40.6104,-77.6171
42089,41.0582,-75.3394
42091,40.2109,-75.3672
42093,41.028,-76.6586
42095,40.7543,-75.3074
42097,40.852,-76.7091
42099,40.3984,-77.2622
42101,40.0076,-75.1338
42103,41.3321,-75.0338
42105,41.745,-77.8958
42107,40.7059,-76.216
42109,40.77,-77.0701
42111,39.9725,-79.0283
42113,41.446,-76.5119
42115,41.8214,-75.8008
42117,41.7721,-77.2543
42119,40.963,-77.0621
42121,41.401,-79.758
42123,41.8147,-79.2741
42125,40.1894,-80.2482
42127,41.6487,-75.3033
42129,40.3107,-79.4668
42131,41.5184,-76.0165
42133,39.9199,-76.7265
54001,39.1329,-80.003
54003,39.4641,-78.0275
54005,38.0231,-81.7113
54007,38.6998,-80.7193
54009,40.2733,-80.5765
54011,38.4203,-82.2417
54013,38.8445,-81.1175
54015,38.4626,-81.0751
54017,39.2692,-80.7069
54019,38.0288,-81.0811
54021,38.9241,-80.8571
54023,39.1051,-79.1955
54025,37.9469,-80.4529
54027,39.3171,-78.6142
54029,40.5213,-80.5739
54031,39.0075,-78.8579
54033,39.2835,-80.3798
54035,38.8344,-81.6748
54037,39.3076,-77.8628
54039,38.3365,-81.5281
54041,38.9958,-80.5022
54043,38.1753,-82.0705
54045,37.8316,-81.9353
54047,37.3785,-81.6536
54049,39.51,-80.2434
54051,39.8606,-80.6634
54053,38.7697,-82.0265
54055,37.4055,-81.1114
54057,39.4147,-78.9438
54059,37.7264,-82.1346
54061,39.6303,-80.0465
54063,37.5604,-80.5505
54065,39.5604,-78.2578
54067,38.2917,-80.7993
54069,40.0969,-80.6189
54071,38.6808,-79.3509
54073,39.3709,-81.1606
54075,38.3318,-80.0077
54077,39.4693,-79.6681
54079,38.5086,-81.909
54081,37.7714,-81.2486
54083,38.7748,-79.8758
54085,39.1783,-81.0629
54087,38.714,-81.3483
54089,37.6559,-80.8586
54091,39.336,-80.0461
54093,39.1136,-79.565
54095,39.4653,-80.8849
54097,38.8978,-80.2334
54099,38.1461,-82.427
54101,38.4947,-80.4219
54103,39.6053,-80.6391
54105,39.0224,-81.3786
54107,39.2111,-81.515
54109,37.6096,-81.5491
