case,horizon,mode,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,C0_direct_osi,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.0,0.0,0.0
B0,osi_target_t01h,C1_component_osi,34177,0.01099408271972475,0.003278457649174449,4.130969029145235,-0.00010064466718107809,0.01099408271972475,0.0,0.0,0.0
B0,osi_target_t01h,C2_equal_blend,34177,0.011319898969309572,0.003364610377481295,4.379444630906323,-0.0001314229386326237,0.011319898969309572,0.0,0.0,0.0
B0,osi_target_t01h,C3_aligned_component,34177,0.010853078422434704,0.0032389658650502882,4.025685290369706,-0.0001206261886411442,0.010853078422434704,0.0,0.0,0.0
B0,osi_target_t01h,v18_rule,34177,0.010853078422434704,0.0032389658650502882,4.025685290369706,-0.0001206261886411442,0.010853078422434704,0.0,0.0,0.0
B0,osi_target_t06h,C0_direct_osi,32982,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.01073393416160627,0.0,0.0,0.0
B0,osi_target_t06h,C1_component_osi,32982,0.010109519599414293,0.003250413710500381,3.3708391125635204,-4.116579609706818e-05,0.010109519599414293,0.0,0.0,0.0
B0,osi_target_t06h,C2_equal_blend,32982,0.010279677323357887,0.00329414557036995,3.485266182002124,-2.951528418216472e-05,0.010279677323357887,0.0,0.0,0.0
B0,osi_target_t06h,C3_aligned_component,32982,0.009923105829220319,0.003112572987423417,3.2476725423035444,-0.00010472637115503994,0.009923105829220319,0.0,0.0,0.0
B0,osi_target_t06h,v18_rule,32982,0.009923105829220319,0.003112572987423417,3.2476725423035444,-0.00010472637115503994,0.009923105829220319,0.0,0.0,0.0
B0,osi_target_t24h,C0_direct_osi,28680,0.00861830195271674,0.0028389953167640646,2.13021068676241,-8.851748810857948e-05,0.00861830195271674,0.0,0.0,0.0
B0,osi_target_t24h,C1_component_osi,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
B0,osi_target_t24h,C2_equal_blend,28680,0.0085370574557761,0.002808167540871237,2.090237118092415,-9.551377495420408e-05,0.0085370574557761,0.0,0.0,0.0
