case,horizon,start,end,common_target,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,73,76,False,956,0.023564781526417063,0.00639516555292622,0.5308657755387052,-0.00042991651861295414,0.023564781526417063,0.0,0.0,0.0
B0,osi_target_t01h,77,95,False,4541,0.01817013743080561,0.005990448524231025,1.4992288338090627,-0.0002877164727915715,0.01817013743080561,0.0,0.0,0.0
B0,osi_target_t01h,96,143,False,11472,0.01018711961213732,0.004510761189371733,1.1905344015401416,0.00011199823399273683,0.01018711961213732,0.0,0.0,0.0
B0,osi_target_t01h,144,215,False,17208,0.006839871177132626,0.0014896721866701896,0.8050562794817964,-0.00021443307152560178,0.006839871177132626,0.0,0.0,0.0
B0,osi_target_t01h,120,215,True,22944,0.007719715877085945,0.002202999203899708,1.3673250393869707,-0.00012206482314400291,0.007719715877085945,0.0,0.0,0.0
B0,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
B0,osi_target_t06h,77,95,False,4302,0.017060083755936113,0.005875674318574152,1.2520818612816065,-0.00024383185006686368,0.017060083755936113,0.0,0.0,0.0
B0,osi_target_t06h,96,143,False,11472,0.01018711961213732,0.004510761189371733,1.1905344015401416,0.00011199823399273683,0.01018711961213732,0.0,0.0,0.0
B0,osi_target_t06h,144,215,False,17208,0.006839871177132626,0.0014896721866701896,0.8050562794817964,-0.00021443307152560178,0.006839871177132626,0.0,0.0,0.0
B0,osi_target_t06h,120,215,True,22944,0.007719715877085945,0.002202999203899708,1.3673250393869707,-0.00012206482314400291,0.007719715877085945,0.0,0.0,0.0
B0,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
B0,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
B0,osi_target_t24h,96,143,False,11472,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.010616169485079483,0.0,0.0,0.0
B0,osi_target_t24h,144,215,False,17208,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.006713761658672963,0.0,0.0,0.0
B0,osi_target_t24h,120,215,True,22944,0.007738976522688962,0.0022723063915952883,1.3741564868041627,-0.00011090911790532663,0.007738976522688962,0.0,0.0,0.0
B0,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
B0,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
B0,osi_target_t48h,96,143,False,5736,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
