domain,space,case,horizon,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,ci_low,ci_high,replicates,bootstrap_seed,unit
OSI,v18_rule,NB_P06,osi_target_t01h,34177,0.010839305194285513,0.0032122365598017885,4.0154740862911975,-0.00013042578517183533,0.010853078422434704,-1.3773228149190422e-05,-0.12690618839277246,0.010211204078508729,-5.964678469641588e-05,3.3989798372825616e-05,2000,20260910,county_full_trajectory
OSI,v18_rule,NB_P06,osi_target_t06h,32982,0.00990749362850867,0.003084875229086204,3.2374613382250357,-0.00011488102553104586,0.009923105829220319,-1.5612200711648608e-05,-0.1573317969226551,0.010211204078508729,-6.73388635639149e-05,3.735591934636698e-05,2000,20260910,county_full_trajectory
P,component_clipped,NB_P06,osi_target_t06h,32982,0.016021504746627457,0.004954114442725114,8.466103878366571,6.43435232283467e-05,0.016247431187159732,-0.00022592644053227515,-1.3905363742104937,0.24045216525935587,-0.0007120428376578053,0.00016952127490462834,2000,20260910,county_full_trajectory
P,aligned,NB_P06,osi_target_t06h,32982,0.01568562109304468,0.004832474587064349,8.11484870269741,3.9256169433098314e-05,0.01570824624527064,-2.2625152225959344e-05,-0.1440335978484586,0.023426818668704996,-0.00016133426898887274,0.00011044885691391112,2000,20260910,county_full_trajectory
OSI,v18_rule,NB_P06,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
OSI,v18_rule,NB_P06,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
OSI,v18_rule,NB_P24,osi_target_t01h,34177,0.010840689291401098,0.003227290776446228,4.016499642975094,-0.0001234873431378002,0.010853078422434704,-1.2389131033605644e-05,-0.11415315131231285,0.00918564739461214,-3.8454710559808524e-05,1.4872554208263707e-05,2000,20260910,county_full_trajectory
OSI,v18_rule,NB_P24,osi_target_t06h,32982,0.009909062742500467,0.003100474888362688,3.2384868949089327,-0.00010769119066969052,0.009923105829220319,-1.4043086719851827e-05,-0.1415190663239696,0.009185647394611696,-4.198253355846525e-05,1.620636233373891e-05,2000,20260910,county_full_trajectory
OSI,v18_rule,NB_P24,osi_target_t24h,28680,0.008434736596420678,0.002779739911447673,2.040432332014631,-9.257391647402344e-05,0.008492701524253245,-5.796492783256661e-05,-0.6825263747587518,0.028140750869300568,-0.0001930400088170879,9.012758583091912e-05,2000,20260910,county_full_trajectory
P,component_clipped,NB_P24,osi_target_t24h,28680,0.013537162835787092,0.004315395510719358,5.255747022790206,3.316438469985352e-05,0.01363012843468114,-9.296559889404761e-05,-0.6820595956931852,0.07243488207430193,-0.0004033480232577983,0.00023988988434796643,2000,20260910,county_full_trajectory
P,aligned,NB_P24,osi_target_t24h,28680,0.013388855157949416,0.004219663133237236,5.141218169194936,9.991052081352315e-05,0.013426585219527803,-3.773006157838793e-05,-0.281010107644597,0.029016938854779184,-0.00012679900911315026,5.35153210278502e-05,2000,20260910,county_full_trajectory
OSI,v18_rule,NB_P24,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
OSI,v18_rule,NB_P48,osi_target_t01h,34177,0.010851196041440948,0.0032347784239058538,4.024288964641418,-0.00012594322370009666,0.010853078422434704,-1.8823809937555669e-06,-0.017344212586400953,0.0013963257282885166,-8.433945111525681e-06,4.5234174221874624e-06,2000,20260910,county_full_trajectory
OSI,v18_rule,NB_P48,osi_target_t06h,32982,0.009920972397133715,0.0031082338273969385,3.2462762165752554,-0.00011023605241178037,0.009923105829220319,-2.1334320866039924e-06,-0.021499640569400125,0.0013963257282889607,-9.300241106167386e-06,5.076111790519674e-06,2000,20260910,county_full_trajectory
OSI,v18_rule,NB_P48,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
OSI,v18_rule,NB_P48,osi_target_t48h,22944,0.0076777195364385415,0.0022128540239072536,1.3524886243171395,-0.00018471383054033776,0.007691202257793633,-1.3482721355091536e-05,-0.17530056944516925,0.0047543384379915565,-7.646037226532442e-05,4.2634884961371814e-05,2000,20260910,county_full_trajectory
P,component_clipped,NB_P48,osi_target_t48h,22944,0.012332158259541832,0.003448931479646909,3.4893723296519243,-5.985133992674954e-05,0.01234645607437439,-1.4297814832558986e-05,-0.11580501114190067,0.008095796321168969,-0.00015649289999503875,0.00012044749987847715,2000,20260910,county_full_trajectory
P,aligned,NB_P48,osi_target_t48h,22944,0.012318467561113993,0.0034518201343768386,3.4816290902359714,7.424101374324987e-05,0.012325350266945725,-6.8827058317313256e-06,-0.055841868041583975,0.003891672915344202,-3.753829424955439e-05,2.2791867394836034e-05,2000,20260910,county_full_trajectory
