case,horizon,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,0,6864,0.006508227250914973,0.002652900805160948,0.2907385986617268,0.00018271234220699375,0.006508227250914973,0.0,0.0,0.0
B0,osi_target_t01h,1,6721,0.009525203210483274,0.0033034008845826525,0.609792943966927,-0.0004977214279555325,0.009525203210483274,0.0,0.0,0.0
B0,osi_target_t01h,2,6864,0.012465721111152626,0.003835105949037626,1.0666258081635929,-0.0006146343002146903,0.012465721111152626,0.0,0.0,0.0
B0,osi_target_t01h,3,6864,0.015274071830806878,0.0035266066745314874,1.6013524632887373,0.00032033713862111276,0.015274071830806878,0.0,0.0,0.0
B0,osi_target_t01h,4,6864,0.008161177537992413,0.0028781574081789825,0.45717547628872146,-1.6808466826547393e-06,0.008161177537992413,0.0,0.0,0.0
B0,osi_target_t06h,0,6624,0.006418405226996253,0.0025749033559023184,0.272881811558147,0.00018345811493513138,0.006418405226996253,0.0,0.0,0.0
B0,osi_target_t06h,1,6486,0.009222326615461077,0.0031811700445192556,0.5516427849997401,-0.0004504194852110166,0.009222326615461077,0.0,0.0,0.0
B0,osi_target_t06h,2,6624,0.012514969699033504,0.003774114383757264,1.037480466544622,-0.0007607836400169652,0.012514969699033504,0.0,0.0,0.0
B0,osi_target_t06h,3,6624,0.012045775156805515,0.0032505737067187283,0.9611470310259448,0.0004708401194720005,0.012045775156805515,0.0,0.0,0.0
B0,osi_target_t06h,4,6624,0.008005512595111616,0.0027835325515756827,0.42452044817509044,2.607109516948453e-05,0.008005512595111616,0.0,0.0,0.0
B0,osi_target_t24h,0,5760,0.004722006437624519,0.0021059088433387193,0.12843270603053222,0.0004342643061164664,0.004722006437624519,0.0,0.0,0.0
B0,osi_target_t24h,1,5640,0.008926834627565224,0.0029095390774955274,0.4494424432789421,-0.0005011371074237945,0.008926834627565224,0.0,0.0,0.0
B0,osi_target_t24h,2,5760,0.012860189555137309,0.0038187202582121555,0.9526145782698012,-0.0010054195428662632,0.012860189555137309,0.0,0.0,0.0
B0,osi_target_t24h,3,5760,0.0061831058424843465,0.002799674455534234,0.220209395669937,0.0010566893098766035,0.0061831058424843465,0.0,0.0,0.0
B0,osi_target_t24h,4,5760,0.007428758397301128,0.0024404211477509086,0.31787395963471893,-0.0004080801392518454,0.007428758397301128,0.0,0.0,0.0
B0,osi_target_t48h,0,4608,0.0036632306388987446,0.0015956445257807718,0.06183594415303605,0.0004560453424232713,0.0036632306388987446,0.0,0.0,0.0
B0,osi_target_t48h,1,4512,0.005855181393125153,0.0019970723373512436,0.15468556894855234,-0.00027187300705922685,0.005855181393125153,0.0,0.0,0.0
B0,osi_target_t48h,2,4608,0.013066410316828946,0.0032591786642496433,0.7867288100401179,-0.001280845725181886,0.013066410316828946,0.0,0.0,0.0
B0,osi_target_t48h,3,4608,0.0053724652793763,0.002168728024357481,0.13300246968470258,0.0005056889175742389,0.0053724652793763,0.0,0.0,0.0
B0,osi_target_t48h,4,4608,0.006925166870368426,0.0021494377477357354,0.22099016992872228,-0.00019436995091425306,0.006925166870368426,0.0,0.0,0.0
NB_P06,osi_target_t01h,0,6864,0.00659348299274675,0.0026577542367117553,0.29840565938479735,0.0001424333464604709,0.006508227250914973,8.525574183177679e-05,1.3099687294998885,-0.007667060723070551
NB_P06,osi_target_t01h,1,6721,0.009500846640321517,0.003275481314515168,0.6066783699400291,-0.0004838154669288177,0.009525203210483274,-2.4356570161757768e-05,-0.25570656734075214,0.003114574026897854
NB_P06,osi_target_t01h,2,6864,0.012478473176070454,0.0038047577746124976,1.068809177819765,-0.0005886098282649043,0.012465721111152626,1.2752064917827613e-05,0.10229704967825715,-0.0021833696561721627
NB_P06,osi_target_t01h,3,6864,0.015211916061023357,0.003484458861573846,1.5883460066596662,0.00027592320385578107,0.015274071830806878,-6.215576978352115e-05,-0.406936476874209,0.013006456629071073
NB_P06,osi_target_t01h,4,6864,0.008125928963273223,0.0028400482106522053,0.4532348724869404,-5.422466018310639e-06,0.008161177537992413,-3.524857471919052e-05,-0.43190550083120893,0.003940603801781073
NB_P06,osi_target_t06h,0,6624,0.006507948413634794,0.0025799326364223576,0.28054887228121755,0.0001417197352847489,0.006418405226996253,8.954318663854152e-05,1.3951002386374256,-0.007667060723070551
NB_P06,osi_target_t06h,1,6486,0.009196255144974231,0.0031522388958261376,0.5485282109728421,-0.0004360096850166672,0.009222326615461077,-2.6071470486846438e-05,-0.2826994919388093,0.003114574026897965
NB_P06,osi_target_t06h,2,6624,0.012528131606590514,0.003742666637794993,1.0396638362007937,-0.0007338162524168247,0.012514969699033504,1.3161907557009828e-05,0.10516931221995485,-0.0021833696561717186
