horizon,kind,outer_fold,best_iterations,requested_rounds,seconds
osi_target_t06h,a,0,"150,467,182,32",207,15.360452730965335
osi_target_t06h,b,0,"592,560,35,281",367,25.744979201990645
osi_target_t06h,a,1,"107,241,74,40",115,10.842208468005992
osi_target_t06h,b,1,"167,591,12,336",276,21.472442997037433
osi_target_t06h,a,2,"145,51,160,24",95,10.715684801980387
osi_target_t06h,b,2,"57,89,10,262",104,11.581806151021738
osi_target_t06h,a,3,"153,66,426,24",167,13.30035128298914
osi_target_t06h,b,3,"155,107,876,460",399,29.698445620946586
osi_target_t06h,a,4,"84,77,567,47",193,14.820672838948667
osi_target_t06h,b,4,"156,238,471,25",222,19.712718298949767
osi_target_t24h,direct,0,"16,414,27,378",208,16.35217933700187
osi_target_t24h,direct,1,"228,525,45,429",306,20.50719619303709
osi_target_t24h,direct,2,"220,472,40,435",291,19.276108235004358
osi_target_t24h,direct,3,"144,13,285,480",230,16.516026170982514
osi_target_t24h,direct,4,"492,13,558,197",315,22.259715116990265
osi_target_t48h,direct,0,"16,715,21,108",215,13.715729938005097
osi_target_t48h,direct,1,"186,610,40,168",251,15.019129486987367
osi_target_t48h,direct,2,"97,125,10,318",137,11.421939377032686
osi_target_t48h,direct,3,"197,29,452,213",222,13.47279160504695
osi_target_t48h,direct,4,"222,33,550,92",224,14.935007805004716
