case,reference,pair,horizon,space,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
G1,G0,G1_minus_G0,1,source,all,34177,0.017986507683139388,11.056753652790004,0.005347022015519774,0.0002639835214371196,0.017861487700620824,0.00012501998251856355,0.6999415984493718,-0.15317159939976044
G1,G0,G1_minus_G0,1,source,early_73_95,5497,0.03171594652142742,5.5294392468339915,0.010470760525786726,0.0011080042012536842,0.03127357803608131,0.00044236848534610906,1.4145119078978974,-0.15317159939975955
G1,G0,G1_minus_G0,1,aligned,all,34177,0.01753029259942913,10.502973468210417,0.0051664552944419235,0.0001692367604390678,0.017491186042694642,3.910655673448893e-05,0.2235786449188426,-0.04680777480023224
G1,G0,G1_minus_G0,1,aligned,early_73_95,5497,0.031231340578797177,5.361755299015481,0.010106240483335952,0.0005309388802245184,0.031094717963231124,0.00013662261556605243,0.4393756384206693,-0.046807774800234014
G2,G0,G2_minus_G0,1,source,all,34177,0.016367536246386535,9.155889889381907,0.0051658996303530795,6.738174605534968e-05,0.017861487700620824,-0.0014939514542342894,-8.364093065900457,1.7476921640083365
G2,G0,G2_minus_G0,1,source,early_73_95,5497,0.025692431805997985,3.6285754834258954,0.009344651783228585,-0.00011434596742427536,0.03127357803608131,-0.0055811462300833226,-17.84620302686242,1.7476921640083365
G2,G0,G2_minus_G0,1,aligned,all,34177,0.01622953041683444,9.002141742118965,0.005055835911848558,4.617348738173034e-05,0.017491186042694642,-0.0012616556258602009,-7.213093627731116,1.4540239512912194
G2,G0,G2_minus_G0,1,aligned,early_73_95,5497,0.026502249237540628,3.8609235729240297,0.009418476495907635,-0.00023419364356675338,0.031094717963231124,-0.004592468725690496,-14.76928889054725,1.4540239512912176
G2,G1,G2_minus_G1,1,source,all,34177,0.016367536246386535,9.155889889381907,0.0051658996303530795,6.738174605534968e-05,0.017986507683139388,-0.001618971436752853,-9.001032692246769,1.900863763408097
G2,G1,G2_minus_G1,1,source,early_73_95,5497,0.025692431805997985,3.6285754834258954,0.009344651783228585,-0.00011434596742427536,0.03171594652142742,-0.006023514715429432,-18.992069845243066,1.900863763408096
G2,G1,G2_minus_G1,1,aligned,all,34177,0.01622953041683444,9.002141742118965,0.005055835911848558,4.617348738173034e-05,0.01753029259942913,-0.0013007621825946898,-7.420082552626928,1.5008317260914517
G2,G1,G2_minus_G1,1,aligned,early_73_95,5497,0.026502249237540628,3.8609235729240297,0.009418476495907635,-0.00023419364356675338,0.031231340578797177,-0.0047290913412565486,-15.142133682430236,1.5008317260914517
G1,G0,G1_minus_G0,6,source,all,32982,0.016247431187159732,8.706556043625927,0.005153770877592177,0.00015903789504835344,0.016247431187159732,0.0,0.0,0.0
G1,G0,G1_minus_G0,6,source,early_73_95,4302,0.026628753016747032,3.0505072760501846,0.009429888730100453,-0.000226303151512857,0.026628753016747032,0.0,0.0,0.0
G1,G0,G1_minus_G0,6,aligned,all,32982,0.01568300905227891,8.112146284904647,0.004898197636641123,0.00015353846488450843,0.015680217442499467,2.791609779444204e-06,0.01780338690888783,-0.0028877023933109314
G1,G0,G1_minus_G0,6,aligned,early_73_95,4302,0.026279123074333232,2.970928115709711,0.009421760992667038,0.0005110580920244104,0.026266348491320667,1.2774583012565427e-05,0.0486347884129712,-0.0028877023933113755
G2,G0,G2_minus_G0,6,source,all,32982,0.016247431187159732,8.706556043625927,0.005153770877592177,0.00015903789504835344,0.016247431187159732,0.0,0.0,0.0
G2,G0,G2_minus_G0,6,source,early_73_95,4302,0.026628753016747032,3.0505072760501846,0.009429888730100453,-0.000226303151512857,0.026628753016747032,0.0,0.0,0.0
G2,G0,G2_minus_G0,6,aligned,all,32982,0.015298311072631503,7.719051925484839,0.004847145197469533,7.733552407006042e-05,0.015680217442499467,-0.00038190636986796395,-2.435593583242346,0.3902066570264964
G2,G0,G2_minus_G0,6,aligned,early_73_95,4302,0.02447891984078014,2.5778337562899036,0.00903035895901818,-7.316445421969099e-05,0.026266348491320667,-0.0017874286505405249,-6.805013841688556,0.39020665702649593
G2,G1,G2_minus_G1,6,source,all,32982,0.016247431187159732,8.706556043625927,0.005153770877592177,0.00015903789504835344,0.016247431187159732,0.0,0.0,0.0
G2,G1,G2_minus_G1,6,source,early_73_95,4302,0.026628753016747032,3.0505072760501846,0.009429888730100453,-0.000226303151512857,0.026628753016747032,0.0,0.0,0.0
