case,horizon,mode,n,rmse,sse,mae,bias
G0,1,C0_direct_osi,34177,0.012037457339389941,4.952260259837495,0.003599131095178727,-0.00013171246546132397
G0,1,C1_component_osi,34177,0.01099408271972475,4.130969029145235,0.003278457649174449,-0.00010064466718107809
G0,1,C2_equal_blend,34177,0.011319898969309572,4.379444630906323,0.003364610377481295,-0.0001314229386326237
G0,1,C3_aligned_component,34177,0.010840689291401098,4.016499642975094,0.003227290776446228,-0.0001234873431378002
G0,1,v18_rule,34177,0.010840689291401098,4.016499642975094,0.003227290776446228,-0.0001234873431378002
G1,1,C0_direct_osi,34177,0.012037457339389941,4.952260259837495,0.003599131095178727,-0.00013171246546132397
G1,1,C1_component_osi,34177,0.011025383254235629,4.1545245371292925,0.0033267774344742634,-5.846713892844838e-06
G1,1,C2_equal_blend,34177,0.011321204186672349,4.380454614604966,0.003384285148638093,-8.408755217400674e-05
G1,1,C3_aligned_component,34177,0.010844984572169597,4.019683095795879,0.0032502827763289687,-6.490446038680077e-05
G1,1,v18_rule,34177,0.010844984572169597,4.019683095795879,0.0032502827763289687,-6.490446038680077e-05
G2,1,C0_direct_osi,34177,0.012037457339389941,4.952260259837495,0.003599131095178727,-0.00013171246546132397
G2,1,C1_component_osi,34177,0.010323233747787786,3.642214010826827,0.003255081435864935,-8.448730140558173e-05
G2,1,C2_equal_blend,34177,0.010970725649144489,4.113435080503667,0.0033517719811541947,-0.00012390511759618173
G2,1,C3_aligned_component,34177,0.010304249448688855,3.6288303553633976,0.0032065335457975323,-0.00011428845487213588
G2,1,v18_rule,34177,0.010304249448688855,3.6288303553633976,0.0032065335457975323,-0.00011428845487213588
G0,6,C0_direct_osi,32982,0.01073393416160627,3.8000983931614947,0.003461091435797809,1.0093322570397718e-05
G0,6,C1_component_osi,32982,0.010109519599414293,3.3708391125635204,0.003250413710500381,-4.116579609706818e-05
G0,6,C2_equal_blend,32982,0.010279677323357887,3.485266182002124,0.00329414557036995,-2.951528418216472e-05
G0,6,C3_aligned_component,32982,0.009909062742500467,3.2384868949089327,0.003100474888362688,-0.00010769119066969052
G0,6,v18_rule,32982,0.009909062742500467,3.2384868949089327,0.003100474888362688,-0.00010769119066969052
G1,6,C0_direct_osi,32982,0.01073393416160627,3.8000983931614947,0.003461091435797809,1.0093322570397718e-05
G1,6,C1_component_osi,32982,0.010109519599414293,3.3708391125635204,0.003250413710500381,-4.116579609706818e-05
G1,6,C2_equal_blend,32982,0.010279677323357887,3.485266182002124,0.00329414557036995,-2.951528418216472e-05
G1,6,C3_aligned_component,32982,0.009903725060082268,3.234998904306968,0.0031139172427650003,-6.97810308650284e-05
G1,6,v18_rule,32982,0.009903725060082268,3.234998904306968,0.0031139172427650003,-6.97810308650284e-05
G2,6,C0_direct_osi,32982,0.01073393416160627,3.8000983931614947,0.003461091435797809,1.0093322570397718e-05
G2,6,C1_component_osi,32982,0.010109519599414293,3.3708391125635204,0.003250413710500381,-4.116579609706818e-05
G2,6,C2_equal_blend,32982,0.010279677323357887,3.485266182002124,0.00329414557036995,-2.951528418216472e-05
G2,6,C3_aligned_component,32982,0.00973088308677933,3.1230684048610704,0.0030965822396270344,-0.00010024611154832882
G2,6,v18_rule,32982,0.00973088308677933,3.1230684048610704,0.0030965822396270344,-0.00010024611154832882
G0,24,C0_direct_osi,28680,0.00861830195271674,2.13021068676241,0.0028389953167640646,-8.851748810857948e-05
G0,24,C1_component_osi,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
G0,24,C2_equal_blend,28680,0.008498369961264574,2.0713353345176695,0.0027820845436543028,-0.00010285886097246099
