case,reference,pair,horizon,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,ci_low,ci_high,bootstrap_replicates,bootstrap_unit
G1,G0,G1_minus_G0,1,all,34177,0.010844984572169597,4.019683095795879,0.0032502827763289687,-6.490446038680077e-05,0.010840689291401098,4.295280768498375e-06,0.03962184186854234,-0.0031834528207852486,-8.14006158755389e-05,9.400100522506799e-05,2000,county_full_trajectory
G1,G0,G1_minus_G0,1,test_like,23317,0.011903382073252186,3.3037974999977315,0.0033045072937753325,-0.00040226590248683896,0.011906475211728657,-3.093138476470761e-06,-0.025978624416267415,0.0017172314286750812,-0.00011205115526703667,0.0001223015344875815,2000,county_full_trajectory
G2,G0,G2_minus_G0,1,all,34177,0.010304249448688855,3.6288303553633976,0.0032065335457975323,-0.00011428845487213588,0.010840689291401098,-0.0005364398427122434,-4.948392378866084,0.3876692876116965,-0.0013670545782272989,3.0613295838003854e-05,2000,county_full_trajectory
G2,G0,G2_minus_G0,1,test_like,23317,0.011180954372581474,2.914945391476337,0.003242732526682901,-0.0004401299793371025,0.011906475211728657,-0.0007255208391471826,-6.093498086087623,0.3905693399500696,-0.0017922380300074339,3.799983302938363e-05,2000,county_full_trajectory
G2,G1,G2_minus_G1,1,all,34177,0.010304249448688855,3.6288303553633976,0.0032065335457975323,-0.00011428845487213588,0.010844984572169597,-0.0005407351234807418,-4.986038660381098,0.39085274043248175,-0.001295341197819142,-1.2185063313834423e-05,2000,county_full_trajectory
G2,G1,G2_minus_G1,1,test_like,23317,0.011180954372581474,2.914945391476337,0.003242732526682901,-0.0004401299793371025,0.011903382073252186,-0.0007224277006707119,-6.069096129360263,0.3888521085213945,-0.0016911551014987707,-1.374809450996194e-05,2000,county_full_trajectory
G1,G0,G1_minus_G0,6,all,32982,0.009903725060082268,3.234998904306968,0.0031139172427650003,-6.97810308650284e-05,0.009909062742500467,-5.33768241819943e-06,-0.05386667293271197,0.0034879906019646967,-4.879480907584006e-05,3.596561954331962e-05,2000,county_full_trajectory
G1,G0,G1_minus_G0,6,test_like,22578,0.010594136687282372,2.53405836045611,0.003137929205554241,-0.000351711653970454,0.01060151652629748,-7.379839015107456e-06,-0.06961116361797748,0.0035316622417318477,-6.183691843915343e-05,4.573905416958106e-05,2000,county_full_trajectory
G2,G0,G2_minus_G0,6,all,32982,0.00973088308677933,3.1230684048610704,0.0030965822396270344,-0.00010024611154832882,0.009909062742500467,-0.00017817965572113764,-1.798148425853796,0.11541849004786231,-0.0005053324743395447,2.1725655842462498e-05,2000,county_full_trajectory
G2,G0,G2_minus_G0,6,test_like,22578,0.010344655473374369,2.416114607368621,0.0031126017115200026,-0.0003672630817215278,0.01060151652629748,-0.00025686105292311093,-2.4228708438642443,0.12147541532922101,-0.0006883357267396216,4.52697336421076e-06,2000,county_full_trajectory
