case,reference,pair,horizon,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
G1,G0,G1_minus_G0,1,0,6864,0.006531269849163119,0.29280098282351874,0.0026429877036100104,0.00029994266946941706,0.006479607930654,5.166191850911918e-05,0.7973000691093413,-0.0046137536537184665
G1,G0,G1_minus_G0,1,1,6721,0.009561976435570283,0.6145103947349316,0.0032996668846763232,-0.0004883788470519972,0.009481489999115742,8.048643645454032e-05,0.8488796218953709,-0.010301550587938246
G1,G0,G1_minus_G0,1,2,6864,0.012513542746238256,1.0748251941531017,0.0038549649255340034,-0.0005634202081140142,0.01248928281901675,2.4259927221506605e-05,0.19424595930013222,-0.004163474024733604
G1,G0,G1_minus_G0,1,3,6864,0.015108406194917023,1.566803668720167,0.0035229954551769726,0.00033479616895463213,0.015263495703562108,-0.000155089508645085,-1.0160811891137822,0.03233193397984402
G1,G0,G1_minus_G0,1,4,6864,0.008281389878654689,0.4707428553641597,0.0029318277482381023,8.371553175243349e-05,0.008135527488850472,0.00014586238980421676,1.7929063604556372,-0.01643660853423845
G2,G0,G2_minus_G0,1,0,6864,0.00647972566359765,0.28819770185253596,0.002624135389081472,0.00010587637028328635,0.006479607930654,1.1773294365021586e-07,0.0018169763496445057,-1.0472682735684913e-05
G2,G0,G2_minus_G0,1,1,6721,0.009455626936885007,0.6009170876521142,0.0032760514582942913,-0.0005109161134556421,0.009481489999115742,-2.5863062230735423e-05,-0.2727742394196264,0.0032917564948792277
G2,G0,G2_minus_G0,1,2,6864,0.01248865600010272,1.0705542529206211,0.0038129992499470623,-0.0006140747956499814,0.01248928281901675,-6.268189140287012e-07,-0.005018854349858604,0.00010746720774701402
G2,G0,G2_minus_G0,1,3,6864,0.013269801004618739,1.208665414771767,0.0034348419355294327,0.0004243903987927505,0.015263495703562108,-0.001993694698943369,-13.061848593950154,0.39047018792824395
G2,G0,G2_minus_G0,1,4,6864,0.008190760846995514,0.46049589816635894,0.0028860879859790864,1.5018789448417392e-05,0.008135527488850472,5.523335814504142e-05,0.6789155124942603,-0.006189651336437674
