case,reference,pair,horizon,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
G1,G0,G1_minus_G0,1,all,34177,0.010844984572169597,4.019683095795879,0.0032502827763289687,-6.490446038680077e-05,0.010840689291401098,4.295280768498375e-06,0.03962184186854234,-0.0031834528207852486
G1,G0,G1_minus_G0,1,early_73_95,5497,0.019232490162611044,2.0332780621685536,0.006203784354579403,5.178579025657571e-05,0.01921742834940514,1.5061813205905633e-05,0.0783757999876844,-0.0031834528207852486
G1,G0,G1_minus_G0,1,late_96_215,28680,0.00832231845317753,1.9864050336273262,0.002684194973830968,-8.727009176011457e-05,0.00832231845317753,0.0,0.0,0.0
G1,G0,G1_minus_G0,1,test_like,23317,0.011903382073252186,3.3037974999977315,0.0033045072937753325,-0.00040226590248683896,0.011906475211728657,-3.093138476470761e-06,-0.025978624416267415,0.0017172314286750812
G1,G0,G1_minus_G0,1,not_test_like,10860,0.008119081472636777,0.7158855957981478,0.0031338598414029206,0.0006594285732638979,0.008091243655922791,2.7837816713985677e-05,0.3440486765419415,-0.004900684249460219
G1,G0,G1_minus_G0,1,all_except_Forest,34034,0.009040905870779518,2.7818703760708354,0.003122517778583429,4.217399316732916e-05,0.008981369097641946,5.953677313757198e-05,0.6628919543369305,-0.03651807686667885
G1,G0,G1_minus_G0,1,test_like_except_Forest,23174,0.009441979596184997,2.0659847802726876,0.0031172025631601235,-0.0002470891784840359,0.009369452013707842,7.252758247715436e-05,0.7740856388510631,-0.03161739261721852
G1,G0,G1_minus_G0,1,g_zero,18876,0.008519117521572849,1.3699325585260709,0.00241075104329488,-0.00020353386041954463,0.008496257423859595,2.2860097713253702e-05,0.2690607943334866,-0.007342256875123132
G1,G0,G1_minus_G0,1,g_positive,15301,0.01315959691626666,2.6497505372698082,0.004285966783436443,0.00010611498638256545,0.013169919912148127,-1.0322995881465943e-05,-0.07838313330928992,0.00415880405433855
G1,G0,G1_minus_G0,1,g_positive_low_early_damage,6006,0.0063304909487333265,0.24069114460587943,0.0019836246551519676,0.00041791374708917943,0.006290008314549899,4.0482634183427665e-05,0.6436022364196825,-0.0030685317956555824
G2,G0,G2_minus_G0,1,all,34177,0.010304249448688855,3.6288303553633976,0.0032065335457975323,-0.00011428845487213588,0.010840689291401098,-0.0005364398427122434,-4.948392378866084,0.3876692876116965
G2,G0,G2_minus_G0,1,early_73_95,5497,0.017285420440967186,1.642425321736071,0.005931778269101345,-0.0002552538276305078,0.01921742834940514,-0.0019320079084379528,-10.053415437855694,0.3876692876116974
G2,G0,G2_minus_G0,1,late_96_215,28680,0.00832231845317753,1.9864050336273262,0.002684194973830968,-8.727009176011457e-05,0.00832231845317753,0.0,0.0,0.0
G2,G0,G2_minus_G0,1,test_like,23317,0.011180954372581474,2.914945391476337,0.003242732526682901,-0.0004401299793371025,0.011906475211728657,-0.0007255208391471826,-6.093498086087623,0.3905693399500696
G2,G0,G2_minus_G0,1,not_test_like,10860,0.008107728640604227,0.7138849638870605,0.0031288124005577405,0.0005853107003718446,0.008091243655922791,1.6484984681435985e-05,0.2037385769413591,-0.0029000523383728716
G2,G0,G2_minus_G0,1,all_except_Forest,34034,0.008988208060334874,2.7495348486801583,0.003096295049720845,-2.5336123138603998e-05,0.008981369097641946,6.838962692927442e-06,0.07614610443660297,-0.004182549476001718
