case,horizon,n,rmse,sse,mae,bias
G0,1,34177,0.010840689291401098,4.016499642975094,0.003227290776446228,-0.0001234873431378002
G1,1,34177,0.010844984572169597,4.019683095795879,0.0032502827763289687,-6.490446038680077e-05
G2,1,34177,0.010304249448688855,3.6288303553633976,0.0032065335457975323,-0.00011428845487213588
G0,6,32982,0.009909062742500467,3.2384868949089327,0.003100474888362688,-0.00010769119066969052
G1,6,32982,0.009903725060082268,3.234998904306968,0.0031139172427650003,-6.97810308650284e-05
G2,6,32982,0.00973088308677933,3.1230684048610704,0.0030965822396270344,-0.00010024611154832882
G0,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
G1,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
G2,24,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
G0,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
G1,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
G2,48,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
