case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,18009,Blackford County,IN,3,143,0.005356287653721213,0.0033832658846074783,0.004102643892405101,0.0017722778322473158,0.005356287653721213,0.0,0.0,0.0
B0,osi_target_t01h,18013,Brown County,IN,0,143,0.027935266537810664,0.01254115420927679,0.11159421366500895,-0.009487940712502323,0.027935266537810664,0.0,0.0,0.0
B0,osi_target_t01h,18023,Clinton County,IN,1,143,0.0015095569294524983,0.0005690673959322639,0.0003258629836259018,0.0005042080709093411,0.0015095569294524983,0.0,0.0,0.0
B0,osi_target_t01h,18025,Crawford County,IN,1,143,0.01196696435454542,0.0021933224283832283,0.020478777728403376,-0.001090656272722055,0.01196696435454542,0.0,0.0,0.0
B0,osi_target_t01h,18027,Daviess County,IN,4,143,0.0021963839010535847,0.0007428326762167433,0.0006898466204354528,0.000537412505752221,0.0021963839010535847,0.0,0.0,0.0
B0,osi_target_t01h,18029,Dearborn County,IN,3,143,0.0015055141604735467,0.0004437443511228429,0.00032411992289625057,-8.520716106093966e-05,0.0015055141604735467,0.0,0.0,0.0
B0,osi_target_t01h,18033,DeKalb County,IN,4,143,0.0033698464704762666,0.001378876087846137,0.0016238887285451333,-0.0008399975842572538,0.0033698464704762666,0.0,0.0,0.0
B0,osi_target_t01h,18035,Delaware County,IN,0,143,0.00181116410601439,0.0008302383133646843,0.0004690851049048314,-0.00047337295099874076,0.00181116410601439,0.0,0.0,0.0
B0,osi_target_t01h,18037,Dubois County,IN,4,143,0.002371848209388276,0.0008932436025360029,0.000804469941758107,0.0004926879067171916,0.002371848209388276,0.0,0.0,0.0
B0,osi_target_t01h,18039,Elkhart County,IN,2,143,0.0009413684745680799,0.0005628760947501318,0.0001267229685022206,0.0004282415605467325,0.0009413684745680799,0.0,0.0,0.0
B0,osi_target_t01h,18041,Fayette County,IN,1,143,0.005613527564155656,0.0020921054429417175,0.004506171915035553,-0.002073617860324773,0.005613527564155656,0.0,0.0,0.0
B0,osi_target_t01h,18043,Floyd County,IN,4,143,0.0019059758770906174,0.0007395455096481867,0.0005194823982993428,0.0002843135939142746,0.0019059758770906174,0.0,0.0,0.0
