case,horizon,space,P71_group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,component_clipped,p=0,7579,0.013812630291859376,0.004209610271985933,1.445987978537722,0.000574054984531214,0.013812630291859376,0.0,0.0,0.0
B0,osi_target_t01h,component_clipped,0<p<.01,12441,0.010412481035600803,0.0031704686062271926,1.3488502505416418,0.0001864748511546403,0.010412481035600803,0.0,0.0,0.0
B0,osi_target_t01h,component_clipped,.01<=p<.1,8723,0.013957017989749184,0.005148560817046725,1.6992260172226086,0.0009421614847675438,0.013957017989749184,0.0,0.0,0.0
B0,osi_target_t01h,component_clipped,.1<=p<.5,5148,0.031699028444227215,0.010880280702871743,5.172856625377204,-0.0006044128814006764,0.031699028444227215,0.0,0.0,0.0
B0,osi_target_t01h,component_clipped,.5<=p<=1,286,0.04174047833231931,0.020287704863347793,0.4982885139834939,-0.0032741440573538306,0.04174047833231931,0.0,0.0,0.0
B0,osi_target_t01h,aligned,p=0,7579,0.013652039586867353,0.004081372061965846,1.4125602632160799,0.0004484250335389513,0.013652039586867353,0.0,0.0,0.0
B0,osi_target_t01h,aligned,0<p<.01,12441,0.010768216785512694,0.003320864105024972,1.4425898441758185,0.000452800368159066,0.010768216785512694,0.0,0.0,0.0
B0,osi_target_t01h,aligned,.01<=p<.1,8723,0.013466027483391265,0.004932561231100256,1.5817755764082244,0.0007508632626834883,0.013466027483391265,0.0,0.0,0.0
B0,osi_target_t01h,aligned,.1<=p<.5,5148,0.03230060131141866,0.011127317638766149,5.371056894467829,-0.0013255926019461396,0.03230060131141866,0.0,0.0,0.0
B0,osi_target_t01h,aligned,.5<=p<=1,286,0.026674945307072973,0.014873022728281246,0.20350407424070566,-0.007771211111608311,0.026674945307072973,0.0,0.0,0.0
B0,osi_target_t06h,component_clipped,p=0,7314,0.013637456014181072,0.004193776627092421,1.3602592306242236,0.0004633987814484295,0.013637456014181072,0.0,0.0,0.0
B0,osi_target_t06h,component_clipped,0<p<.01,12006,0.011118809787516826,0.003457027567740402,1.4842769406783058,0.00050346114585864,0.011118809787516826,0.0,0.0,0.0
B0,osi_target_t06h,component_clipped,.01<=p<.1,8418,0.012937157341858518,0.00483728353174906,1.4089209974608157,0.0007723191153565396,0.012937157341858518,0.0,0.0,0.0
B0,osi_target_t06h,component_clipped,.1<=p<.5,4968,0.027634113034797545,0.01116423138767711,3.793784401596799,-0.0008009540223031973,0.027634113034797545,0.0,0.0,0.0
B0,osi_target_t06h,component_clipped,.5<=p<=1,276,0.03639511317077775,0.018378853570391703,0.36559077650898686,-0.013621829465671026,0.03639511317077775,0.0,0.0,0.0
B0,osi_target_t06h,aligned,p=0,7314,0.013868835606928176,0.004168423774353135,1.4068084123868791,0.00040491422639747155,0.013868835606928176,0.0,0.0,0.0
B0,osi_target_t06h,aligned,0<p<.01,12006,0.010842097280550836,0.0033166058554185878,1.4113181877317797,0.0003756903692615413,0.010842097280550836,0.0,0.0,0.0
B0,osi_target_t06h,aligned,.01<=p<.1,8418,0.012602334148760806,0.0045803050407178005,1.3369368772429375,0.0007629171979961326,0.012602334148760806,0.0,0.0,0.0
B0,osi_target_t06h,aligned,.1<=p<.5,4968,0.02557465906526496,0.01000464801289003,3.249385909560951,-0.0008035571498820941,0.02557465906526496,0.0,0.0,0.0
B0,osi_target_t06h,aligned,.5<=p<=1,276,0.025115777415476544,0.01391446212997281,0.17410142795071823,-0.008250609876683369,0.025115777415476544,0.0,0.0,0.0
B0,osi_target_t24h,component_clipped,p=0,6360,0.01457108290495348,0.004597714311858247,1.350332666666455,0.0003085039605186864,0.01457108290495348,0.0,0.0,0.0
B0,osi_target_t24h,component_clipped,0<p<.01,10440,0.011698791767082682,0.003602803359897204,1.4288364487718228,0.0003283943398817423,0.011698791767082682,0.0,0.0,0.0
B0,osi_target_t24h,component_clipped,.01<=p<.1,7320,0.012219125338543232,0.003928022010454034,1.0929274159656943,0.0005661907657193268,0.012219125338543232,0.0,0.0,0.0
B0,osi_target_t24h,component_clipped,.1<=p<.5,4320,0.015071962166959753,0.006808472929031472,0.9813486681889898,-0.0005387240991731147,0.015071962166959753,0.0,0.0,0.0
B0,osi_target_t24h,component_clipped,.5<=p<=1,240,0.020568600011086194,0.011282590662525184,0.10153615353985321,-0.004010215469375006,0.020568600011086194,0.0,0.0,0.0
B0,osi_target_t24h,aligned,p=0,6360,0.013918888470243026,0.004437437866802788,1.2321575017313284,0.00045254803977784274,0.013918888470243026,0.0,0.0,0.0
B0,osi_target_t24h,aligned,0<p<.01,10440,0.011383121111437898,0.0034332930498558126,1.3527676587212036,0.00022300697604523537,0.011383121111437898,0.0,0.0,0.0
B0,osi_target_t24h,aligned,.01<=p<.1,7320,0.012247289771300794,0.0038833567095934657,1.0979715013529703,0.0006170703536503503,0.012247289771300794,0.0,0.0,0.0
B0,osi_target_t24h,aligned,.1<=p<.5,4320,0.013123818901810892,0.00611664531712939,0.7440535694917247,0.00011576146193479528,0.013123818901810892,0.0,0.0,0.0
B0,osi_target_t24h,aligned,.5<=p<=1,240,0.02150195831454823,0.010670438705721248,0.11096021072653672,-0.005947280454336485,0.02150195831454823,0.0,0.0,0.0
B0,osi_target_t48h,component_clipped,p=0,5088,0.01421723199984027,0.004172947597254124,1.0284358410312917,0.0001829548521428432,0.01421723199984027,0.0,0.0,0.0
B0,osi_target_t48h,component_clipped,0<p<.01,8352,0.011813976252433533,0.0034704929184062572,1.1656889314268661,0.00036963399874297197,0.011813976252433533,0.0,0.0,0.0
B0,osi_target_t48h,component_clipped,.01<=p<.1,5856,0.011854469452776574,0.0031580780565818685,0.8229345798158965,0.0003735648453651614,0.011854469452776574,0.0,0.0,0.0
B0,osi_target_t48h,component_clipped,.1<=p<.5,3456,0.008569854821157387,0.003470187598372662,0.2538169746821493,0.00018675468092636905,0.008569854821157387,0.0,0.0,0.0
B0,osi_target_t48h,component_clipped,.5<=p<=1,192,0.008159678453555943,0.005526689378618892,0.01278342767336162,-0.003246338083150356,0.008159678453555943,0.0,0.0,0.0
