case,horizon,start,end,common_target,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,73,76,False,956,0.02390986004365816,0.0065818775901802275,0.5465274253857988,-0.00044650771603204015,0.02390986004365816,0.0,0.0,0.0
B0,osi_target_t01h,77,95,False,4541,0.018860824314852524,0.006387493687580738,1.6153730807080597,-0.00037384168984994,0.018860824314852524,0.0,0.0,0.0
B0,osi_target_t01h,96,143,False,11472,0.009913980134395515,0.0045334298596103745,1.127548488150727,5.120391954401647e-05,0.009913980134395515,0.0,0.0,0.0
B0,osi_target_t01h,144,215,False,17208,0.0059590173365562235,0.001457431534233802,0.6110541461198342,-3.75503195237786e-05,0.0059590173365562235,0.0,0.0,0.0
B0,osi_target_t01h,120,215,True,22944,0.006814159182570262,0.0021531248142159986,1.0653533685438896,3.838761417332969e-05,0.006814159182570262,0.0,0.0,0.0
B0,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
B0,osi_target_t06h,77,95,False,4302,0.017794613880361264,0.006289705081350098,1.3622209141162291,-0.00032844637424721084,0.017794613880361264,0.0,0.0,0.0
B0,osi_target_t06h,96,143,False,11472,0.009913980134395515,0.0045334298596103745,1.127548488150727,5.120391954401647e-05,0.009913980134395515,0.0,0.0,0.0
B0,osi_target_t06h,144,215,False,17208,0.0059590173365562235,0.001457431534233802,0.6110541461198342,-3.75503195237786e-05,0.0059590173365562235,0.0,0.0,0.0
B0,osi_target_t06h,120,215,True,22944,0.006814159182570262,0.0021531248142159986,1.0653533685438896,3.838761417332969e-05,0.006814159182570262,0.0,0.0,0.0
B0,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
B0,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
B0,osi_target_t24h,96,143,False,11472,0.010448911534888689,0.004803986769980263,1.2525101179718037,-1.7868252912179263e-05,0.010448911534888689,0.0,0.0,0.0
B0,osi_target_t24h,144,215,False,17208,0.0060355126760315994,0.0014941903020165234,0.626842927421756,-1.7504713933196572e-05,0.0060355126760315994,0.0,0.0,0.0
B0,osi_target_t24h,120,215,True,22944,0.006980016740105945,0.0022268814762819306,1.117846219432901,2.5560926991132495e-05,0.006980016740105945,0.0,0.0,0.0
B0,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
B0,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
B0,osi_target_t48h,96,143,False,5736,0.00938283107875312,0.004299297116050987,0.5049832092846549,5.000420655186036e-05,0.00938283107875312,0.0,0.0,0.0
B0,osi_target_t48h,144,215,False,17208,0.006587280562215493,0.0016092500494186296,0.7466940996535261,-4.35851204502751e-06,0.006587280562215493,0.0,0.0,0.0
B0,osi_target_t48h,120,215,True,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0,0.0,0.0
AB_P06,osi_target_t01h,73,76,False,956,0.02390986004365816,0.0065818775901802275,0.5465274253857988,-0.00044650771603204015,0.02390986004365816,0.0,0.0,0.0
AB_P06,osi_target_t01h,77,95,False,4541,0.018398232854226117,0.0060620894513272955,1.537105668570955,-0.0004245862266479627,0.018860824314852524,-0.00046259146062640685,-2.452657704160499,0.07826741213710475
AB_P06,osi_target_t01h,96,143,False,11472,0.009875218722320597,0.004501020415611724,1.1187488069024365,6.636038545905314e-05,0.009913980134395515,-3.8761412074917595e-05,-0.390977302248563,0.008799681248290447
