split_seed,domain,space,case,horizon,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,ci_low,ci_high,replicates,bootstrap_seed,unit
42,OSI,v18_rule,AB_P06,osi_target_t01h,34177,0.010853078422434704,0.0032389658650502882,4.025685290369706,-0.0001206261886411442,0.010991492021847564,-0.00013841359941286005,-1.2592794421152131,0.10333708583114998,-0.000276202885600078,-3.5447809342229006e-05,2000,20260910,county_full_trajectory
42,OSI,v18_rule,AB_P06,osi_target_t06h,32982,0.009923105829220319,0.003112572987423417,3.2476725423035444,-0.00010472637115503994,0.01007974033020953,-0.00015663450098921117,-1.553953731523905,0.10333708583114953,-0.00030063325336132315,-4.2162930774560095e-05,2000,20260910,county_full_trajectory
42,P,component_clipped,AB_P06,osi_target_t06h,32982,0.016247431187159732,0.005153770877592177,8.706556043625927,0.00015903789504835344,0.0167042692272652,-0.00045683804010546863,-2.7348579808555984,0.4964975131462186,-0.0012654178655967913,0.0003150364241670695,2000,20260910,county_full_trajectory
42,P,aligned,AB_P06,osi_target_t06h,32982,0.01570824624527064,0.004887397269315959,8.138275521366115,6.378545417664188e-05,0.01567935700916176,2.8889236108879668e-05,0.1842501327828705,-0.0299068863333396,-0.00038986098569282425,0.0006050192995911387,2000,20260910,county_full_trajectory
42,OSI,v18_rule,AB_P06,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
42,OSI,v18_rule,AB_P06,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
20260917,OSI,v18_rule,AB_P06,osi_target_t01h,34177,0.011086220254071273,0.0032792206496616706,4.200499561215879,-0.00015577730560863043,0.011279784035266497,-0.00019356378119522386,-1.7160238227083235,0.14796072121588022,-0.0003700767401070244,-4.7158545699684284e-05,2000,20260910,county_full_trajectory
20260917,OSI,v18_rule,AB_P06,osi_target_t06h,32982,0.010108757940326897,0.003149440563669922,3.3703312084042993,-0.00014922914273692017,0.0103282666639301,-0.00021950872360320187,-2.125320063334568,0.14796072121588066,-0.0004191927019249529,-4.939809155691079e-05,2000,20260910,county_full_trajectory
20260917,P,component_clipped,AB_P06,osi_target_t06h,32982,0.016414587598718836,0.005077438297795572,8.88662674283982,3.670398354208998e-05,0.016787744157897095,-0.00037315655917825874,-2.2227915535794174,0.4086360258530455,-0.001277006493749446,0.0005229177840579746,2000,20260910,county_full_trajectory
20260917,P,aligned,AB_P06,osi_target_t06h,32982,0.015745560400377393,0.004883603533967478,8.176985578521982,4.876189522188124e-05,0.01578308586064052,-3.752546026312628e-05,-0.23775743599485644,0.039021893474473046,-0.0004662519885848149,0.00047410691496539004,2000,20260910,county_full_trajectory
20260917,OSI,v18_rule,AB_P06,osi_target_t24h,28680,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.008710411518259539,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
20260917,OSI,v18_rule,AB_P06,osi_target_t48h,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.007895792270846023,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
20260918,OSI,v18_rule,AB_P06,osi_target_t01h,34177,0.010568981397635607,0.003237175185704826,3.8176860007389863,-5.9808134210907505e-05,0.010683002911169644,-0.00011402151353403708,-1.0673170688254796,0.08281713962543291,-0.00025453732859590514,2.2318199469032548e-05,2000,20260910,county_full_trajectory
20260918,OSI,v18_rule,AB_P06,osi_target_t06h,32982,0.009565806358452486,0.0031046438593865,3.0180064087613574,-4.0402717082119965e-05,0.009696165799144481,-0.00013035944069199508,-1.344443189116018,0.08281713962543291,-0.00027808006590739493,2.3892518957277702e-05,2000,20260910,county_full_trajectory
20260918,P,component_clipped,AB_P06,osi_target_t06h,32982,0.015738825755532856,0.005142157394340469,8.16999220192887,0.00032586158348856464,0.01597101889395984,-0.00023219313842698375,-1.4538404842461161,0.24284014494025996,-0.0010984254653544831,0.0007063208444925081,2000,20260910,county_full_trajectory
20260918,P,aligned,AB_P06,osi_target_t06h,32982,0.015239133997470343,0.00489131274812478,7.659449603074391,0.0002433910260515448,0.015158442817872252,8.069117959809066e-05,0.5323183955475486,-0.08089878820112517,-0.00039230352933956045,0.0007233747925850892,2000,20260910,county_full_trajectory
20260918,OSI,v18_rule,AB_P06,osi_target_t24h,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
20260918,OSI,v18_rule,AB_P06,osi_target_t48h,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0,0.0,0.0,0.0,0.0,2000,20260910,county_full_trajectory
