horizon,fipsCode,countyName,stateAbbr,improved_splits,worsened_splits,unchanged_splits,split42_sse_reduction,split20260917_sse_reduction,split20260918_sse_reduction
osi_target_t01h,18009,Blackford County,IN,0,3,0,-2.1695087021782536e-06,-0.00032591152378584013,-0.00014843974256431927
osi_target_t01h,18013,Brown County,IN,2,1,0,-0.0008379835270935776,0.0012814951518045348,0.0023500182997651525
osi_target_t01h,18023,Clinton County,IN,2,1,0,5.164876754180139e-05,-7.259695736172849e-06,8.612535041808424e-05
osi_target_t01h,18025,Crawford County,IN,3,0,0,0.0003394584642675211,2.0718530247314237e-05,0.00010884309722317825
osi_target_t01h,18027,Daviess County,IN,2,1,0,3.929216605448897e-05,-3.856557923341672e-05,4.757426240953712e-05
osi_target_t01h,18029,Dearborn County,IN,3,0,0,3.432532952559028e-06,2.413286353551594e-05,2.2164253932026854e-06
osi_target_t01h,18033,DeKalb County,IN,2,1,0,-4.682035020278446e-05,2.8921244275881752e-05,5.445380638101935e-05
osi_target_t01h,18035,Delaware County,IN,3,0,0,7.390241327170769e-05,2.530722293573451e-05,8.508781455535922e-06
osi_target_t01h,18037,Dubois County,IN,2,1,0,9.558408385427325e-05,-7.05956001484534e-05,1.0227366202144803e-05
osi_target_t01h,18039,Elkhart County,IN,3,0,0,0.0001195168063449632,5.2537850683011245e-06,5.039647316500259e-05
osi_target_t01h,18041,Fayette County,IN,1,2,0,-8.470313171785168e-05,-0.000159797474542118,3.283637020761376e-05
osi_target_t01h,18043,Floyd County,IN,2,1,0,-7.683603809214169e-05,5.9364331649833365e-05,4.2671804621430124e-05
osi_target_t01h,18045,Fountain County,IN,0,3,0,-0.0003030935268896007,-0.0004437700330901255,-4.61770118500974e-05
osi_target_t01h,18047,Franklin County,IN,1,2,0,1.9419878607740502e-05,-6.483627228352556e-05,-2.3233115097009722e-05
osi_target_t01h,18051,Gibson County,IN,3,0,0,1.1979197943780224e-05,2.8188450568089845e-05,2.4410963620121948e-05
osi_target_t01h,18059,Hancock County,IN,3,0,0,8.525795743400159e-07,8.063727180642193e-06,1.5114536511195758e-05
osi_target_t01h,18061,Harrison County,IN,1,2,0,2.256086784542489e-05,-6.288906038660284e-05,-4.1144820053405726e-05
osi_target_t01h,18065,Henry County,IN,2,1,0,-1.2666721980063994e-05,1.9686190897902616e-05,1.0413877399082774e-05
osi_target_t01h,18067,Howard County,IN,0,3,0,-1.8519991420378563e-06,-7.092089707496469e-06,-9.115645748353197e-07
osi_target_t01h,18069,Huntington County,IN,1,2,0,-4.511855680022645e-06,2.798584434619562e-05,-2.8285890251873974e-06
osi_target_t01h,18071,Jackson County,IN,1,2,0,-0.00022630347425478927,-0.0003316236723318409,7.860271763115642e-05
osi_target_t01h,18073,Jasper County,IN,3,0,0,0.00012349734205498435,4.039419436532659e-05,0.0001001574945238313
osi_target_t01h,18077,Jefferson County,IN,1,2,0,-0.0001559266619046507,5.364792781896877e-06,-4.109062507422819e-05
osi_target_t01h,18083,Knox County,IN,2,1,0,3.7249045531602626e-05,-2.4664719965404656e-05,0.0001592264352886189
osi_target_t01h,18085,Kosciusko County,IN,3,0,0,0.0015510308301623077,0.00030001578225815484,0.00030231001786604813
osi_target_t01h,18087,LaGrange County,IN,0,3,0,-0.0002410651044590194,-0.00022326003184665408,-6.438745347911185e-05
osi_target_t01h,18089,Lake County,IN,2,1,0,6.503249484624517e-05,-7.195316043739105e-05,4.3714088842209124e-05
osi_target_t01h,18091,LaPorte County,IN,1,2,0,-4.577801672733697e-06,8.79922948061727e-06,-5.402663380102207e-06
osi_target_t01h,18093,Lawrence County,IN,3,0,0,0.00019167696940136127,0.00012498969052631217,3.352987991793628e-05
osi_target_t01h,18095,Madison County,IN,2,1,0,-1.1945418157564207e-06,1.3181822682284568e-05,8.583609466037909e-06
osi_target_t01h,18097,Marion County,IN,3,0,0,6.429587223469919e-06,4.684441588886061e-06,3.3918564877869113e-06
osi_target_t01h,18099,Marshall County,IN,0,3,0,-1.592835783519736e-05,-0.00012482878432846373,-7.271517673614926e-05
osi_target_t01h,18101,Martin County,IN,2,1,0,0.0001740399134151137,-1.0845855155413708e-06,0.00019982318306956343
osi_target_t01h,18103,Miami County,IN,2,1,0,-0.00021520920378034888,0.00013644963737949063,0.0008203322725210129
osi_target_t01h,18105,Monroe County,IN,1,2,0,-2.677548400209658e-06,6.259748488561133e-05,-7.977563092428789e-05
osi_target_t01h,18107,Montgomery County,IN,1,2,0,-5.082333405518258e-07,2.4902195389963147e-05,-1.155935205353797e-05
osi_target_t01h,18109,Morgan County,IN,3,0,0,9.653994376427992e-05,8.678601082115077e-05,0.0001826844831052264
osi_target_t01h,18111,Newton County,IN,2,1,0,0.00015832381517746083,8.460740872874833e-05,-3.9592440248362474e-05
osi_target_t01h,18113,Noble County,IN,0,3,0,-2.0867818320026638e-05,-6.984200473225422e-06,-2.855225372452267e-06
osi_target_t01h,18117,Orange County,IN,2,1,0,0.00016594224309749925,-7.184047817358069e-05,0.00014047266675585451
osi_target_t01h,18121,Parke County,IN,0,3,0,-0.0006885724663311804,-0.0032550883796306634,-0.0023723290163723265
osi_target_t01h,18123,Perry County,IN,0,3,0,-0.0008669333149906155,-0.00018684140224202363,-0.000153333166721073
osi_target_t01h,18125,Pike County,IN,0,3,0,-6.3144481194538e-05,-6.9431477577926e-05,-1.7118479525632304e-05
osi_target_t01h,18127,Porter County,IN,2,1,0,0.000113286458991064,0.00020330895729303632,-8.215162054297392e-06
osi_target_t01h,18129,Posey County,IN,1,2,0,-1.0093284338193371e-05,-4.4010282631439716e-05,7.823474028060764e-06
osi_target_t01h,18131,Pulaski County,IN,0,3,0,-2.1028954285837176e-05,-0.0006415720071225178,-0.0009284071577187678
osi_target_t01h,18133,Putnam County,IN,2,1,0,9.897592346450919e-06,1.4584183604101643e-05,-4.2459401142433596e-05
osi_target_t01h,18135,Randolph County,IN,2,1,0,0.00010439051810299843,-8.595466858623679e-05,0.00017856216886076538
osi_target_t01h,18137,Ripley County,IN,1,2,0,5.4326541585377613e-05,-1.8562189660746055e-06,-5.8607092863783086e-05
osi_target_t01h,18139,Rush County,IN,1,2,0,-4.375885817019232e-05,4.3910657360360025e-05,-3.5402412286559843e-06
osi_target_t01h,18141,St. Joseph County,IN,0,3,0,-2.9618029830113884e-05,-3.2874437877807646e-05,-2.2992710290207293e-05
osi_target_t01h,18143,Scott County,IN,1,2,0,-0.00014891325949567503,-0.0001258222627136148,3.7287891048085574e-05
osi_target_t01h,18145,Shelby County,IN,2,1,0,9.582320159270247e-06,1.312281152553445e-06,-4.109360012434439e-06
osi_target_t01h,18147,Spencer County,IN,1,2,0,-9.16182202072665e-06,-0.0001025806496355917,2.786445613542647e-05
osi_target_t01h,18149,Starke County,IN,3,0,0,0.0019154341584609012,0.00013574578037818107,0.0006138800234061564
osi_target_t01h,18151,Steuben County,IN,0,3,0,-0.0002833807231638029,-0.0005001004802095733,-0.0012261974200207977
osi_target_t01h,18153,Sullivan County,IN,3,0,0,8.184741080946665e-08,8.710413412569e-05,8.28519070535951e-05
osi_target_t01h,18155,Switzerland County,IN,1,2,0,-0.00023921873179790247,0.00021691297692241632,-0.00017726108064488049
osi_target_t01h,18157,Tippecanoe County,IN,2,1,0,1.680246184555413e-05,-2.685041425659119e-06,3.080316964326329e-05
osi_target_t01h,18159,Tipton County,IN,3,0,0,0.00012458674741589425,7.476131068747706e-05,7.34910824861908e-05
osi_target_t01h,18161,Union County,IN,3,0,0,3.663094780660984e-05,0.00015555210896384022,7.423114888566217e-05
osi_target_t01h,18163,Vanderburgh County,IN,0,3,0,-9.592717094274557e-06,-2.1985039427562046e-05,-3.505279796429123e-06
osi_target_t01h,18165,Vermillion County,IN,1,2,0,6.886987515363277e-05,-0.00023344216919770136,-0.00024688216244422856
osi_target_t01h,18167,Vigo County,IN,0,3,0,-2.2152407077452477e-05,-2.615241690645428e-05,-1.9261138954718545e-05
osi_target_t01h,18169,Wabash County,IN,2,1,0,1.9691593766130513e-05,2.2026129993075788e-05,-7.86443218058321e-06
