split_seed,case,horizon,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,B0,osi_target_t01h,34177,0.010991492021847564,0.003301564170419752,4.129022376200856,-0.0001044015937602557,0.010991492021847564,0.0,0.0,0.0
42,B0,osi_target_t06h,32982,0.01007974033020953,0.003177439347335253,3.351009628134694,-8.79139286335395e-05,0.01007974033020953,0.0,0.0,0.0
42,B0,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
42,B0,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
42,AB_P06,osi_target_t01h,34177,0.010853078422434704,0.0032389658650502882,4.025685290369706,-0.0001206261886411442,0.010991492021847564,-0.00013841359941286005,-1.2592794421152131,0.10333708583114998
42,AB_P06,osi_target_t06h,32982,0.009923105829220319,0.003112572987423417,3.2476725423035444,-0.00010472637115503994,0.01007974033020953,-0.00015663450098921117,-1.553953731523905,0.10333708583114953
42,AB_P06,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
42,AB_P06,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
20260917,B0,osi_target_t01h,34177,0.011279784035266497,0.0033373913910967556,4.348460282431759,-0.00017010159640818727,0.011279784035266497,0.0,0.0,0.0
20260917,B0,osi_target_t06h,32982,0.0103282666639301,0.003209718940664248,3.51829192962018,-0.00016407242957993933,0.0103282666639301,0.0,0.0,0.0
20260917,B0,osi_target_t24h,28680,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.008710411518259539,0.0,0.0,0.0
20260917,B0,osi_target_t48h,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.007895792270846023,0.0,0.0,0.0
20260917,AB_P06,osi_target_t01h,34177,0.011086220254071273,0.0032792206496616706,4.200499561215879,-0.00015577730560863043,0.011279784035266497,-0.00019356378119522386,-1.7160238227083235,0.14796072121588022
20260917,AB_P06,osi_target_t06h,32982,0.010108757940326897,0.003149440563669922,3.3703312084042993,-0.00014922914273692017,0.0103282666639301,-0.00021950872360320187,-2.125320063334568,0.14796072121588066
20260917,AB_P06,osi_target_t24h,28680,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.008710411518259539,0.0,0.0,0.0
20260917,AB_P06,osi_target_t48h,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.007895792270846023,0.0,0.0,0.0
20260918,B0,osi_target_t01h,34177,0.010683002911169644,0.0032883188402159907,3.9005031403644193,-6.38801247473866e-05,0.010683002911169644,0.0,0.0,0.0
20260918,B0,osi_target_t06h,32982,0.009696165799144481,0.003157640544858214,3.1008235483867903,-4.462224350760196e-05,0.009696165799144481,0.0,0.0,0.0
20260918,B0,osi_target_t24h,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.0,0.0,0.0
20260918,B0,osi_target_t48h,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0,0.0,0.0
20260918,AB_P06,osi_target_t01h,34177,0.010568981397635607,0.003237175185704826,3.8176860007389863,-5.9808134210907505e-05,0.010683002911169644,-0.00011402151353403708,-1.0673170688254796,0.08281713962543291
20260918,AB_P06,osi_target_t06h,32982,0.009565806358452486,0.0031046438593865,3.0180064087613574,-4.0402717082119965e-05,0.009696165799144481,-0.00013035944069199508,-1.344443189116018,0.08281713962543291
20260918,AB_P06,osi_target_t24h,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.0,0.0,0.0
20260918,AB_P06,osi_target_t48h,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0,0.0,0.0
