case,horizon,space,P71_group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,component_clipped,p=0,7579,0.015801984222593383,0.003830069040133475,1.8924968040074925,-0.00047086896137930396,0.015801984222593383,0.0,0.0,0.0
B0,osi_target_t01h,component_clipped,0<p<.01,12441,0.011914002929454506,0.003158726775266141,1.7659186580557518,-0.0002871476903313053,0.011914002929454506,0.0,0.0,0.0
B0,osi_target_t01h,component_clipped,.01<=p<.1,8723,0.013718099875019143,0.0051264517298555985,1.6415487824508652,0.001020011575014584,0.013718099875019143,0.0,0.0,0.0
B0,osi_target_t01h,component_clipped,.1<=p<.5,5148,0.031505862123289055,0.011438188630750095,5.110004404181992,-0.0004728526327843452,0.031505862123289055,0.0,0.0,0.0
B0,osi_target_t01h,component_clipped,.5<=p<=1,286,0.041544205317156566,0.02256253956635589,0.49361340469414117,0.005626361763222023,0.041544205317156566,0.0,0.0,0.0
B0,osi_target_t01h,aligned,p=0,7579,0.015258361457521616,0.0038217537399332755,1.7645245477179607,-0.00033839216051643784,0.015258361457521616,0.0,0.0,0.0
B0,osi_target_t01h,aligned,0<p<.01,12441,0.011615384395314989,0.0031965639663364123,1.678504321012182,-7.585323414901869e-05,0.011615384395314989,0.0,0.0,0.0
B0,osi_target_t01h,aligned,.01<=p<.1,8723,0.013683402443192647,0.005263757226410906,1.633255287630338,0.0011719565695925004,0.013683402443192647,0.0,0.0,0.0
B0,osi_target_t01h,aligned,.1<=p<.5,5148,0.03189354025390013,0.011369480123221956,5.236534840304957,-0.0007933256798790315,0.03189354025390013,0.0,0.0,0.0
B0,osi_target_t01h,aligned,.5<=p<=1,286,0.022318165738020267,0.012617931588854906,0.14245674926618612,-0.0016816982330072384,0.022318165738020267,0.0,0.0,0.0
B0,osi_target_t06h,component_clipped,p=0,7314,0.01600317238221829,0.004004236921092159,1.8731265633215881,-0.0005302314670511315,0.01600317238221829,0.0,0.0,0.0
B0,osi_target_t06h,component_clipped,0<p<.01,12006,0.012118788557097153,0.003383149669676147,1.7632616233160965,-7.203720499723712e-05,0.012118788557097153,0.0,0.0,0.0
B0,osi_target_t06h,component_clipped,.01<=p<.1,8418,0.013875215200713088,0.005627389006240559,1.620646802418826,0.0017050234601297305,0.013875215200713088,0.0,0.0,0.0
B0,osi_target_t06h,component_clipped,.1<=p<.5,4968,0.02710828102971857,0.01138518065404539,3.65077901711864,0.00017791971378173884,0.02710828102971857,0.0,0.0,0.0
B0,osi_target_t06h,component_clipped,.5<=p<=1,276,0.03270639871119677,0.015154174127632113,0.29523955059699364,-0.008791763222997902,0.03270639871119677,0.0,0.0,0.0
B0,osi_target_t06h,aligned,p=0,7314,0.01550175097146026,0.0039056009280998487,1.7575855271870706,-0.00040411105401001566,0.01550175097146026,0.0,0.0,0.0
B0,osi_target_t06h,aligned,0<p<.01,12006,0.011763750084226613,0.003208706388867354,1.6614601074259645,-0.0001436391643519987,0.011763750084226613,0.0,0.0,0.0
B0,osi_target_t06h,aligned,.01<=p<.1,8418,0.012886121587861645,0.004915733985591239,1.3978268267804816,0.0012039049376850299,0.012886121587861645,0.0,0.0,0.0
B0,osi_target_t06h,aligned,.1<=p<.5,4968,0.02526537423924385,0.010272967298653289,3.1712688249108645,-0.0002909072876077926,0.02526537423924385,0.0,0.0,0.0
B0,osi_target_t06h,aligned,.5<=p<=1,276,0.02087118434522687,0.011706806475860903,0.1202273487283943,-0.0024985060128795396,0.02087118434522687,0.0,0.0,0.0
B0,osi_target_t24h,component_clipped,p=0,6360,0.015471878031553497,0.004425016103498078,1.5224505024759827,-0.00018127263799395412,0.015471878031553497,0.0,0.0,0.0
B0,osi_target_t24h,component_clipped,0<p<.01,10440,0.012614773398161382,0.003447170890607934,1.6613433823398627,-0.0002739953543550755,0.012614773398161382,0.0,0.0,0.0
B0,osi_target_t24h,component_clipped,.01<=p<.1,7320,0.012386829927381937,0.004085479302080477,1.1231336273571566,0.0008049739554067755,0.012386829927381937,0.0,0.0,0.0
B0,osi_target_t24h,component_clipped,.1<=p<.5,4320,0.014852721592596976,0.006866775120785665,0.9530064232150887,0.00016856933256543722,0.014852721592596976,0.0,0.0,0.0
B0,osi_target_t24h,component_clipped,.5<=p<=1,240,0.01686317109813775,0.009898314909437012,0.06824796947641643,-0.003020038273807508,0.01686317109813775,0.0,0.0,0.0
B0,osi_target_t24h,aligned,p=0,6360,0.01580211125919468,0.004200191451729267,1.5881347407770718,-0.00042548337072298204,0.01580211125919468,0.0,0.0,0.0
B0,osi_target_t24h,aligned,0<p<.01,10440,0.012485840774709338,0.0033671568299989945,1.6275565352485564,-0.0003069356721948695,0.012485840774709338,0.0,0.0,0.0
B0,osi_target_t24h,aligned,.01<=p<.1,7320,0.012351257307499154,0.004142410123208776,1.1166920377966953,0.0009968678262600261,0.012351257307499154,0.0,0.0,0.0
B0,osi_target_t24h,aligned,.1<=p<.5,4320,0.013110176138693475,0.006396192149942357,0.7425074234342925,0.0006739904216880118,0.013110176138693475,0.0,0.0,0.0
B0,osi_target_t24h,aligned,.5<=p<=1,240,0.018715589218052903,0.010219278241742917,0.08406558714693554,-0.0028991999611478942,0.018715589218052903,0.0,0.0,0.0
B0,osi_target_t48h,component_clipped,p=0,5088,0.01578495889674735,0.0039359960949824566,1.2677511504687535,-0.0006659270758382052,0.01578495889674735,0.0,0.0,0.0
B0,osi_target_t48h,component_clipped,0<p<.01,8352,0.011597304138948545,0.0032184386315769614,1.1233228134087125,-6.739328737993277e-05,0.011597304138948545,0.0,0.0,0.0
